answer,question
"[""eastward, in prograde motion""]",actor who played gavin in gavin and stacey
"[""Meredith Willson""]",when did us dollar not backed by gold
"[""West Indies""]",when did the development of atomic theory begin
"[""horses""]",when does season 2 a series of unfortunate events come out
"[""Season 4, Episode 8""]",who plays terry crews brother in law in brooklyn nine nine
"[""2015""]",when does the mountain between is come out
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",who played gerry bertier in remember the titans
"[""Season 4, Episode 8""]",who has the least punishments on impractical jokers
"[""2000""]",when did angel leave buffy the vampire slayer
"[""2024""]",who founded the order or congregation in western australia
"[""Miguel Cabrera""]",what is the dogs name in the little rascals
"[""Sarabi""]",who founded the first british colony in the new world at roanoke island
"[""redox reactions""]",when did the big bang theory tv show start
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",when did world war ii end in the pacific
"[""Barbicide""]",where did the northern kingdom of israel worship
"[""video editing""]",when was the first mcdonald's opened in canada
"[""ground state""]",what shade of green is the statue of liberty
"[""10 one-hour episodes""]",where was im the one music video filmed
"[""1962""]",where do tornadoes happen in the united states
"[""2018""]",who played frankie on days of our lives
"[""pyramidion""]",when did keeping up with the joneses come out
"[""7""]",when's the last time the new orleans saints won the superbowl
"[""Alex Rodriguez""]",when did the vietnam war end what year
"[""Niagara River""]",what number is rhode island out of the 50 states
"[""A mood swing""]",who sings the theme song from only fools and horses
"[""10""]",when was the cleveland browns last winning season
"[""1950""]",who wrote the music for peter and the wolf
"[""Alex Rodriguez""]",when did they change the drinking age to 21 in california
"[""constitutional republic""]",who won golden shoes in fifa world cup
"[""2010""]",san andreas fault is an example of what type of fault
"[""unknown""]",who does the voice for sterling in cars 3
"[""179""]",who owned the new york times in 1971
"[""Thurl Ravenscroft""]",how many episodes are there in season 2 of the crown
"[""after a minor infringement""]",where are the piney woods located in texas
"[""Saddam Hussein""]",best football team in the world fifa ranking
"[""13""]",when was the football hall of fame built
"[""Saleisha Stowers""]",who played johnny fever in wkrp in cincinnati
"[""10""]",who plays tarzan in the legend of tarzan
"[""1984""]",when does stefan turn his humanity off in season 6
"[""1943""]",the most intense roller coaster in the world
"[""four""]",when were the monuments in new orleans built
"[""1960""]",when did the era of good feelings end
"[""Spectre""]",where is walnut grove in little house on the prairie
"[""a maroon Bristol 405""]",when was the last time the death penalty was used in the us
"[""179""]",how many lord if the rings movies are there
"[""Marley""]",who wrote the song leader of the pack
"[""redox reactions""]",when was the last time celtics won a championship
"[""John von Neumann""]",the dark part of a shadow where light from a source is completely blocked is called the
"[""Clemson\n1""]",who is the oscar-winning star of the film the song of bernadette
"[""9""]",when is the new episode of grey's anatomy airing
"[""Carole King""]",how many pages are in the short second life of bree tanner
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",when will dunkirk be released in the united states
"[""1962""]",where does the novel the great gatsby take place
"[""4""]",who played cricket in to have and have not
"[""Alex Rodriguez""]",when does grey's anatomy s14 e9 come out
"[""3 to 8 days""]",what movie is singing in the rain from
"[""12""]",at the end of the hundred years war the english only held
"[""produces a lubricating mucus""]",when did mexico win the fifa world cup
"[""2015""]",who is the judge most recently appointed to the high court of australia
"[""1981""]",who owns the original han solo in carbonite
"[""Evaluation and management""]",how many episodes are there in the future diary
"[""2018""]",who was a major figure in the evolutionary perspective
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",what had ellis island become the site of by 1891
"[""1980""]",who does the voiceover on how i met your mother
"[""2015""]",who is prime minister of india in 1992
"[""Saddam Hussein""]",who is the oldest living person in the bible
"[""originally from the Greek""]",what is the robots name in power rangers
"[""King Edward Peak""]",membership in the european union requires countries to have which type of government
"[""volume of the container decreases""]",what are the robbers names in home alone
"[""ice caps""]",who sings the hell song in the south park movie
"[""179""]",when was the last time england got to semifinals
"[""1984""]",who is the acting director general of nafdac
"[""Season 4, Episode 8""]",which city is known as manchester of india
"[""August 17, 2018""]",when did disney's grand californian hotel open
"[""South Side, Chicago""]",which european country was in control of the original 13 colonies
"[""Islamic prophet Muhammad""]",when did the iphone 7s plus come out
"[""December 15, 2017""]",who won the most fa cup in england
"[""March 9, 2018""]",what is the term for a leavened arabic flat bread
"[""January 11, 1970""]",who sings i got a peaceful easy feeling
"[""1943""]",who plays amy grant in the movie i can only imagine
"[""10""]",who plays jay's ex wife on modern family
"[""December 15, 2017""]",who plays john wick on the big screen
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",when were the books of the hebrew bible written
"[""Season 4, Episode 8""]",where is emily from pretty little liars from
"[""December 15, 2017""]",what country's flag has a moon and star
"[""a wild Pikachu""]",what kind of gun did dirty harry carry
"[""in 2018""]",where do the blue jays live in toronto
"[""Venus""]",when does season 5 of blacklist come out
"[""12""]",who's the actor that plays the night king
"[""1982""]",where was live free or die hard filmed
"[""a wild Pikachu""]",when is subnautica coming out of early access
"[""Anil Kumar Jha""]",who won australia's next top model season 7
"[""Mexico"",""Soviet Union""]",how many keys are on microsoft windows standard keyboard
"[""pyramidion""]",what's the capacity of the hydro glasgow
"[""10""]",when was the last time the bengals went to the superbowl
"[""unknown""]",who is playing mary poppins in the new mary poppins
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",when was the first combatives field manual written
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",the office season 6 episode 1 guest stars
"[""West Bengal""]",before merger with himachal pradesh on 1st july 1954 bilaspur was a
"[""Constantine""]",where do i get chips at a casino
"[""Zone Improvement Plan""]",who used the sherman antitrust act to dissolve the monopoly of the northern securities company
"[""3 to 8 days""]",who played jaws in the james bond movie
"[""Thurl Ravenscroft""]",who starred in o brother where art thou
"[""oxidative phosphorylation""]",how long is the muppet 3d show at hollywood studios
"[""10""]",when does supernatural scooby doo episodes come out
"[""Greek""]",how many times india won womens cricket world cup
"[""George Hudson""]",on which island is the uss arizona memorial
"[""December 15, 2017""]",when was the wizard of oz first shown in color
"[""Gal Gadot""]",when did spain first establish territorial claim in texas
"[""Phillip Alford""]",who does ian nelson play in the hunger games
"[""Bella Dayne""]",where is honey i shrunk the audience in disney world
"[""July 16, 2017""]",who's the second most subscribed person on youtube
"[""China""]",why do the swiss put bells on their cows
