year,temp
1880,-0.25
1881,-0.19
1882,-0.4
1883,-0.2
1884,-0.15
1885,-0.15
1886,0.06
1887,-0.24
1888,-0.09
1889,-0.19
1890,0.11
1891,-0.1
1892,-0.07
1893,-0.17
1894,-0.03
1895,-0.02
1896,-0.15
1897,-0.04
1898,0.02
1899,-0.09
1900,0.08
1901,-0.16
1902,0.13
1903,-0.07
1904,0.07
1905,0.18
1906,-0.0
1907,0.21
1908,0.03
1909,0.1
1910,0.05
1911,-0.09
1912,0.08
1913,0.19
1914,0.34
1915,-0.02
1916,0.34
1917,-0.02
1918,0.21
1919,0.36
1920,0.05
1921,0.18
1922,0.03
1923,0.16
1924,0.36
1925,0.23
1926,0.24
1927,0.23
1928,0.25
1929,0.26
1930,0.29
1931,0.34
1932,0.14
1933,0.42
1934,0.38
1935,0.4
1936,0.28
1937,0.16
1938,0.11
1939,0.47
1940,0.42
1941,0.29
1942,0.48
1943,0.34
1944,0.33
1945,0.53
1946,0.26
1947,0.32
1948,0.39
1949,0.24
1950,0.51
1951,0.33
1952,0.32
1953,0.5
1954,0.4
1955,0.32
1956,0.33
1957,0.57
1958,0.38
1959,0.39
1960,0.57
1961,0.55
1962,0.48
1963,0.47
1964,0.48
1965,0.56
1966,0.5
1967,0.51
1968,0.45
1969,0.65
1970,0.69
1971,0.7
1972,0.71
1973,0.6
1974,0.77
1975,0.5
1976,0.48
1977,0.6
1978,0.45
1979,0.83
1980,0.51
1981,0.36
1982,0.52
1983,0.63
1984,0.63
1985,0.82
1986,0.79
1987,0.62
1988,0.71
1989,0.75
1990,0.61
1991,0.52
1992,0.97
1993,0.6
1994,0.94
1995,0.8
1996,0.58
1997,0.82
1998,0.69
1999,0.92
2000,0.73
2001,0.74
2002,0.77
2003,0.56
2004,0.89
2005,0.82
2006,0.88
2007,0.78
2008,0.92
2009,0.85
2010,0.85
2011,0.98
2012,1.05
2013,0.92
2014,0.9
2015,0.81
2016,0.79
2017,0.87
2018,0.98
2019,1.02
2020,0.71
2021,1.08
2022,0.89
2023,0.97
