Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
plymouth sapporo,13.1,8,259.0,90,4187,19.6,1970-01-01,USA
chevrolet vega,17.3,7,343.0,144,3974,12.5,1970-01-01,USA
mercury monarch ghia,9.6,7,412.0,167,2377,17.9,1970-01-01,USA
peugeot 504,9.4,4,408.0,169,2207,16.6,1970-01-01,Europe
audi 100ls,20.7,4,193.0,141,2212,12.9,1970-01-01,Europe
chevrolet chevette,20.2,5,286.0,137,4183,19.8,1970-01-01,USA
opel manta,21.1,4,366.0,210,2218,17.4,1970-01-01,Europe
ford mustang cobra,20.0,8,219.0,47,2859,12.6,1970-01-01,USA
mazda glc 4,11.1,4,283.0,100,2249,12.2,1970-01-01,Japan
amc ambassador dpl,10.9,7,262.0,113,2934,13.3,1970-01-01,USA
ford granada,13.8,7,346.0,52,3840,20.2,1970-01-01,USA
dodge dart custom,16.8,6,371.0,150,3694,15.3,1970-01-01,USA
amc hornet,9.6,4,444.0,104,3005,19.8,1970-01-01,USA
chevrolet nova,14.0,6,305.0,170,4642,14.4,1970-01-01,USA
mazda glc 4,15.9,4,137.0,113,2342,14.2,1970-01-01,Japan
ford gran torino,26.5,8,442.0,121,3568,19.1,1970-01-01,USA
dodge aries wagon (sw),13.6,4,446.0,204,2940,19.5,1970-01-01,USA
datsun 1200,22.3,5,443.0,109,2235,13.5,1970-01-01,Japan
toyota corolla 1200,22.5,3,269.0,178,2935,20.1,1970-01-01,Japan
ford pinto,18.6,6,191.0,187,4036,13.6,1970-01-01,USA
ford mustang gl,24.8,5,173.0,153,3700,21.6,1970-01-01,USA
honda civic,16.1,4,186.0,66,1840,14.5,1970-01-01,Japan
mercury monarch ghia,11.7,6,447.0,140,4395,10.5,1970-01-01,USA
ford maverick,16.6,5,404.0,68,2696,21.4,1970-01-01,USA
chevrolet nova,13.7,5,150.0,158,3204,17.8,1970-01-01,USA
mercedes benz 300d,20.9,4,131.0,62,3402,16.6,1970-01-01,Europe
vw dasher (diesel),18.1,4,420.0,128,2427,16.6,1970-01-01,Europe
buick skylark limited,16.9,6,235.0,97,2879,11.4,1970-01-01,USA
volkswagen dasher,23.7,4,183.0,85,2361,16.7,1970-01-01,Europe
renault 18i,16.6,4,178.0,177,2113,18.9,1970-01-01,Europe
datsun 510 (sw),13.1,4,149.0,150,2500,17.8,1970-01-01,Japan
chevrolet malibu,12.4,8,354.0,169,3645,19.6,1971-01-01,USA
ford granada,18.0,4,335.0,69,3438,13.4,1971-01-01,USA
audi 100ls,28.9,4,229.0,75,2489,19.8,1971-01-01,Europe
amc matador,25.2,5,138.0,138,4022,16.8,1971-01-01,USA
chevrolet woody,24.4,8,82.0,78,2543,13.1,1971-01-01,USA
triumph tr7 coupe,17.8,4,312.0,109,1849,18.8,1971-01-01,Europe
toyota starlet,19.3,4,372.0,65,2833,14.7,1971-01-01,Japan
datsun 310 gx,18.0,5,82.0,76,1943,11.3,1971-01-01,Japan
vw dasher (diesel),33.8,4,193.0,92,2073,15.3,1971-01-01,Europe
chevrolet citation,21.0,5,196.0,75,4639,8.8,1971-01-01,USA
vw rabbit,,4,222.0,64,2010,16.9,1971-01-01,Europe
datsun 280-zx,12.5,3,103.0,110,2522,11.7,1971-01-01,Japan
amc pacer d/l,15.2,5,306.0,174,4280,16.7,1971-01-01,USA
volvo 244dl,31.6,4,112.0,144,2126,14.1,1971-01-01,Europe
audi fox,30.0,4,138.0,118,2174,13.5,1971-01-01,Europe
chrysler lebaron salon,,4,296.0,172,2927,9.6,1971-01-01,USA
mazda glc custom,15.7,4,88.0,129,2401,15.5,1971-01-01,Japan
mercedes-benz 280s,32.7,4,305.0,105,3418,16.6,1971-01-01,Europe
vw dasher (diesel),34.5,4,342.0,68,2500,11.0,1971-01-01,Europe
mercedes-benz 280s,32.5,4,382.0,103,2398,14.2,1971-01-01,Europe
plymouth horizon,33.6,6,186.0,58,4459,19.8,1971-01-01,USA
amc hornet,14.8,5,147.0,172,2673,19.4,1971-01-01,USA
dodge colt hardtop,30.7,6,311.0,175,4092,13.7,1971-01-01,USA
chevrolet monte carlo s,34.8,4,118.0,61,4177,18.5,1971-01-01,USA
plymouth sapporo,19.4,6,376.0,79,4371,16.8,1971-01-01,USA
volkswagen rabbit custom,22.5,4,262.0,51,5140,12.2,1971-01-01,Europe
cadillac seville,12.3,4,395.0,143,4832,16.8,1971-01-01,USA
dodge aspen 6,18.4,8,317.0,157,3779,12.8,1971-01-01,USA
amc gremlin,28.1,5,286.0,109,5140,18.5,1971-01-01,USA
oldsmobile vista cruiser,27.3,8,392.0,199,2884,11.2,1972-01-01,USA
pontiac astro,26.5,4,161.0,160,2416,17.5,1972-01-01,USA
chevrolet vega,16.5,4,84.0,68,3025,16.6,1972-01-01,USA
subaru,19.0,4,152.0,101,2093,17.6,1972-01-01,Japan
fiat x1.9,27.1,4,335.0,66,2130,17.3,1972-01-01,Europe
pontiac phoenix,26.4,7,301.0,88,4593,11.6,1972-01-01,USA
mazda glc 4,15.2,3,176.0,84,1613,13.3,1972-01-01,Japan
amc matador (sw),25.5,5,406.0,77,3101,15.4,1972-01-01,USA
honda civic cvcc,11.0,5,96.0,184,2183,10.5,1972-01-01,Japan
