Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th
1106.0,ACCOUNTING,Agriculture & Natural Resources,51107.0,21369.0,24842.0,3701.0,0.050639803,56521.0,37778.0,88632.0
1107.0,ECOLOGY,Agriculture & Natural Resources,37777.0,14992.0,37552.0,3208.0,0.041091172,46689.0,37195.0,86947.0
1108.0,VISUAL AND PERFORMING ARTS,Agriculture & Natural Resources,51523.0,13243.0,17285.0,1728.0,0.05192133,50890.0,35773.0,75672.0
1123.0,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Agriculture & Natural Resources,85017.0,19242.0,63867.0,693.0,0.033120686,61876.0,34063.0,74240.0
1145.0,APPLIED MATHEMATICS,Agriculture & Natural Resources,127881.0,6890.0,48077.0,1473.0,0.042153137,49172.0,36793.0,73034.0
1147.0,ARCHITECTURE,Agriculture & Natural Resources,99722.0,12411.0,36230.0,1894.0,0.046489019,55297.0,39101.0,90750.0
1170.0,BIOMEDICAL ENGINEERING,Agriculture & Natural Resources,38511.0,24970.0,23064.0,3785.0,0.052502657,61725.0,37267.0,75665.0
1176.0,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Agriculture & Natural Resources,74661.0,24212.0,11878.0,337.0,0.036399886,48031.0,30295.0,74005.0
1181.0,ANTHROPOLOGY AND ARCHEOLOGY,Agriculture & Natural Resources,97171.0,9142.0,11201.0,926.0,0.03503997,51067.0,35557.0,81144.0
1185.0,ARCHITECTURE,Agriculture & Natural Resources,119143.0,27531.0,13158.0,2351.0,0.053833174,62203.0,34006.0,74463.0
1233.0,CONSTRUCTION SERVICES,Agriculture & Natural Resources,49675.0,11415.0,38682.0,1398.0,0.050129068,59712.0,37009.0,81241.0
1262.8231183070216,NEUROSCIENCE,Communications & Journalism,267751.9925773746,13529.684884387681,53878.350879080026,5188.9691376139235,0.024480819,43783.99501380202,36556.031260427,94709.22544399498
1267.2388851979022,MEDICAL ASSISTING SERVICES,Communications & Journalism,370304.0103470703,3892.4975720776542,18039.687270019986,630.6573632707824,0.062796574,80786.96920205232,42894.848407003556,103158.85442630641
1350.069355468402,MARKETING AND MARKETING RESEARCH,Communications & Journalism,513685.22558894224,46152.15377274547,284515.4763367695,1269.2798976613888,0.066512199,51169.851750148446,24900.0,71530.44345347422
1507.0,MINING AND MINERAL ENGINEERING,Humanities & Liberal Arts,623574.0,42593.0,35907.0,11790.0,0.060909263,46827.0,27046.0,68255.0
1699.0,COMMERCIAL ART AND GRAPHIC DESIGN,Humanities & Liberal Arts,304129.0,51952.0,119677.0,31925.0,0.067014267,40786.0,33000.0,81024.0
