Date,Price
1914-12-01,46.56
1914-12-31,53.01
1915-01-30,30.37
1915-03-01,52.77
1915-03-31,57.77
1915-04-30,58.05
1915-05-30,82.37
1915-06-29,49.19
1915-07-29,65.87
1915-08-28,55.25
1915-09-27,88.68
1915-10-27,65.57
1915-11-26,69.06
1915-12-26,58.53
1916-01-25,73.87
1916-02-24,75.73
1916-03-25,61.24
1916-04-24,73.93
1916-05-24,80.74
1916-06-23,68.92
1916-07-23,87.78
1916-08-22,61.0
1916-09-21,93.67
1916-10-21,72.12
1916-11-20,87.68
1916-12-20,100.08
1917-01-19,79.83
1917-02-18,103.72
1917-03-20,83.82
1917-04-19,92.33
1917-05-19,86.82
1917-06-18,71.26
1917-07-18,90.69
1917-08-17,102.58
1917-09-16,120.2
1917-10-16,80.92
1917-11-15,120.55
1917-12-15,80.52
1918-01-14,106.95
1918-02-13,123.05
1918-03-15,88.94
1918-04-14,103.85
1918-05-14,87.32
1918-06-13,102.71
1918-07-13,124.48
1918-08-12,110.31
1918-09-11,111.51
1918-10-11,110.53
1918-11-10,113.81
1918-12-10,114.54
1919-01-09,118.21
1919-02-08,124.4
1919-03-10,102.63
1919-04-09,133.03
1919-05-09,129.06
1919-06-08,131.78
1919-07-08,118.87
1919-08-07,105.49
1919-09-06,100.59
1919-10-06,140.38
1919-11-05,135.38
1919-12-05,121.56
1920-01-04,142.55
1920-02-03,127.07
1920-03-04,126.23
1920-04-03,148.24
1920-05-03,119.5
1920-06-02,126.52
1920-07-02,133.63
1920-08-01,117.95
1920-08-31,148.31
1920-09-30,128.51
1920-10-30,127.58
1920-11-29,146.91
1920-12-29,136.92
1921-01-28,128.36
1921-02-27,128.95
1921-03-29,155.78
1921-04-28,135.44
1921-05-28,136.6
1921-06-27,157.27
1921-07-27,154.73
1921-08-26,146.96
1921-09-25,146.34
1921-10-25,148.32
1921-11-24,157.56
1921-12-24,151.1
1922-01-23,151.86
1922-02-22,145.49
1922-03-24,167.48
1922-04-23,172.94
1922-05-23,173.79
1922-06-22,175.67
1922-07-22,163.35
1922-08-21,183.07
1922-09-20,153.3
1922-10-20,150.62
1922-11-19,164.29
1922-12-19,148.56
1923-01-18,189.89
1923-02-17,155.24
1923-03-19,139.17
1923-04-18,157.2
1923-05-18,169.64
1923-06-17,169.96
1923-07-17,191.32
1923-08-16,188.22
1923-09-15,168.99
1923-10-15,179.02
1923-11-14,184.45
1923-12-14,168.83
1924-01-13,159.53
1924-02-12,208.95
1924-03-13,169.11
1924-04-12,206.65
1924-05-12,190.89
1924-06-11,166.62
1924-07-11,193.5
1924-08-10,179.84
1924-09-09,205.43
1924-10-09,184.75
1924-11-08,186.14
1924-12-08,189.42
1925-01-07,166.76
1925-02-06,203.29
1925-03-08,196.37
1925-04-07,203.31
1925-05-07,192.28
1925-06-06,207.52
1925-07-06,200.13
1925-08-05,200.91
1925-09-04,214.61
1925-10-04,222.57
1925-11-03,208.41
1925-12-03,206.99
1926-01-02,197.16
1926-02-01,195.86
1926-03-03,204.65
1926-04-02,216.44
1926-05-02,221.95
1926-06-01,187.88
1926-07-01,228.08
1926-07-31,207.85
1926-08-30,217.44
1926-09-29,219.21
1926-10-29,224.8
1926-11-28,226.85
1926-12-28,216.35
1927-01-27,228.0
1927-02-26,237.7
1927-03-28,225.27
1927-04-27,215.67
1927-05-27,227.49
1927-06-26,200.09
1927-07-26,213.55
1927-08-25,244.41
1927-09-24,224.82
1927-10-24,237.69
1927-11-23,224.2
1927-12-23,236.33
1928-01-22,209.99
1928-02-21,233.99
1928-03-22,250.04
1928-04-21,211.24
1928-05-21,233.59
1928-06-20,231.88
1928-07-20,230.23
1928-08-19,252.75
1928-09-18,237.4
1928-10-18,260.35
1928-11-17,259.92
1928-12-17,241.03
1929-01-16,259.14
1929-02-15,260.78
1929-03-17,271.74
1929-04-16,252.62
1929-05-16,261.74
1929-06-15,251.21
1929-07-15,247.65
1929-08-14,254.83
1929-09-13,271.99
1929-10-13,265.41
1929-11-12,258.18
1929-12-12,270.36
1930-01-11,268.83
1930-02-10,266.6
1930-03-12,242.24
1930-04-11,256.56
1930-05-11,267.5
1930-06-10,279.94
1930-07-10,272.74
1930-08-09,278.23
1930-09-08,272.7
1930-10-08,283.1
1930-11-07,270.83
1930-12-07,270.39
1931-01-06,276.27
1931-02-05,268.73
1931-03-07,257.97
1931-04-06,288.02
1931-05-06,290.44
1931-06-05,277.44
1931-07-05,292.34
1931-08-04,292.46
1931-09-03,293.7
1931-10-03,290.8
1931-11-02,266.95
1931-12-02,287.82
1932-01-01,290.45
1932-01-31,272.52
1932-03-01,282.54
1932-03-31,291.23
1932-04-30,270.86
1932-05-30,291.26
1932-06-29,286.77
1932-07-29,294.08
1932-08-28,289.4
1932-09-27,309.56
1932-10-27,284.49
1932-11-26,305.12
1932-12-26,304.49
1933-01-25,305.37
1933-02-24,297.97
1933-03-26,295.21
1933-04-25,316.99
1933-05-25,306.93
1933-06-24,297.76
1933-07-24,327.54
1933-08-23,295.75
1933-09-22,335.61
1933-10-22,308.28
1933-11-21,317.41
1933-12-21,314.23
1934-01-20,323.26
1934-02-19,301.13
1934-03-21,326.07
1934-04-20,330.33
1934-05-20,335.91
1934-06-19,321.25
1934-07-19,303.83
1934-08-18,321.91
1934-09-17,327.7
1934-10-17,312.7
1934-11-16,336.85
1934-12-16,337.3
1935-01-15,333.08
1935-02-14,336.62
1935-03-16,329.18
1935-04-15,318.06
1935-05-15,324.51
1935-06-14,324.79
1935-07-14,346.22
1935-08-13,352.61
1935-09-12,342.48
1935-10-12,339.77
1935-11-11,369.97
1935-12-11,357.74
1936-01-10,334.11
1936-02-09,361.21
1936-03-10,326.99
1936-04-09,357.02
1936-05-09,340.69
1936-06-08,369.88
1936-07-08,373.22
1936-08-07,356.89
1936-09-06,361.04
1936-10-06,362.44
1936-11-05,351.68
1936-12-05,359.42
1937-01-04,363.76
1937-02-03,361.63
1937-03-05,362.56
1937-04-04,355.51
1937-05-04,355.39
1937-06-03,370.1
1937-07-03,371.33
1937-08-02,383.23
1937-09-01,359.7
1937-10-01,370.07
1937-10-31,354.6
1937-11-30,360.75
1937-12-30,390.86
1938-01-29,355.0
1938-02-28,347.2
1938-03-30,386.75
1938-04-29,382.37
1938-05-29,373.79
1938-06-28,369.88
1938-07-28,394.92
1938-08-27,377.37
1938-09-26,406.68
1938-10-26,374.57
1938-11-25,377.97
1938-12-25,370.27
