id,question,choices,answerKey
1,"In the past, wild hogs called ""javelinas"" were seen only in the southern part of New Mexico. Now, javelinas are seen in areas 100 miles further north. What is the most likely cause of this expansion?",1,B
2,Which of these is the BEST reason to study weather?,2,A
3,Competition is most likely to occur between which two organisms?,3,C
4,Sharpening a pencil and tearing paper are examples of physical changes. Which statement describes why these are physical changes?,4,B
5,"When the lighted half of the Moon faces the Sun and the dark half faces Earth, the phase of the Moon viewed from Earth is called the",5,A
6,A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years?,6,D
7,Michelle is interested in improving the quality of the soil in her yard. She wants more water and air to penetrate the soil. What should she add to the soil to help her achieve this goal?,7,C
8,Which of these cycles takes 24 hours?,8,D
9,The danger posed to fish in an aquarium by an overpopulation of bacteria caused by an algal bloom is most likely a,9,B
10,The bonding of oxygen to red blood cells is important to the body because it enables the body to,10,A
11,"If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will",11,D
12,Which statement correctly describes a relationship between two human body systems?,12,D
13,Some ancient Greeks tried to discover the laws of the universe through thought and logic. Which part of the scientific process were these scientists missing?,13,A
14,Western coral snakes have a striped color pattern and are poisonous. Arizona mountain king snakes look like western coral snakes but are not poisonous. The color pattern of the Arizona mountain king snake is an example of,14,A
15,Which metric unit is used to describe an object's length?,15,A
16,Which object is powered by an electrical circuit?,16,B
17,Which of the following events during meiosis contributes most to the variation within a species?,17,D
18,Which is the greatest impact humans have had on the carbon cycle?,18,C
19,"When an ice cube melts, its state of matter changes from a",19,B
20,"When sugar is heated on a hot plate, it turns into a liquid. When the liquid sugar is cooled, a hard-crystalline substance is formed. This model best demonstrates the formation of",20,D
21,Most birds sit on their eggs until they hatch. Which of these is the most important reason why birds sit on their eggs?,21,D
22,Which characteristic is shared by Earth and the Moon?,22,C
23,Which resource is considered nonrenewable?,23,B
24,Sand and iron particles that are similar in size and color are mixed together in a beaker. What would be the best method of separating the particles?,24,D
25,Fertilizers added by farmers to the soil contain high amounts of nitrates. How do fertilizers affect the nitrogen cycle?,25,B
26,"Granite is an igneous rock. Which of these describes what usually happens to granite after it is weathered, broken into small particles, buried deep underground, and compacted?",26,B
27,Which is an example of a different substance being formed?,27,D
28,The first step in the construction of a building typically involves,28,D
29,"In gym class a student kicks a soccer ball high into the air. As the ball goes upward, which type of energy is increasing?",29,A
30,Toads lay their eggs in ponds. Tadpoles hatch from the eggs and eat the plants floating in the pond. Which resource is most important for toads to survive?,30,C
31,Scientists dig in a dry area at the bottom of a mountain range. Fossilized shells of freshwater mussels are found in the area. Which is a likely conclusion that scientists will draw based on this evidence?,31,D
32,What is true of mutualistic relationships among organisms?,32,B
33,Which interaction within an ecosystem is characterized by gradual change from one community of organisms to another?,33,D
34,Scientists are discovering ways to make some crops use less water. A person working in which job would most benefit from this research?,34,A
35,An example of an instinct is,35,A
36,"On a cold, cloudy day, the local weather forecaster predicts that a high-pressure system will be moving into the area in the next 24 hours. Which weather conditions will this system most likely bring to the area?",36,D
37,"In a large forest with many animals, there are only a small number of bears. Which of these most likely limits the population of bears in the forest?",37,C
38,Rheumatoid arthritis is a disease that occurs when the body attacks its own tissues. Which body system becomes disordered first?,38,D
39,What may form as a direct result of a star collapsing?,39,A
40,The first step in the construction of a building typically involves,40,B
41,"During a lab investigation, students were asked to determine the best way to clean up an oil spill using different materials. Investigation Materials • filter paper • foam sponge • metal wire screen • thin sock filled with hair The students tested the materials by placing each material into separate buckets containing oil and water. They recorded their observations on which material absorbed the most oil. Why would the students' teacher ask them to repeat their tests?",41,C
42,The chemical reaction of ethane and oxygen produces carbon dioxide and water. Which is the best form to identify reactants and products of the reaction?,42,D
43,"A student heated a pan of soup on a stove. While stirring the soup with a metal spoon, the student noticed the spoon became very warm. What is the most likely reason the spoon became warm?",43,D
44,A recycling plant manager needs to melt 1500 kg of scrap copper to sell to a wire manufacturer. The copper is at 15°C and its melting point is 1083°C. The copper has a specific heat of 385 J/kg x K. How much heat is required to raise the temperature of the copper to its melting point?,44,B
45,Where do many of the basic life functions take place in organisms?,45,C
46,"Nevada is much drier than regions in California that are at the same latitude. Compared to these regions in California, which feature of Nevada contributes most to this dry climate?",46,A
47,Genetically modified plants with new characteristics have been produced through genetic engineering methods. What impacts have resulted from the use of genetically modified plants?,47,A
48,Which statement explains what will most likely happen to the hydrosphere in an area where air temperatures increase?,48,C
49,Which structure surrounds and protects an animal cell?,49,A
50,Organisms that reproduce asexually generally have offspring that are,50,B
51,"When a person chews, saliva from the mouth mixes with starches in food. These starches begin to turn into sugars. Changing starches into sugars is best described as",51,D
52,Which is the best plan to make the fossil fuel supply last longer?,52,D
53,"When a balloon is filled with air and suddenly released, it will fly around the room as the air escapes. If compared to space transportation, the escaping air is most similar to what subsystem of a spacecraft?",53,C
54,The digestive system breaks food into simple substances that the body can use. What system carries these simple substances from the digestive system to other parts of the body?,54,C
55,The Himalayan Mountain chain is the youngest and tallest mountain chain on Earth. Which phenomenon contributed most to this area of continental buildup?,55,D
56,The sum of all chemical reactions in the human body is known as,56,C
57,A research team wanted to produce a smaller variety of German shepherd dogs. They mated the smallest dogs from different litters for several generations. This is an example of which concept?,57,B
58,How are droughts always different from floods?,58,D
59,The rocks that form most of the Sierra Nevada are granitic rocks. This means that the mountains were most likely formed by,59,D
60,Which BEST explains why green marine algae are most often restricted to the top 100 meters of the ocean?,60,C
61,"An electrical circuit can be used to break down water into hydrogen and oxygen. In this process, electrical energy produces",61,D
62,Students measure the time for toy cars of different masses to roll down a hill. Which of the following units should the students use to measure time?,62,C
63,The Theory of Plate Tectonics revolutionized scientific thought because it,63,C
64,Which characteristic can an amoeba change that a paramecium cannot change?,64,D
65,Which example describes an organism taking in nutrients?,65,C
66,Which of the following best describes the climate of an area?,66,C
67,What goal does taxonomy accomplish?,67,D
68,"In the process of photosynthesis, sunlight is converted into",68,B
69,Which of the following is an abiotic factor that can influence the quantity of fish a pond can support?,69,C
70,Data indicate that chemical pollutants contaminate 53% of the waterways that empty into the Chesapeake Bay. These chemical pollutants are found in the tissues of animals living in the bay. Which group of people who live away from the bay might be most affected by these chemical pollutants?,70,A
71,Which plant trait is inherited?,71,1
72,Campers shouted toward a canyon wall. What characteristic of sound best explains why the campers heard an echo?,72,A
73,"In the Adirondack forests of New York, some trees have died. The change in the forest is thought to be related to air pollution and rain. Which abiotic factor most likely has been changed as a result of the pollution and rain which resulted in the death of the trees?",73,B
74,"In the Adirondack forests of New York, some trees have died. The change in the forest is thought to be related to air pollution and rain. Which abiotic factor most likely has been changed as a result of the pollution and rain which resulted in the death of the trees?",74,B
75,Which of the following best describes an atom?,75,A
76,In which of these investigations would pictures from a camera be most useful?,76,D
77,Which energy conversion process occurs whenever coal is burned?,77,A
78,During a lab investigation a scientist heats a solid substance. The scientist observes that the solid has two different melting points. The scientist is able to separate the two resulting liquids. Which statement best classifies the original solid substance?,78,C
79,Which adaptation will warn predators not to eat an animal?,79,B
80,A scientist observes an unusual activity while studying bacterial cells. Using scientific inquiry to investigate the activity will enable the scientist to,80,3
81,Earth is about 81 times more massive than the Moon. How will the mass and weight of a rocket on the Moon compare to its mass and weight on Earth?,81,D
82,Which action most likely causes large rocks to become smaller pieces of rock?,82,C
83,Which part of a plant is most responsible for using energy from the Sun to produce food for the plant?,83,D
84,"The snowshoe hare was once common in Maryland. In 1986, researchers in the state noted that the snowshoe hare was no longer found in Maryland. Which statement best explains why the snowshoe hare is no longer found in Maryland?",84,C
85,A paper bag is ripped into pieces. Which of these BEST describes the pieces of the bag?,85,C
86,Which characteristic can an amoeba change that a paramecium cannot change?,86,C
87,A newborn kangaroo has the ability to crawl into its mother's pouch to drink milk. This is an example of,87,D
88,Where is most of Earth's water located?,88,B
89,What is formed when a sodium atom and chlorine atom react chemically?,89,A
90,"When a person speaks into a telephone, sound energy is changed mostly into which form of energy?",90,D
91,Which tool would be best to measure the length of a butterfly?,91,C
92,Rocks in warm and humid environments can be weathered faster than rocks in other environments. Which is most likely the next step in the rock cycle for weathered rocks?,92,C
93,Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing,93,B
94,"A forest is flooded when a natural dam breaks, leaving the forest floor under two meters of water. Which animal is most affected by the flooding?",94,D
