method,number,orbital_period,mass,distance,year
Transit,1,2.243752,,,2008
Radial Velocity,1,225.7,,29.94,2010
Radial Velocity,1,6.1335,2.13,,2005
Radial Velocity,1,663.0,3.3,115.47,2009
Radial Velocity,2,567.0,,,2009
Transit,1,1.7635892,,,2011
Radial Velocity,1,,3.0,46.93,2002
Radial Velocity,2,8.1256,,26.21,2011
Radial Velocity,1,4885.0,3.1,189.39,2009
Radial Velocity,1,423.841,,18.24,2000
Radial Velocity,1,711.0,6.54,66.49,2005
Transit,3,85.312,,,2012
Eclipse Timing Variations,1,2900.0,,,2011
Transit,2,10.95416,,339.0,2013
Radial Velocity,1,392.6,,,2011
Radial Velocity,4,5.36874,,,2005
Transit,1,1.7635892,,,2011
Radial Velocity,2,3.8728,0.027,20.1,2013
Radial Velocity,1,1096.2,0.168,,2011
Radial Velocity,1,1057.0,3.12,59.35,2008
Transit,2,0.853585,,150.0,2009
Transit,1,4.086052,,380.0,2012
Transit,1,2.9444256,,,2010
Radial Velocity,1,359.5546,10.57,49.0,2007
Transit,5,6.098493,,,2011
Radial Velocity,1,1117.0,1.16,56.18,2010
Transit,5,122.3874,,,2013
Radial Velocity,1,1136.1,,62.11,2002
Transit,1,2.810595,,193.0,2011
Transit,3,27.50868,,,2013
Transit,1,2.7817387,,170.0,2012
Transit,1,1.5373653,,450.0,2011
Radial Velocity,1,3.416,,,2004
Radial Velocity,1,356.0,,131.41,2009
Transit,4,43.8445,,,2014
Radial Velocity,1,1561.0,7.71,,2003
Radial Velocity,1,4.9437,,40.73,2002
Transit,2,,,,2013
Radial Velocity,2,14.182,,28.6,2011
Transit,1,6.871815,,110.0,2010
Transit,1,2.899736,,138.0,2007
Radial Velocity,2,4270.0,,19.72,2005
Transit,3,5.859944,,,2012
Radial Velocity,1,952.7,,97.18,2008
Radial Velocity,6,197.8,0.0223,,2012
Radial Velocity,1,1125.7,,121.36,2008
Radial Velocity,1,111.4357,,29.04,2001
Radial Velocity,6,16.3567,,39.39,2010
Transit,1,2.4238039,,,2011
Radial Velocity,1,526.62,1.56,,2007
Radial Velocity,1,4218.0,1.88,45.52,2009
Radial Velocity,1,386.3,,34.57,2003
Radial Velocity,1,4951.0,,42.77,2012
Transit,1,4.1137912,,124.22,2012
Orbital Brightness Modulation,2,0.342887,,1180.0,2011
Radial Velocity,1,1244.0,0.38,,2009
Radial Velocity,1,2.64561,,,2010
Radial Velocity,2,2500.0,,,2008
Transit,1,2.875317,,70.0,2010
Transit,1,4.3176782,,120.0,2010
Radial Velocity,1,3630.0,,36.36,2012
Transit,1,105.599,,600.0,2012
Radial Velocity,1,890.76,1.79,48.95,2004
Transit,1,5.452654,,257.0,2011
Radial Velocity,6,7.2004,0.018,6.8,2011
Transit,2,24.806,,,2013
Radial Velocity,1,187.83,,84.03,2012
Radial Velocity,2,188.9,,94.61,2002
Radial Velocity,1,,,112.23,2011
Radial Velocity,2,19.382,0.865,,2013
Radial Velocity,1,615.0,,35.88,2011
Transit,1,4.086052,,,2012
Transit,3,29.33434,,1400.0,2012
Microlensing,1,,,,2010
Radial Velocity,1,387.1,,168.92,2011
Transit,1,3.5327313,,,2010
Radial Velocity,4,61.1166,,4.7,1998
Radial Velocity,1,479.0,1.6,114.55,2009
Transit,1,3.408821,,,2010
Radial Velocity,2,572.4,1.26,35.59,2003
Transit,1,228.776,,61.0,2011
Radial Velocity,1,18.20163,,37.35,1999
Radial Velocity,1,4.230785,0.472,,1995
Eclipse Timing Variations,1,2900.0,,,2011
Radial Velocity,1,1251.0,,31.12,2007
Radial Velocity,1,963.0,2.54,43.03,2004
Transit,1,1.51214,,1340.0,2010
Transit,2,5.4122,,,2013
Radial Velocity,1,1096.2,,,2011
Transit,2,13.485,,,2012
Transit,2,7.053,,,2012
Radial Velocity,2,345.72,1.42,44.8,2009
Transit,2,24.806,,,2013
Microlensing,1,,,2800.0,2012
Transit,1,4.640382,,249.0,2012
Transit,1,4.187757,,260.0,2008
Radial Velocity,1,123.0,,43.99,2004
Transit,1,4.353011,,155.0,2009
Eclipse Timing Variations,1,4343.5,,,2012
Radial Velocity,1,1800.0,,,2008
Radial Velocity,3,962.0,0.64,,2008
Radial Velocity,1,,6.8,42.77,2012
Transit,2,7.8773565,,,2012
Radial Velocity,1,,18.37,,2003
Radial Velocity,1,610.0,2.2,170.07,2009
Radial Velocity,1,2819.654,9.17,54.71,2002
Radial Velocity,1,2754.0,,,2009
Transit,1,1.2198669,,,2010
Transit,1,2.152226,,147.0,2007
Transit,1,1.9000693,,870.0,2011
Transit,1,105.599,,600.0,2012
Transit,2,12.883,,,2012
Radial Velocity,1,1260.0,3.06,53.05,2008
Radial Velocity,1,103.95,,55.19,2008
Transit,1,2.7033904,,178.0,2013
Radial Velocity,1,133.71,,17.62,2000
Transit,1,1.212884,,393.0,2010
Radial Velocity,1,323.6,,,2008
Eclipse Timing Variations,2,1916.25,,,2011
Transit,2,10.5016,,,2012
Radial Velocity,1,137.48,1.11,175.44,2013
Radial Velocity,1,2496.0,,55.01,2009
Radial Velocity,6,,,,2011
Radial Velocity,2,937.7,1.24,,2003
Transit,2,6.48163,,,2014
Transit,5,5.714932,,368.0,2013
Radial Velocity,1,17337.5,9.0,23.98,2009
Radial Velocity,2,191.99,0.101,38.64,2011
Radial Velocity,2,,8.02,37.88,1998
Transit,2,7.1073,,800.0,2011
Radial Velocity,4,,,6.27,2005
Microlensing,1,,,,2008
Transit,2,71.312,,,2013
Radial Velocity,1,,,,2012
Radial Velocity,1,2.817822,0.38,35.8,2005
Imaging,1,,,,2006
Radial Velocity,1,111.4357,,29.04,2001
Transit,7,331.60059,,780.0,2013
Transit,1,3.35524,,,2010
Transit,1,4.641878,,447.0,2012
Radial Velocity,2,931.0,5.13,66.89,2013
Radial Velocity,1,,,21.3,2010
Radial Velocity,1,528.4,,,2003
Radial Velocity,3,603.0,,,2013
Pulsar Timing,3,98.2114,,,1994
Radial Velocity,1,989.2,,,2006
Transit,1,5.723186,,322.0,2011
Transit,6,13.0241,,,2010
Transit,1,2.47063,,,2006
Radial Velocity,1,615.0,,35.88,2011
Radial Velocity,1,3.2357,,1.35,2012
Radial Velocity,1,1475.0,,,2009
Transit,1,1.4857108,,800.0,2011
Transit,2,23.654,,,2013
Radial Velocity,1,2063.818,10.35,18.21,2001
Transit,2,10.5016,,,2012
Transit,1,1.217514,,262.0,2012
Radial Velocity,1,3.48777,,80.0,2000
Radial Velocity,1,22.09,0.48,40.32,2003
Radial Velocity,1,21.21663,,78.25,2007
Radial Velocity,1,465.1,,,2009
Radial Velocity,6,51.76,0.0164,12.83,2012
Orbital Brightness Modulation,2,0.342887,,1180.0,2011
Radial Velocity,1,55.806,0.186,20.82,2009
Transit,3,,,,2010
Radial Velocity,3,11.577,,,2011
Radial Velocity,4,5.36874,0.049,6.27,2005
Microlensing,1,1970.0,,,2010
Transit,1,4.617101,,255.0,2012
Radial Velocity,1,501.75,,,2009
Radial Velocity,2,58.11289,,37.88,1998
Radial Velocity,1,2.8758911,,78.86,2005
Radial Velocity,1,663.0,3.3,115.47,2009
Transit,2,10.338523,,90.0,2010
Radial Velocity,1,2819.654,,54.71,2002
Radial Velocity,1,358.0,,32.62,2009
Transit,2,50.447,,,2013
Transit,1,10.863502,,190.0,2010
Transit,1,1.72086123,,,2014
Radial Velocity,5,4909.0,3.53,12.53,2002
Radial Velocity,5,14.651,,,1996
Transit,2,4.72674,,,2014
Radial Velocity,6,49.747,,39.39,2010
Microlensing,1,,,2300.0,2012
Radial Velocity,3,2391.0,,14.08,2001
Transit,1,3.024095,,1950.0,2011
Radial Velocity,2,25.648,0.027,52.03,2013
Transit,1,6.790123,,980.0,2011
Radial Velocity,1,176.3,,126.1,2010
Radial Velocity,1,326.03,19.4,110.62,2007
Transit,1,1.30618581,,228.0,2007
Transit,1,2.9444256,,,2010
Radial Velocity,2,33.823,0.0422,43.08,2011
Radial Velocity,1,297.3,,127.55,2007
Transit,6,118.3807,,613.0,2010
Radial Velocity,1,792.6,,58.17,2012
Radial Velocity,1,2288.0,0.82,,2009
Transit,4,4.7779803,,,2012
Transit,5,16.1457,,,2013
Radial Velocity,1,6.276,1.9,58.82,2001
Transit,1,6.24658,,,2013
Radial Velocity,1,990.0,,59.84,2009
Orbital Brightness Modulation,2,0.240104,,,2011
Radial Velocity,1,380.85,,44.5,2008
Radial Velocity,2,452.8,1.99,,2010
Radial Velocity,2,1022.0,,,2011
Radial Velocity,2,342.85,,32.58,2008
Transit,2,23.654,,,2013
Transit,2,0.837495,,,2011
Microlensing,1,,,,2013
Radial Velocity,1,396.03,,131.75,2010
Transit,1,,,,2013
Transit,2,9.37647,,,2012
Transit,1,2.46502,,,2014
Transit,2,34.921,,,2013
Transit,1,4.2,,8500.0,2006
Transit,2,15.3348,,,2011
Transit,1,3.54387,,,2012
Transit Timing Variations,3,,,,2014
Imaging,1,,,,2007
Transit,5,3.6961219,,,2011
Radial Velocity,2,1275.0,1.11,,2011
Radial Velocity,4,241.258,,13.47,1999
Radial Velocity,1,157.57,,140.85,2011
Radial Velocity,1,103.95,,55.19,2008
Transit,2,42.994,,,2013
Radial Velocity,1,122.1,,9.24,2010
Transit,1,4.1591399,,200.0,2012
Radial Velocity,2,3.93,0.017,43.53,2009
Transit,1,1.30618581,,,2007
Radial Velocity,1,,,53.05,2008
Transit,1,3.030065,,152.3,2004
Transit,1,2.77596,,235.0,2010
Radial Velocity,1,,,35.0,2002
Radial Velocity,1,2496.0,,55.01,2009
Transit,1,4.457243,,501.0,2012
Radial Velocity,4,643.25,,15.28,2000
Radial Velocity,1,442.1,,21.29,1998
Radial Velocity,2,1945.0,0.622,33.98,2005
Transit,1,9.20205,,,2008
Radial Velocity,1,689.0,,182.82,2011
Transit,1,2.150008,,283.0,2011
Transit,1,9.20205,,,2008
Radial Velocity,2,237.6,,42.09,2009
Transit,1,1.72086123,,,2014
Radial Velocity,1,1290.0,7.8,67.02,2009
Transit,1,3.257215,,395.0,2011
Transit,7,91.93913,,780.0,2013
Transit,1,0.813475,,80.0,2011
Radial Velocity,3,106.72,,14.56,2011
Radial Velocity,1,49.77,,22.09,2009
Radial Velocity,3,2473.0,8.06,64.56,2003
Radial Velocity,1,5.8872,0.04,22.04,2011
Transit,1,2.3114243,,310.0,2013
Radial Velocity,1,1057.0,,59.35,2008
Radial Velocity,3,11.577,,14.56,2011
Radial Velocity,2,3810.0,1.99,47.92,1999
Transit,1,288.822,,,2011
Radial Velocity,1,,,56.05,2010
Radial Velocity,2,5000.0,,25.65,2009
Transit,1,4.954658,,,2008
Radial Velocity,1,2097.0,3.0,85.18,2009
Radial Velocity,2,520.0,,,2008
Radial Velocity,2,2140.2,,42.43,2000
Radial Velocity,1,2231.0,2.0,28.76,2003
Radial Velocity,1,136.75,,62.66,2007
Transit,2,33.60134,,,2012
Radial Velocity,2,923.8,,16.57,2005
Radial Velocity,5,4909.0,,12.53,2002
Transit,5,10.854092,,290.0,2011
Radial Velocity,3,38.021,0.057,,2009
Transit,1,2.17517632,,550.0,2012
Radial Velocity,1,591.9,1.9,36.02,2006
Transit,1,1.4857108,,800.0,2011
Radial Velocity,2,621.99,12.47,,2009
Transit,5,5.66793,,,2011
Radial Velocity,4,66.8,,6.27,2005
Radial Velocity,4,30.0881,,4.7,2000
Transit,1,,,1000.0,2012
Transit,2,12.0717249,,,2012
Transit,1,4.411953,,160.0,2012
Radial Velocity,1,1117.0,,,2010
Transit,1,,,,2010
Radial Velocity,1,1145.0,0.67,64.98,2007
Transit,5,2.896,,303.0,2012
Transit,5,22.7802,,,2012
Transit,5,10.3117,,,2014
Radial Velocity,3,59.519,,26.91,2011
Radial Velocity,2,6005.0,5.3,25.64,2012
Transit,1,2.810595,,,2011
Transit,6,,,613.0,2010
Transit,3,8.13123,,,2012
Radial Velocity,3,2831.6,,47.3,2012
Transit,1,4.2,,,2006
Radial Velocity,1,2.391,,76.51,2009
Radial Velocity,1,,,,2003
Transit,1,4.885525,,,2009
Radial Velocity,1,1773.4,4.64,18.15,2002
Transit,1,0.94145299,,105.49,2009
Radial Velocity,1,4218.0,,45.52,2009
Radial Velocity,2,1353.6,,37.84,2008
Radial Velocity,2,937.7,1.24,,2003
Transit,1,4.055259,,,2011
Radial Velocity,3,346.6,0.396,64.56,2007
Transit,1,2.4238039,,,2011
Transit,2,242.4613,,,2013
Radial Velocity,2,17.1,0.057,15.89,2005
Radial Velocity,1,2.245715,,52.72,2005
Transit,1,2.7566004,,,2010
Transit,2,10.338523,,90.0,2010
