Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
oldsmobile omega brougham,9.5,7,236.0,190,3601,19.4,1970-01-01,USA
toyota corona hardtop,16.6,5,399.0,60,1952,11.0,1970-01-01,Japan
toyota celica gt liftback,9.8,4,340.0,150,2160,14.6,1970-01-01,Japan
ford mustang cobra,17.7,8,237.0,73,4078,10.4,1970-01-01,USA
datsun 310,18.9,4,162.0,106,1953,12.5,1970-01-01,Japan
dodge colt,20.5,7,174.0,,3091,12.1,1970-01-01,USA
buick century,10.4,7,144.0,91,3952,18.9,1970-01-01,USA
dodge charger 2.2,9.6,6,204.0,188,2309,16.3,1970-01-01,USA
plymouth 'cuda 340,16.1,7,385.0,221,4034,13.4,1970-01-01,USA
plymouth sapporo,20.1,5,406.0,141,3813,15.8,1970-01-01,USA
pontiac lemans v6,12.4,6,280.0,81,3559,17.3,1970-01-01,USA
mercury marquis brougham,19.4,5,419.0,221,2251,14.1,1970-01-01,USA
toyota corona hardtop,20.0,4,438.0,125,2508,14.9,1970-01-01,Japan
nissan stanza xe,15.8,4,166.0,46,2553,15.9,1970-01-01,Japan
chevrolet concours,16.3,7,281.0,64,3487,16.9,1970-01-01,USA
ford pinto,14.6,7,120.0,193,2287,17.2,1970-01-01,USA
dodge challenger se,18.7,8,339.0,123,2594,22.5,1970-01-01,USA
oldsmobile omega brougham,14.3,7,214.0,145,4063,17.0,1970-01-01,USA
audi 100 ls,23.4,4,263.0,110,2128,13.4,1970-01-01,Europe
plymouth fury iii,16.0,5,450.0,139,2662,21.6,1970-01-01,USA
fiat 128,19.4,4,136.0,187,1868,14.7,1970-01-01,Europe
mercury grand marquis,19.9,6,436.0,175,3815,16.2,1970-01-01,USA
amc matador,11.4,8,138.0,,3812,14.9,1970-01-01,USA
ford fairmont (man),26.5,4,421.0,84,1613,14.6,1970-01-01,USA
honda civic 1500 gl,22.4,4,445.0,149,1990,16.9,1970-01-01,Japan
volvo 264gl,21.8,4,129.0,150,1959,11.6,1970-01-01,Europe
plymouth satellite custom (sw),11.4,7,241.0,92,3384,15.0,1970-01-01,USA
