mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
24.1,4,343.0,110,3245,16.9,70,usa,ford escort 2h
22.6,4,131.0,62,4577,23.9,70,europe,bmw 320i
19.4,5,248.0,230,4004,16.0,70,usa,dodge aries se
32.1,8,301.0,128,3508,11.2,70,usa,ford ltd landau
42.2,4,130.0,88,2169,16.1,70,europe,opel 1900
14.3,5,267.0,83,2999,17.0,70,usa,pontiac astro
20.6,4,234.0,177,4921,15.4,70,usa,dodge aries wagon (sw)
27.5,4,320.0,50,3763,12.8,70,usa,chevrolet camaro
9.9,5,255.0,131,4169,18.3,70,usa,chevrolet monte carlo s
13.5,7,420.0,106,2823,14.5,70,usa,plymouth duster
32.5,4,80.0,60,2074,12.2,70,japan,datsun 810 maxima
17.4,5,266.0,230,3696,18.6,70,usa,amc concord
23.6,4,84.0,102,2014,13.2,70,japan,datsun 710
20.1,4,417.0,91,3658,14.4,70,usa,plymouth satellite sebring
22.3,7,138.0,132,3570,21.6,70,usa,oldsmobile cutlass ls
21.1,6,297.0,130,3898,21.1,70,usa,amc ambassador brougham
21.4,6,443.0,101,3367,15.1,70,usa,mercury marquis
19.5,6,308.0,117,3663,13.1,70,usa,plymouth fury iii
28.4,4,76.0,82,1798,13.7,70,japan,toyota mark ii
31.6,4,101.0,90,2135,14.6,70,japan,mazda glc custom l
17.2,8,254.0,118,3340,22.4,70,usa,ford mustang ii 2+2
36.0,4,77.0,73,1882,16.7,70,japan,datsun 610
37.7,4,119.0,75,2814,16.5,70,japan,honda accord
21.2,4,396.0,101,3872,19.3,70,usa,plymouth volare custom
15.4,7,412.0,86,2727,17.9,70,usa,ford thunderbird
20.5,7,139.0,136,3034,17.7,70,usa,oldsmobile starfire sx
17.9,4,281.0,130,3295,16.2,70,usa,chevrolet vega 2300
26.7,4,90.0,56,1929,13.6,70,japan,nissan stanza xe
24.9,4,133.0,74,2487,21.0,70,japan,honda civic (auto)
12.6,8,253.0,230,3439,20.4,70,usa,mercury monarch
25.9,4,123.0,77,1869,14.4,70,europe,peugeot 604sl
20.4,4,133.0,57,2457,18.0,70,europe,volkswagen rabbit
9.4,4,171.0,90,3377,14.1,70,usa,ford pinto runabout
16.9,6,404.0,104,2703,20.1,70,usa,chevrolet cavalier wagon
32.4,4,104.0,91,2662,13.5,70,europe,bmw 2002
31.3,4,101.0,133,2250,10.0,70,europe,volkswagen 1131 deluxe sedan
41.4,4,91.0,60,2080,14.7,71,europe,saab 99e
24.8,4,84.0,51,2288,17.0,71,europe,saab 99gle
33.2,7,328.0,82,3092,12.9,71,usa,chevrolet caprice classic
32.4,6,388.0,118,2852,15.1,71,usa,chevrolet chevelle malibu
35.4,3,115.0,87,2544,13.0,71,japan,datsun 610
34.8,4,89.0,103,1872,16.0,71,europe,fiat 124 sport coupe
20.8,6,226.0,96,3602,15.4,71,usa,amc ambassador brougham
20.8,7,282.0,112,3736,13.6,71,usa,chevrolet bel air
26.7,4,165.0,73,3052,15.5,71,usa,chevrolet monza 2+2
11.5,7,441.0,179,3976,14.5,71,usa,chevrolet malibu classic (sw)
19.2,6,197.0,63,3423,17.4,71,usa,oldsmobile cutlass ciera (diesel)
19.2,6,104.0,168,2728,17.8,71,usa,buick century luxus (sw)
24.3,6,222.0,111,4260,20.2,71,usa,dodge d100
31.4,4,442.0,72,2691,14.0,71,usa,ford pinto runabout
24.6,8,157.0,103,2787,20.1,71,usa,dodge challenger se
19.0,6,134.0,172,3181,14.4,71,usa,pontiac phoenix
30.8,4,101.0,72,2386,13.7,71,japan,toyota carina
26.8,4,110.0,82,2652,16.8,71,japan,toyota corolla 1600 (sw)
17.4,6,340.0,82,2503,17.4,71,usa,chevrolet cavalier wagon
34.0,4,127.0,87,1902,15.5,71,europe,fiat 124b
34.2,4,107.0,74,2542,17.2,71,europe,saab 99e
18.1,4,141.0,176,2321,14.2,71,usa,chevrolet monza 2+2
19.6,4,80.0,55,1917,12.4,71,europe,saab 99e
24.8,4,94.0,100,2682,15.7,71,japan,toyota corolla 1200
9.0,5,255.0,129,4412,15.7,71,usa,ford country
26.9,4,153.0,209,3335,13.1,71,usa,chevrolet chevelle malibu
27.6,7,366.0,133,2756,13.3,71,usa,chevrolet nova custom
27.9,5,109.0,91,2002,10.0,71,japan,datsun 1200
29.4,5,247.0,177,3065,16.0,71,usa,plymouth arrow gs
16.6,5,166.0,66,4577,17.0,71,usa,dodge aries se
11.4,5,115.0,131,4501,9.9,71,usa,chevrolet caprice classic
41.3,4,83.0,46,1843,17.1,72,europe,vokswagen rabbit
18.3,4,103.0,117,3583,13.5,72,europe,volkswagen rabbit custom
20.8,6,353.0,101,2736,18.8,72,usa,chevrolet vega (sw)
25.3,6,308.0,107,3635,18.8,72,usa,oldsmobile omega brougham
