carat,cut,color,clarity,depth,table,price,x,y,z
0.88,Very Good,H,VS1,62.8,63.0,1995,5.28,7.09,3.64
0.43,Premium,E,SI2,61.9,57.0,518,8.15,6.22,3.96
0.92,Ideal,J,SI2,62.7,57.0,611,6.15,6.74,3.78
0.25,Premium,I,VS2,58.9,60.0,2449,5.58,4.22,3.93
1.3,Premium,I,SI2,62.5,55.0,4560,6.76,3.51,3.24
1.18,Ideal,J,VVS1,64.3,56.0,7848,4.51,6.68,3.1
0.98,Very Good,E,VVS2,62.6,55.0,1106,6.29,5.9,2.61
0.62,Premium,G,VS2,59.6,64.0,1564,5.46,5.59,3.89
0.51,Premium,E,VVS1,61.9,59.0,3588,5.64,7.51,2.72
0.87,Very Good,J,SI2,61.3,55.0,5797,5.97,5.71,3.37
0.4,Ideal,E,VS2,61.2,53.6,5130,6.03,4.37,3.9
0.61,Very Good,G,VS2,58.0,61.0,931,4.33,6.19,3.38
0.48,Premium,G,SI2,61.9,58.0,326,7.3,4.67,3.71
0.65,Premium,H,VVS1,61.4,54.0,6006,5.14,6.16,2.73
1.13,Very Good,J,SI1,62.8,58.0,5704,5.67,5.86,4.62
0.71,Good,D,SI1,61.1,57.0,963,3.92,7.1,3.23
0.34,Good,F,VS2,62.9,61.0,2272,7.3,5.78,2.99
0.92,Very Good,H,SI2,62.8,56.0,1901,5.75,5.03,3.55
0.51,Good,J,VS2,62.9,58.0,4284,5.0,5.73,4.42
1.96,Premium,I,SI2,62.9,60.0,837,4.03,8.97,3.31
2.1,Premium,G,I1,68.0,59.0,548,6.18,3.77,3.9
0.39,Premium,H,SI2,61.4,55.0,4965,6.29,4.86,4.92
0.79,Good,F,SI1,60.0,59.0,2562,5.0,6.45,3.44
1.16,Premium,F,SI2,64.3,59.0,521,6.35,4.7,2.33
0.77,Good,I,VS1,62.5,60.0,7006,7.26,5.69,3.02
0.32,Good,G,SI2,60.5,59.0,8249,4.38,5.37,2.8
0.87,Premium,E,I1,63.6,57.0,450,4.86,7.1,3.74
1.61,Very Good,I,SI1,62.5,59.0,7479,6.62,5.65,3.05
1.46,Ideal,G,VS2,63.0,60.0,929,4.64,5.56,3.6
1.73,Ideal,G,SI2,63.6,67.0,4460,6.0,6.77,4.06
1.26,Very Good,H,VS1,61.4,60.0,3901,5.21,6.17,4.33
0.55,Very Good,D,SI1,63.2,58.0,1351,5.6,4.87,3.43
2.59,Ideal,D,VS2,62.8,60.0,6418,4.05,2.58,3.97
0.69,Very Good,F,SI1,62.9,59.0,2704,6.28,5.34,4.34
0.64,Premium,I,VS1,62.3,59.0,16932,6.04,6.14,2.91
0.82,Ideal,F,VVS1,61.5,57.0,3152,5.96,7.67,5.41
1.24,Good,H,VS2,65.4,56.0,1926,7.25,4.38,2.88
0.76,Premium,F,SI1,59.7,60.0,2443,6.74,5.31,3.07
1.21,Good,I,SI1,60.3,57.0,9761,5.13,6.0,3.25
0.63,Very Good,J,VS2,65.0,57.0,8926,7.27,5.0,4.16
1.07,Ideal,H,VS1,62.7,60.0,1217,6.1,6.23,4.63
0.67,Premium,E,VS1,62.0,56.0,1469,6.66,8.15,2.87
0.91,Very Good,E,VVS2,62.2,61.0,1101,5.22,6.06,2.75
1.12,Fair,H,SI1,62.6,59.0,9512,6.39,6.27,3.07
1.08,Ideal,G,IF,62.1,55.0,1908,6.5,7.64,4.63
0.51,Very Good,F,VS1,60.8,59.0,4714,4.18,5.92,2.74
0.86,Ideal,F,VVS2,61.7,57.0,4961,4.17,6.7,2.44
0.95,Ideal,D,VVS2,62.0,62.0,1781,3.72,5.91,1.9
0.68,Good,D,VS2,60.5,54.0,1047,4.22,6.91,3.6
1.01,Ideal,F,SI1,63.5,57.0,1247,6.82,5.63,3.66
0.37,Good,E,SI2,63.9,57.0,3134,5.68,4.88,4.42
0.98,Very Good,D,SI2,67.6,57.0,18823,6.56,6.43,2.84
1.04,Ideal,I,IF,60.5,59.0,1448,5.78,6.13,3.78
0.59,Premium,F,SI2,59.5,63.0,2481,2.98,5.29,3.79
0.71,Good,H,SI2,57.8,54.0,18823,6.36,5.3,3.18
0.39,Very Good,E,VS2,60.3,63.0,1127,5.25,6.29,3.41
0.48,Ideal,E,SI2,58.9,57.0,4563,6.14,5.38,3.6
0.87,Premium,E,SI2,60.0,56.0,1559,7.0,6.66,2.68
1.38,Ideal,H,SI2,61.6,55.0,912,5.64,4.29,2.96
0.37,Ideal,G,VVS2,63.8,55.9,18823,5.19,5.2,3.05
0.82,Ideal,H,VS1,58.6,63.0,10883,3.7,4.88,3.85
1.57,Very Good,I,VVS1,60.8,56.0,5390,7.26,4.56,4.48
1.91,Good,F,VVS1,62.4,62.0,2250,6.18,4.77,2.97
0.55,Premium,G,I1,61.8,55.0,2260,4.75,6.95,2.75
1.07,Very Good,H,VVS2,62.1,60.0,2115,5.47,6.22,2.85
0.67,Ideal,E,VVS1,61.6,56.0,570,6.22,3.01,2.5
0.93,Very Good,G,VVS1,61.9,56.0,9529,7.15,4.59,4.15
0.43,Fair,G,SI2,64.1,57.0,1942,5.18,4.38,3.89
0.75,Ideal,F,VVS1,61.6,55.0,1336,6.62,5.23,4.18
0.63,Ideal,G,SI1,64.2,60.0,4454,7.16,4.61,4.77
0.42,Fair,F,I1,63.8,55.0,399,5.2,6.73,4.27
0.52,Very Good,D,VVS2,62.0,57.0,2062,6.22,6.69,3.34
0.35,Good,G,VS2,60.5,55.0,3089,4.81,7.22,2.89
1.08,Ideal,H,VS2,61.3,56.0,3863,5.47,5.69,3.57
0.69,Premium,E,VS2,62.0,59.0,1538,3.41,5.25,3.23
0.41,Premium,I,VVS2,59.5,55.6,4167,6.13,7.52,3.52
0.82,Ideal,G,SI1,60.9,61.0,427,4.52,4.9,3.3
0.69,Ideal,H,VS1,59.1,63.0,6191,7.36,5.38,3.28
0.23,Ideal,H,SI2,62.3,61.0,1484,7.1,3.79,4.09
0.56,Good,G,VS1,61.4,62.0,1076,7.22,6.12,2.87
2.73,Premium,J,VS2,63.4,57.0,9732,6.62,4.4,3.6
0.34,Very Good,D,SI1,57.4,54.0,1280,5.54,5.4,3.33
1.02,Very Good,I,SI1,59.8,58.0,326,2.01,5.86,4.13
