pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-01 11:10:31,2019-03-01 11:22:40,1,0.48,4.4,1.03,0.23,14.13,yellow,credit card,West Chelsea/Hudson Yards,Crown Heights North,Manhattan,Brooklyn
2019-03-16 03:26:27,2019-03-16 03:39:43,1,0.12,8.7,0.13,0.01,20.85,yellow,credit card,Clinton East,East Tremont,Manhattan,Bronx
2019-03-10 09:28:39,2019-03-10 09:40:15,2,2.35,13.0,1.39,0.29,21.78,yellow,cash,Marine Park/Mill Basin,Lenox Hill East,Brooklyn,Manhattan
2019-03-13 10:15:33,2019-03-13 10:30:03,1,2.06,7.7,0.38,0.0,20.18,yellow,credit card,Central Park,Brighton Beach,Manhattan,Brooklyn
2019-03-23 06:03:24,2019-03-23 06:18:41,1,4.11,2.9,0.52,0.09,10.27,yellow,cash,Chinatown,Parkchester,Manhattan,Bronx
2019-03-25 09:38:32,2019-03-25 09:50:40,1,0.39,4.8,0.3,0.06,18.1,yellow,credit card,Little Italy/NoLiTa,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-15 10:09:07,2019-03-15 10:24:53,1,4.21,10.55,1.94,0.22,40.7,yellow,cash,Garment District,Parkchester,Manhattan,Bronx
2019-03-18 13:28:41,2019-03-18 13:45:36,5,6.1,7.1,1.03,0.47,9.07,yellow,credit card,Upper East Side North,Steinway,Manhattan,Queens
2019-03-23 16:48:27,2019-03-23 17:03:13,1,0.88,7.8,0.14,0.03,53.51,yellow,cash,Kips Bay,Inwood,Manhattan,Manhattan
2019-03-15 09:27:05,2019-03-15 09:42:29,3,5.06,5.4,0.69,0.11,21.63,yellow,credit card,Seaport,Flatlands,Manhattan,Brooklyn
2019-03-12 10:04:58,2019-03-12 10:21:52,1,1.9,11.4,0.7,0.35,16.66,yellow,cash,Crown Heights North,Lenox Hill East,Brooklyn,Manhattan
2019-03-22 01:52:15,2019-03-22 02:06:10,1,1.65,1.3,6.6,5.94,7.68,yellow,credit card,JFK Airport,East Concourse/Concourse Village,Queens,Bronx
