sentence1,sentence2,label,idx
The large ball crashed right through the table because it was made of styrofoam.,Some day they might want to use the safe.,0,12
"The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.",The school bus was going so slow.,0,13
The large ball crashed right through the table because it was made of styrofoam.,"Later, he and Tatyana would shell them and cook them for the beans' Sunday dinners.",1,24
I poured water from the bottle into the cup until it was empty.,Sam would have gotten a lot of money.,1,39
"There is a pillar between me and the stage, and I can't see around it.",The police were trying to run the drug trade in the neighborhood.,0,37
"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",Sally stopped and apologized.,1,41
"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.",The tree is too thick.,1,27
"There is a pillar between me and the stage, and I can't see around it.",The hair has to be cleaned.,1,44
"The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.",Bernard was less than 21 when he filed for a homestead claim.,1,54
Madonna fired her trainer because she slept with her boyfriend.,The lemon trees came out looking more like light bulbs.,0,63
John was doing research in the library when he heard a man humming and whistling. He was very annoying.,Fred is a remarkable man.,1,6
"They broadcast an announcement, but a subway came into the station and I couldn't hear it.",The sheep ended up looking more like golfers.,1,4
The drain is clogged with hair. It has to be cleaned.,The father carried the sleeping boy in the father's arms.,1,35
"Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.",The lemons came out looking more like telephone poles.,1,24
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",The sheep ended up looking more like golfers.,0,23
"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the majority.",Some day they might want to use the safe.,1,38
The city councilmen refused the demonstrators a permit because they advocated violence.,Sally stopped and counted to ten.,0,6
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.",He no longer requires Chester's financial support.,1,60
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,The lawyer was reluctant to repeat it.,1,24
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",The building is very famous.,1,14
"The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.",The drain has to be cleaned.,0,26
"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.",The drain has to be cleaned.,0,58
"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",That's exactly how Facebook makes us feel.,1,2
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.",Sally stopped and apologized.,0,63
I can't cut that tree down with that axe; it is too thick.,The cat waited at the top.,1,55
"Susan knew that Ann's son had been in a car accident, so she told her about it.",The lemons came out looking more like telephone poles.,0,11
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.",Bernard was less than 21 when he filed for a homestead claim.,0,8
"The dog chased the cat, which ran up a tree. It waited at the top.",That's exactly how Facebook makes us feel.,0,39
"George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.",The cat waited at the top.,0,37
"Ann asked Mary what time the library closes, because she had forgotten.",The duck had better get away to safety fast!,1,26
"The dog chased the cat, which ran up a tree. It waited at the top.",Anyone who knew that he was 19 years old could take his claim away from anyone.,0,54
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",I couldn't hear the subway.,0,40
No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.,Susan did not answer.,0,13
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.",I can't see around the stage.,0,8
Jane knocked on Susan's door but she did not answer.,"Since Alice always wears a red turban, Alice spotted her quickly.",0,24
"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",Jane was hungry.,0,65
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",He changed his mind and turned the dishwasher off.,0,23
Madonna fired her trainer because she slept with her boyfriend.,Mark ran to look out the window.,1,41
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There's plenty.""",The tree is too thick.,0,30
The man couldn't lift his son because he was so heavy.,Larry could not help him now.,0,34
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.",She slept with the trainer's boyfriend.,0,37
"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.",The cat was too cautious.,1,20
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers.",Eric was particularly eager to see it.,0,57
The drain is clogged with hair. It has to be cleaned.,The sponsors were very much in the majority.,0,69
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",The hair has to be cleaned.,1,36
"George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.",Larry could not help him now.,0,19
"They broadcast an announcement, but a subway came into the station and I couldn't hear over it.",The con artist would have gotten a lot of money.,1,46
The large ball crashed right through the table because it was made of styrofoam.,Ann told her about it.,0,58
Look! There is a minnow swimming right below that duck! It had better get away to safety fast!,John was very annoying.,0,7
"Sam took French classes from Adam, because he was known to speak it fluently.",The lemon trees came out looking more like light bulbs.,1,54
Madonna fired her trainer because she slept with her boyfriend.,The sheep ended up looking more like golfers.,1,7
"Susan knew that Ann's son had been in a car accident, so she told her about it.",This afternoon the wind knocked The sand castle down.,1,26
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.",Carl was very ill.,0,16
"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.",Sam would have gotten a lot of money.,1,37
Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever step he took in any direction on his own account was just another proof of his innate idiocy.,The cat was too cautious.,1,36
"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.",Ann told her about it.,0,31
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.",Sally stopped and counted to ten.,0,13
I couldn't put the pot on the shelf because it was too high.,Some day they might want to use the safe.,0,34
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.",How very small and straight and rigid her mother lay in the bunk below!,0,23
"Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.",The demonstrators advocated violence.,0,57
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There's plenty.""",We rescued the older students.,1,64
Madonna fired her trainer because she slept with her boyfriend.,The con artist would have gotten a lot of money.,1,41
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",Ann told her about it.,1,48
"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.",Bernard was less than 21 when he filed for a homestead claim.,0,47
"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.",Now I have to get The roof repaired.,1,41
"George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.",Carl was very ill.,0,37
"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like telephone poles.",The father carried the sleeping boy in the father's arms.,1,36
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.",The lemon trees came out looking more like light bulbs.,1,67
The drain is clogged with hair. It has to be removed.,The spot under the tree was hot.,0,33
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",I can't see around the pillar.,0,26
Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,Eric was particularly eager to see it.,0,2
