total_bill,tip,sex,smoker,day,time,size
13.03,2.0,Male,No,Thur,Lunch,2
15.98,3.0,Female,No,Fri,Lunch,3
23.33,5.65,Male,Yes,Sun,Dinner,2
25.21,4.29,Male,Yes,Sat,Dinner,2
12.02,1.97,Male,No,Sat,Dinner,2
10.77,1.47,Male,No,Sat,Dinner,2
19.08,1.5,Male,No,Thur,Lunch,2
20.9,3.5,Female,Yes,Sun,Dinner,3
20.29,2.75,Female,No,Sat,Dinner,2
15.53,3.0,Male,Yes,Sat,Dinner,2
19.81,4.19,Female,Yes,Thur,Lunch,2
28.97,3.0,Male,Yes,Fri,Dinner,2
16.27,2.5,Female,Yes,Fri,Lunch,2
34.81,5.2,Female,No,Sun,Dinner,4
13.28,2.72,Male,No,Sat,Dinner,2
19.77,2.0,Male,No,Sun,Dinner,4
7.25,1.0,Female,No,Sat,Dinner,1
9.55,1.45,Male,No,Sat,Dinner,2
12.74,2.01,Female,Yes,Thur,Lunch,2
11.59,1.5,Male,Yes,Sat,Dinner,2
30.4,5.6,Male,No,Sun,Dinner,4
12.48,2.52,Female,No,Thur,Lunch,2
14.48,2.0,Male,Yes,Sun,Dinner,2
12.26,2.0,Female,No,Thur,Lunch,2
20.27,2.83,Female,No,Thur,Lunch,2
27.18,2.0,Female,Yes,Sat,Dinner,2
15.01,2.09,Male,Yes,Sat,Dinner,2
14.48,2.0,Male,Yes,Sun,Dinner,2
26.41,1.5,Female,No,Sat,Dinner,2
24.06,3.6,Male,No,Sat,Dinner,3
30.4,5.6,Male,No,Sun,Dinner,4
24.59,3.61,Female,No,Sun,Dinner,4
16.4,2.5,Female,Yes,Thur,Lunch,2
17.07,3.0,Female,No,Sat,Dinner,3
15.42,1.57,Male,No,Sun,Dinner,2
9.6,4.0,Female,Yes,Sun,Dinner,2
25.28,5.0,Female,Yes,Sat,Dinner,2
32.83,1.17,Male,Yes,Sat,Dinner,2
9.6,4.0,Female,Yes,Sun,Dinner,2
28.17,6.5,Female,Yes,Sat,Dinner,3
13.94,3.06,Male,No,Sun,Dinner,2
48.33,9.0,Male,No,Sat,Dinner,4
9.78,1.73,Male,No,Thur,Lunch,2
12.16,2.2,Male,Yes,Fri,Lunch,2
11.61,3.39,Male,No,Sat,Dinner,2
8.51,1.25,Female,No,Thur,Lunch,2
26.41,1.5,Female,No,Sat,Dinner,2
25.21,4.29,Male,Yes,Sat,Dinner,2
17.59,2.64,Male,No,Sat,Dinner,3
18.43,3.0,Male,No,Sun,Dinner,4
30.4,5.6,Male,No,Sun,Dinner,4
19.08,1.5,Male,No,Thur,Lunch,2
17.92,3.08,Male,Yes,Sat,Dinner,2
18.71,4.0,Male,Yes,Thur,Lunch,3
15.38,3.0,Female,Yes,Fri,Dinner,2
13.42,1.68,Female,No,Thur,Lunch,2
