id,name,parent,size
1,select,58,3845
2,Visualization,52,6846
3,GravityForce,188,2226
4,OperatorSwitch,229,
5,Spring,101,527
6,LogScale,19,7653
7,CartesianAxes,138,9646
8,lt,49,2111
9,ScaleType,58,2999
10,not,98,4944
11,events,176,869
12,DendrogramLayout,49,
13,interpolate,203,264
14,SparseMatrix,11,1258
15,Palette,119,7506
16,MergeEdge,24,24593
17,CommunityStructure,130,4672
18,fn,79,1234
19,max,117,1661
20,Palette,177,416
21,DataTable,30,2863
22,Tween,16,4270
23,gte,19,
24,IRenderer,103,1792
25,select,210,13246
26,Particle,12,1008
27,DirtySprite,39,11430
28,TimeScale,152,
29,Property,66,2388
30,AgglomerativeCluster,116,1310
31,animate,213,4785
32,Legend,48,10408
33,Axes,161,862
34,TimeScale,125,1667
35,RectangleInterpolator,193,1824
36,JSONConverter,16,1480
37,Operator,181,447
38,Axis,145,890
39,Sort,35,681
40,Orientation,27,689
41,SpanningTree,14,1386
42,orderby,20,
43,Visualization,220,591
44,Particle,209,818
45,Parallel,150,1851
46,StackedAreaLabeler,132,742
47,FlareVis,24,1153
48,Match,172,752
49,SortOperator,75,11699
50,lt,46,
51,Spring,61,4084
52,AxisLabel,149,1076
53,Operator,84,1746
54,Legend,181,
55,neq,182,1121
56,HoverControl,61,3922
57,update,134,264
58,GravityForce,154,17612
59,JSONConverter,210,13251
60,SpanningTree,60,3961
61,Distinct,118,8636
62,display,111,864
63,max,101,24593
64,Range,109,2684
65,HoverControl,133,1245
66,RadialTreeLayout,151,2060
67,RectSprite,28,2102
68,Labeler,159,4786
69,Pause,44,4139
70,NBodyForce,220,1020
71,LinearScale,125,2067
72,Tree,57,4818
73,DendrogramLayout,19,3750
74,PropertyEncoder,228,1644
75,controls,88,3760
76,axis,44,1017
77,DataSprite,146,6522
78,DataEvent,230,2137
79,Property,143,5856
80,FlareVis,220,5011
81,Match,156,2823
82,sum,22,20099
83,SpringForce,146,399
84,LogScale,71,2709
85,Encoder,202,14707
86,RectangleInterpolator,90,5503
87,Property,89,1486
88,FisheyeTreeFilter,40,1651
89,Arrays,43,1767
90,Comparison,80,1338
91,average,128,870
92,sub,123,
93,SparseMatrix,137,
94,ColorPalette,91,2187
95,Encoder,147,4663
96,Arithmetic,180,1581
97,LogScale,209,7636
98,util,21,3161
99,Interpolator,14,264
100,Colors,115,11094
101,Pause,79,719
102,LinearScale,78,1165
103,Variable,125,14115
104,isa,22,1248
105,Spring,198,637
106,DataSource,80,2503
107,Sort,47,
108,DataEvent,87,479
109,animate,192,3093
110,Visualization,6,1567
111,SparseMatrix,207,15502
112,average,181,2856
113,TimeScale,38,24593
114,render,29,393
115,not,129,1353
116,and,123,
117,fn,87,4355
118,Orientation,179,918
119,CommunityStructure,132,2006
120,Average,43,8704
121,And,28,508
122,count,81,16020
123,lte,214,4351
124,IDataConverter,77,
125,lt,136,
126,Labeler,100,3242
127,ColorEncoder,111,1418
128,ShapeRenderer,122,4298
129,DataTable,65,606
130,Transitioner,188,12961
131,flare,227,1497
132,DenseMatrix,121,6568
133,distinct,62,3742
134,Spring,151,3277
135,PanZoomControl,190,2447
136,EdgeRenderer,23,5821
137,QuantileScale,177,14249
138,PieLayout,24,266
139,Transitioner,87,565
140,IPredicate,54,
141,ClickControl,122,8015
142,CircleLayout,118,264
143,AggregateExpression,103,10939
144,OperatorSequence,43,
145,DataList,112,1428
146,events,78,
147,Parallel,189,2445
148,filter,210,7387
149,IndentedTreeLayout,137,1499
150,Property,159,4453
151,Not,156,1200
152,TextSprite,137,3534
153,Encoder,123,3033
154,If,121,5526
155,update,220,6500
156,IsA,110,728
157,OperatorList,87,12564
158,PointInterpolator,7,1580
159,distortion,36,1802
160,Transitioner,40,3895
161,Comparison,119,
162,BinaryExpression,102,6056
163,IndentedTreeLayout,108,4555
164,gte,116,5042
165,ControlList,4,1759
166,DateInterpolator,220,930
167,Encoder,52,11848
168,distortion,213,3395
169,legend,51,1945
170,Tree,15,
171,Variable,108,4874
172,Scale,87,1628
173,data,17,3311
174,isa,204,629
175,Property,64,2696
176,StackedAreaLayout,61,2515
177,Sequence,87,4391
178,NodeLinkTreeLayout,207,784
179,optimization,177,8686
180,Literal,101,2762
181,Geometry,84,2408
182,IOperator,84,3191
183,add,217,1902
184,DenseMatrix,220,2753
185,Dates,27,4975
186,BifocalDistortion,192,3263
187,DelimitedTextConverter,165,538
188,PointInterpolator,227,9549
189,filter,29,916
190,data,91,4902
191,animate,192,2467
192,physics,131,3350
193,Colors,228,889
194,DelimitedTextConverter,91,
195,QuantileScale,165,2684
196,Operator,69,1418
197,Maximum,78,8540
198,VisibilityFilter,111,883
199,IForce,81,2597
200,Palette,73,8771
201,BundledEdgeRouter,21,1642
202,RandomLayout,6,9316
203,ArrayInterpolator,159,3021
204,IEvaluable,210,4555
205,Transition,78,3984
206,BinaryExpression,123,640
