Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Torgersen,36.7,18.3,230,4343,FEMALE
Adelie,Torgersen,38.9,18.2,219,3973,FEMALE
Adelie,Dream,37.8,17.1,194,3623,MALE
Adelie,Dream,36.5,18.9,203,3311,MALE
Adelie,Biscoe,39.6,18.0,192,3360,FEMALE
Adelie,Torgersen,40.2,19.1,199,3411,FEMALE
Adelie,Torgersen,38.3,17.6,199,3697,FEMALE
Adelie,Biscoe,41.0,16.0,205,3616,MALE
Adelie,Dream,35.9,18.1,203,3362,FEMALE
Adelie,Torgersen,36.5,19.7,176,4467,MALE
Adelie,Torgersen,39.6,19.1,206,3853,FEMALE
Adelie,Dream,43.2,18.1,211,3639,MALE
Adelie,Torgersen,38.2,16.9,195,4696,FEMALE
Adelie,Biscoe,42.2,19.5,209,3598,MALE
Adelie,Torgersen,40.8,18.4,219,3610,MALE
Adelie,Torgersen,42.7,18.4,204,3312,
Adelie,Biscoe,44.1,21.5,205,5142,FEMALE
Adelie,Dream,40.6,18.6,183,3758,
Adelie,Biscoe,36.7,18.8,194,4803,MALE
Adelie,Torgersen,37.3,18.1,190,4042,FEMALE
Adelie,Torgersen,38.5,17.8,203,3080,FEMALE
Adelie,Torgersen,38.8,17.0,202,3909,FEMALE
Adelie,Torgersen,38.6,17.2,195,3945,FEMALE
Adelie,Biscoe,39.8,19.2,228,4171,
Adelie,Dream,36.0,17.0,182,2869,MALE
Adelie,Dream,39.7,17.2,196,3568,
Adelie,Dream,34.0,17.0,172,3393,MALE
Adelie,Torgersen,39.2,17.2,213,3201,MALE
Adelie,Biscoe,35.7,20.0,187,3614,MALE
Adelie,Torgersen,40.8,19.3,193,3245,FEMALE
Adelie,Biscoe,37.2,18.1,172,3896,FEMALE
Adelie,Dream,34.6,17.9,205,3409,
Adelie,Biscoe,43.1,21.2,178,3734,FEMALE
Adelie,Dream,38.1,19.1,201,3060,MALE
Adelie,Dream,35.5,18.6,201,3805,MALE
Adelie,Biscoe,38.9,17.5,214,3314,FEMALE
Adelie,Biscoe,38.2,17.2,203,3154,FEMALE
Adelie,Biscoe,35.6,17.6,185,4080,FEMALE
Adelie,Dream,40.6,21.1,178,3697,MALE
Adelie,Torgersen,36.2,18.5,192,3657,FEMALE
Adelie,Dream,36.9,16.9,189,3700,FEMALE
Adelie,Dream,40.9,18.0,196,3485,FEMALE
Adelie,Torgersen,42.3,21.1,201,4527,FEMALE
Adelie,Dream,41.3,16.6,216,3953,MALE
Adelie,Biscoe,37.6,20.6,205,4858,FEMALE
Adelie,Biscoe,40.7,18.5,225,5549,MALE
Adelie,Dream,40.3,16.1,192,4371,FEMALE
Adelie,Biscoe,36.0,17.8,200,3636,MALE
Adelie,Biscoe,41.4,17.7,231,3701,MALE
Adelie,Torgersen,39.0,18.5,204,3617,MALE
Adelie,Torgersen,39.6,19.0,202,3141,MALE
Adelie,Torgersen,37.9,20.0,202,3475,FEMALE
Adelie,Dream,40.9,17.2,219,3802,MALE
Adelie,Torgersen,38.1,20.7,174,4047,MALE
Adelie,Dream,39.7,17.5,183,3271,MALE
Adelie,Torgersen,36.4,19.3,188,3475,MALE
Adelie,Dream,39.6,19.6,199,3926,FEMALE
Adelie,Biscoe,39.5,18.6,200,3453,MALE
Adelie,Dream,37.0,18.0,180,4013,MALE
Adelie,Biscoe,37.7,19.4,188,3344,FEMALE
Adelie,Dream,39.5,16.2,229,4182,MALE
