name,cx,cy
Hackney,-0.062673096981925,51.50902237413364
Lewisham,0.040487167066081,51.466941595295594
Southwark,-0.087278315964128,51.366087835660416
Enfield,-0.323733163239757,51.52044641098193
Lambeth,0.088353749479479,51.514795872671534
Merton,-0.189898700415347,51.47101138830004
Islington,-0.076720998109713,51.491143045719554
Bromley,-0.271051665968598,51.449815002140575
Camden,-0.13962267617587,51.63021648830174
Enfield,-0.072360073523524,51.48998094114718
Enfield,0.22111695897456907,51.548793740011085
Islington,-0.067123265318768,51.55358981989878
Hammersmith and Fulham,-0.157367160769443,51.617555812050405
Bromley,-0.243210685199545,51.356209984541245
Hounslow,-0.312198934217304,51.37492071976471
Richmond upon Thames,-0.097312805652436,51.60695080628155
Islington,-0.052583877555228,51.640000418572235
Tower Hamlets,-0.065817278313233,51.62999981534416
Hounslow,-0.214473300216808,51.39730541395439
City of London,-0.212749773810714,51.41972026580693
Waltham Forest,0.082195218828394,51.36230400056397
Sutton,-0.156871273930341,51.376042720027165
Westminster,-0.032529650747024,51.46673607872067
Enfield,-0.128710289992371,51.55446084918944
Waltham Forest,0.216231784546011,51.3827679331139
Hackney,0.110863619223863,51.36109132072851
Harrow,-0.299569432281389,51.628677387175415
Ealing,-0.007285021267947,51.50883390249801
Havering,0.004119461027939,51.50822518610436
Westminster,0.048475615614975,51.62985939278976
Tower Hamlets,-0.30561387713853,51.546224474427504
Redbridge,0.22111695897456907,51.61147770621869
Hounslow,-0.054497284324859,51.6333484249914
