Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
buick century,14.9,8,375.0,70,4195,14.0,1970-01-01,USA
oldsmobile omega,24.6,8,260.0,199,3498,15.5,1970-01-01,USA
chevrolet nova,9.0,5,406.0,128,2781,14.5,1970-01-01,USA
chevrolet monte carlo landau,26.8,4,152.0,130,2382,16.1,1970-01-01,USA
honda civic 1500 gl,16.5,4,173.0,153,2382,19.7,1970-01-01,Japan
honda prelude,21.0,5,395.0,222,2565,14.4,1970-01-01,Japan
chevrolet nova,13.9,6,245.0,88,2907,13.0,1970-01-01,USA
toyota corona,17.1,3,157.0,158,2519,13.5,1970-01-01,Japan
toyota corolla 1600 (sw),16.0,5,234.0,209,2509,14.4,1970-01-01,Japan
toyota corona,25.6,4,406.0,135,2116,11.7,1970-01-01,Japan
plymouth satellite custom,11.7,6,374.0,58,3384,20.4,1970-01-01,USA
dodge coronet custom,19.0,6,324.0,197,3133,19.8,1970-01-01,USA
pontiac phoenix lj,17.6,8,341.0,103,2188,16.1,1970-01-01,USA
honda Accelerationord,19.4,4,441.0,124,2305,16.3,1970-01-01,Japan
plymouth volare,12.7,6,324.0,213,3773,14.1,1970-01-01,USA
maxda rx3,20.7,4,110.0,97,2246,13.9,1970-01-01,Japan
buick century 350,25.6,4,416.0,195,4093,13.1,1970-01-01,USA
peugeot 504 (sw),12.5,4,227.0,127,1938,20.5,1970-01-01,Europe
plymouth duster,20.4,6,138.0,48,3860,17.3,1970-01-01,USA
subaru dl,16.6,4,360.0,219,1895,12.1,1970-01-01,Japan
peugeot 504,23.8,4,171.0,74,2169,13.9,1970-01-01,Europe
toyota corolla 1600 (sw),16.4,5,418.0,88,2590,12.7,1970-01-01,Japan
fiat 128,21.1,4,316.0,55,2098,20.1,1970-01-01,Europe
subaru,23.3,4,217.0,151,1688,19.9,1970-01-01,Japan
subaru,19.3,4,290.0,118,2112,15.9,1970-01-01,Japan
chevy s-10,15.2,7,366.0,147,1971,17.0,1970-01-01,USA
ford granada l,24.0,5,300.0,47,2112,18.1,1970-01-01,USA
ford gran torino,21.2,4,293.0,87,2575,15.0,1970-01-01,USA
fiat strada custom,22.5,4,314.0,85,2410,17.2,1970-01-01,Europe
buick regal sport coupe (turbo),21.7,8,446.0,90,3388,13.4,1970-01-01,USA
amc gremlin,12.4,4,284.0,213,3249,13.7,1970-01-01,USA
chevrolet impala,12.8,5,331.0,95,2989,13.1,1970-01-01,USA
ford gran torino,24.9,7,226.0,58,3039,20.6,1970-01-01,USA
honda Accelerationord,13.0,4,340.0,199,2425,16.1,1970-01-01,Japan
fiat 124 tc,13.7,4,168.0,75,2117,15.4,1970-01-01,Europe
toyota corolla tercel,25.4,3,446.0,207,1972,15.3,1970-01-01,Japan
opel manta,12.8,4,220.0,186,1984,14.6,1970-01-01,Europe
mercury capri v6,26.6,6,294.0,150,3529,17.0,1970-01-01,USA
volkswagen rabbit custom,26.2,4,223.0,200,3485,18.5,1970-01-01,Europe
vw dasher (diesel),15.3,4,320.0,88,1919,17.6,1970-01-01,Europe
datsun 710,14.0,4,440.0,197,2096,18.0,1970-01-01,Japan
volvo diesel,30.1,4,248.0,134,1839,12.3,1971-01-01,Europe
chrysler lebaron medallion,16.9,6,114.0,93,1872,12.9,1971-01-01,USA
volvo 245,12.6,4,243.0,180,3057,15.7,1971-01-01,Europe
ford escort 2h,27.1,6,177.0,161,3664,18.7,1971-01-01,USA
amc hornet,29.9,5,174.0,109,3489,12.9,1971-01-01,USA
plymouth champ,13.3,6,227.0,98,2769,15.9,1971-01-01,USA
ford granada gl,20.6,5,325.0,128,4409,10.4,1971-01-01,USA
buick skyhawk,31.1,4,303.0,177,3620,18.0,1971-01-01,USA
chevrolet cavalier wagon,23.3,6,171.0,52,3116,16.8,1971-01-01,USA
mercury zephyr 6,20.5,6,193.0,138,3824,15.7,1971-01-01,USA
dodge aspen 6,18.2,5,385.0,163,3830,14.2,1971-01-01,USA
chevrolet impala,17.6,6,309.0,101,2793,17.3,1971-01-01,USA
plymouth fury iii,33.5,7,341.0,128,3426,15.8,1971-01-01,USA
ford fairmont,33.7,6,239.0,116,5140,13.3,1971-01-01,USA
dodge d100,27.1,6,273.0,109,4204,19.2,1971-01-01,USA
mercury capri v6,24.6,8,329.0,116,4302,11.2,1971-01-01,USA
toyota corona hardtop,27.4,4,361.0,95,1613,13.3,1971-01-01,Japan
chevrolet woody,23.8,6,392.0,160,3352,12.5,1971-01-01,USA
oldsmobile delta 88 royale,29.6,4,340.0,61,2923,20.6,1971-01-01,USA
oldsmobile starfire sx,17.8,7,189.0,139,3166,15.0,1971-01-01,USA
amc matador (sw),14.1,5,340.0,100,4578,15.6,1971-01-01,USA
dodge rampage,28.2,5,374.0,76,3155,17.0,1971-01-01,USA
toyota corona liftback,32.5,5,86.0,101,2394,13.8,1971-01-01,Japan
ford fairmont 4,12.1,5,385.0,155,4199,13.0,1972-01-01,USA
datsun 280-zx,15.6,4,341.0,123,2974,13.6,1972-01-01,Japan
audi 100ls,11.3,4,73.0,156,2068,11.3,1972-01-01,Europe
amc pacer d/l,27.9,5,383.0,142,3448,15.2,1972-01-01,USA
toyota mark ii,27.2,5,142.0,119,1623,16.0,1972-01-01,Japan
ford gran torino (sw),12.3,5,351.0,197,3490,16.1,1972-01-01,USA
ford maverick,,4,196.0,134,5140,21.9,1972-01-01,USA
chrysler lebaron salon,15.0,5,214.0,163,3814,21.1,1972-01-01,USA
pontiac safari (sw),15.1,5,70.0,203,4417,16.1,1972-01-01,USA
chevrolet chevette,13.2,4,411.0,150,2616,12.6,1972-01-01,USA
chevrolet vega,27.8,6,322.0,186,3534,12.9,1972-01-01,USA
datsun f-10 hatchback,17.5,5,170.0,66,1613,14.1,1972-01-01,Japan
mazda glc deluxe,27.0,4,424.0,204,2641,17.7,1972-01-01,Japan
pontiac catalina brougham,24.3,5,250.0,176,3899,16.6,1972-01-01,USA
chevrolet woody,11.7,4,327.0,121,2909,13.0,1972-01-01,USA
pontiac astro,25.9,7,399.0,191,3733,11.1,1972-01-01,USA
amc gremlin,14.1,5,115.0,173,2433,16.4,1973-01-01,USA
chevrolet cavalier wagon,14.0,8,305.0,220,3810,13.0,1973-01-01,USA
buick century 350,15.5,5,88.0,82,3425,12.4,1973-01-01,USA
volkswagen super beetle,24.9,4,306.0,97,1919,12.2,1973-01-01,Europe
ford granada,14.2,4,125.0,,3895,20.7,1973-01-01,USA
fiat 131,14.0,4,452.0,112,2009,12.4,1973-01-01,Europe
ford mustang cobra,14.2,7,75.0,54,4542,16.1,1973-01-01,USA
mazda glc deluxe,19.2,4,208.0,47,2118,16.3,1973-01-01,Japan
vw rabbit c (diesel),15.4,4,338.0,115,1936,11.6,1973-01-01,Europe
peugeot 504,13.7,4,423.0,207,2645,17.6,1973-01-01,Europe
honda Accelerationord,14.1,4,257.0,191,1649,17.5,1973-01-01,Japan
amc pacer,15.0,4,117.0,69,4187,16.3,1973-01-01,USA
datsun 210,14.5,4,450.0,152,2235,14.4,1973-01-01,Japan
dodge monaco brougham,13.1,6,452.0,93,2724,13.7,1973-01-01,USA
chevrolet chevelle malibu classic,16.7,6,81.0,195,3844,15.1,1973-01-01,USA
fiat 128,15.5,4,237.0,146,2303,17.1,1973-01-01,Europe
triumph tr7 coupe,16.7,4,439.0,189,1861,12.6,1973-01-01,Europe
ford country,10.8,4,161.0,151,3813,19.1,1973-01-01,USA
bmw 320i,30.2,4,410.0,73,1935,18.3,1973-01-01,Europe
volkswagen rabbit l,25.5,4,231.0,185,2102,12.1,1973-01-01,Europe
cadillac seville,17.4,7,426.0,143,4434,13.6,1973-01-01,USA
subaru dl,17.9,4,385.0,50,3012,13.5,1973-01-01,Japan
amc matador (sw),18.5,5,88.0,151,4534,21.2,1973-01-01,USA
