_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1990,5.41,74.36,1.73,67.81,Afghanistan,4.09,69.5
,1975,4.63,52.63,6.0,,Afghanistan,3.65,76.96
,1985,2.45,62.69,4.67,68.43,Afghanistan,4.53,53.1
,1955,5.49,73.63,,64.98,Afghanistan,8.01,74.45
,1980,7.1,55.75,2.31,81.57,Afghanistan,6.13,54.08
,1960,6.39,81.57,4.93,63.65,Afghanistan,7.1,
,2000,7.41,66.19,5.34,55.74,Afghanistan,2.11,64.21
,2000,4.87,58.23,4.8,73.94,Afghanistan,6.43,53.02
,1990,3.5,76.48,2.61,71.45,Afghanistan,4.53,73.57
,1980,2.72,56.39,2.76,73.36,Afghanistan,,61.91
,1970,4.42,60.47,5.02,61.84,Afghanistan,,59.23
,1965,7.61,62.03,1.54,57.31,Afghanistan,7.03,55.6
,1965,2.87,71.71,8.23,67.21,Afghanistan,4.28,62.39
,1980,1.39,69.5,8.23,67.17,Afghanistan,5.71,80.24
,1970,3.49,75.41,,57.24,Afghanistan,7.94,68.6
,1970,1.59,53.34,4.27,63.46,Argentina,2.68,51.92
,1985,4.66,50.9,2.7,77.32,Argentina,2.52,54.04
,1975,3.49,61.53,,62.93,Argentina,6.43,49.08
,1960,5.9,65.2,3.09,46.49,Argentina,4.64,63.15
,1970,1.3,81.57,4.94,61.56,Argentina,6.63,42.72
,1965,1.45,62.05,,81.57,Argentina,5.95,
,1960,7.65,59.63,2.14,,Argentina,2.59,
,2000,6.29,47.18,,67.42,Australia,3.54,68.2
,1960,3.76,72.32,4.21,61.25,Australia,7.17,48.33
,1995,4.92,62.33,2.74,,Australia,6.77,71.87
,1955,5.89,58.43,6.09,75.77,Austria,1.47,66.22
,1995,4.83,52.68,3.87,63.03,Austria,7.52,71.58
,2000,4.77,56.76,3.24,,Austria,6.91,61.63
,1985,4.64,75.59,3.37,,Austria,1.27,66.33
,1995,6.85,66.58,3.44,81.57,Austria,7.85,70.54
,2000,4.87,68.96,1.81,61.33,Austria,3.15,
,2000,5.69,54.56,5.18,62.25,Austria,2.44,51.89
,1975,2.24,58.06,4.09,68.97,Austria,6.53,61.5
,1980,1.9,79.75,1.74,68.65,Austria,,69.03
,1990,2.6,58.62,1.92,55.66,Austria,7.78,68.46
,1955,1.59,76.43,,52.51,Austria,3.91,
,1990,3.47,63.79,2.16,78.29,Austria,5.23,63.16
,1995,2.05,70.42,2.38,62.73,Bahamas,3.8,61.21
,1955,7.14,47.42,1.98,73.15,Bahamas,5.46,
,1975,7.94,75.04,3.32,58.9,Bahamas,3.55,72.82
,1980,7.69,65.39,,58.75,Bahamas,1.25,
,1965,1.56,61.42,4.57,72.76,Bahamas,4.92,62.21
,1975,7.64,63.37,5.52,67.13,Bahamas,5.36,75.71
,1995,6.66,48.75,2.71,79.18,Bahamas,4.12,55.4
,1995,7.04,76.8,,57.94,Bangladesh,,61.08
,1995,5.3,62.88,6.3,67.17,Bangladesh,5.65,47.03
,1985,1.96,67.02,,57.22,Bangladesh,4.66,43.42
,1980,2.71,62.73,5.33,70.32,Bangladesh,2.54,67.54
,1975,2.13,45.36,4.41,59.49,Bangladesh,6.49,64.17
,1980,3.8,60.53,8.23,68.2,Bangladesh,,66.12
,2000,6.91,62.35,5.08,,Bangladesh,2.0,60.04
,1975,4.79,81.2,,73.26,Bangladesh,4.22,74.85
,2000,7.84,72.15,5.01,67.57,Bangladesh,1.45,76.13
,1965,5.93,75.58,3.16,65.62,Bangladesh,,80.24
,1960,1.03,72.9,6.31,48.7,Bangladesh,6.61,60.57
,1980,5.68,60.04,1.82,68.27,Barbados,1.43,66.65
,1955,3.76,65.95,2.38,67.08,Barbados,7.78,80.24
,1980,1.08,63.9,2.77,64.08,Barbados,5.29,55.2
,1970,7.74,66.28,2.74,73.8,Barbados,1.66,64.04
,1990,5.89,71.77,6.83,59.03,Barbados,3.23,71.38
,1965,6.29,55.81,,57.4,Barbados,1.48,59.62
,1970,2.94,77.77,1.5,80.52,Barbados,6.06,67.72
,1970,4.87,49.54,,66.88,Barbados,4.41,
,1965,4.57,65.06,6.7,55.71,Barbados,2.02,59.67
,1960,7.29,55.82,1.94,61.79,Barbados,4.98,74.58
,1995,5.66,56.59,2.78,75.09,Belgium,,68.91
,1990,2.48,59.05,1.68,67.45,Belgium,3.24,68.86
,1965,1.22,74.99,3.18,64.65,Belgium,2.44,66.01
,1970,1.96,72.15,5.91,56.59,Belgium,1.97,75.89
,1965,8.06,69.74,2.89,48.91,Belgium,1.56,65.36
,2000,6.76,76.61,,79.9,Belgium,6.89,60.56
,1965,6.24,53.54,6.71,68.2,Belgium,6.78,53.25
,1985,3.24,67.99,3.44,66.67,Belgium,3.86,57.12
,1995,7.24,81.57,2.54,65.14,Belgium,1.8,62.46
,1985,5.29,54.98,2.77,60.03,Belgium,2.41,53.81
,1985,5.42,69.98,1.24,67.19,Belgium,4.23,75.94
,1970,4.52,78.0,5.82,65.73,Belgium,1.38,68.37
,1960,7.9,72.64,1.64,53.17,Belgium,7.32,54.56
,1985,6.82,76.22,1.52,60.75,Belgium,3.77,66.58
,1985,2.79,55.79,2.57,69.01,Belgium,2.16,57.79
,2000,5.61,70.28,3.47,67.43,Belgium,7.46,58.68
,1975,5.1,68.41,4.94,68.15,Bolivia,5.9,58.08
,1960,3.59,76.84,3.71,72.6,Bolivia,5.7,69.25
,2000,8.08,74.71,1.03,68.15,Bolivia,2.29,68.15
,1970,2.61,57.83,5.95,79.46,Bolivia,2.01,59.13
,1970,1.68,64.16,3.02,60.83,Bolivia,6.73,59.8
,1975,6.21,55.81,1.94,70.14,Bolivia,1.7,76.03
,1970,8.17,53.24,4.25,76.99,Bolivia,7.83,65.87
,1985,3.82,81.57,2.23,69.77,Bolivia,6.67,71.35
,1980,1.39,69.6,3.8,44.9,Bolivia,7.53,69.84
,1995,5.49,65.65,5.54,66.43,Bolivia,6.18,46.94
,1965,3.13,64.52,4.25,71.18,Brazil,4.31,68.51
,1995,4.32,72.95,4.24,75.62,Brazil,5.8,69.62
,1985,2.42,60.22,6.77,60.17,Brazil,5.45,60.35
,1995,7.42,69.51,2.18,81.57,Brazil,7.61,55.65
,1995,4.31,60.42,3.63,,Brazil,6.32,72.09
,1955,5.2,72.96,4.03,67.45,Brazil,5.8,57.01
,1980,5.29,66.05,4.45,58.4,Brazil,2.44,72.02
,1955,1.61,59.64,4.56,68.49,Brazil,1.91,54.99
,1980,5.87,63.78,5.06,73.13,Canada,1.6,75.82
,2000,7.74,71.66,2.73,,Canada,,
,2000,5.99,81.57,1.42,64.52,Canada,1.52,63.82
,1965,8.05,73.6,7.8,81.57,Canada,6.25,65.52
,1985,7.81,56.27,2.4,53.29,Canada,1.46,80.24
,1970,3.45,76.22,2.56,59.61,Canada,6.35,72.75
,1960,4.38,70.46,1.74,42.84,Canada,6.03,58.44
,1955,1.93,60.9,2.46,70.13,Canada,2.77,79.92
,1995,4.39,81.57,,62.92,Canada,2.34,67.78
,1975,7.55,81.57,2.57,67.24,Canada,7.83,51.94
,2000,6.33,65.49,4.64,66.89,Canada,6.91,54.53
,1980,5.36,70.71,2.27,75.24,Canada,,79.3
,1995,7.79,71.06,6.49,60.15,Canada,5.97,56.87
,1975,7.26,73.34,,63.7,Chile,7.66,57.88
,1965,5.99,43.36,3.61,69.21,Chile,7.3,65.59
,1960,2.7,59.48,4.91,81.57,Chile,6.78,54.13
,1990,7.84,65.72,4.48,62.32,Chile,,69.64
,1965,1.09,81.57,2.39,56.23,Chile,1.77,
,1995,4.03,62.61,3.11,62.24,Chile,8.21,45.13
,1955,7.86,45.56,2.72,66.51,Chile,4.91,70.88
,1970,7.39,63.4,4.23,,China,3.92,60.18
