state,id,population,engineers,hurricanes
Alaska,1,710999,0.001590524,0
Puerto Rico,2,11703035,0.000773897,0
Alabama,3,1377632,0.003421545,22
Maryland,4,1708438,0.006291088,2
Massachusetts,5,1205728,0.010230808,10
South Dakota,6,957964,0.003085086,0
Kentucky,7,2939457,0.002089262,0
New Jersey,8,9984376,0.007724327,2
Vermont,9,6722396,0.004643016,0
North Carolina,10,1224424,0.004226953,46
Utah,11,4331209,0.006440053,0
Iowa,12,705580,0.003716472,0
West Virginia,13,5203394,0.00128338,0
New Mexico,14,2995075,0.001883696,0
Georgia,15,10183490,0.004939686,20
Florida,16,2524724,0.003299949,110
Arizona,17,4747569,0.004774154,0
Nebraska,18,1608315,0.005621053,0
Washington,19,5508146,0.010710757,0
Colorado,20,4828608,0.008087652,0
South Carolina,21,15638589,0.002084207,31
Tennessee,22,1453148,0.002375513,0
Hawaii,23,585501,0.001624016,0
Ohio,24,1477401,0.004095787,0
Pennsylvania,25,585501,0.004237253,1
Minnesota,26,856622,0.006193894,0
Wisconsin,27,8869412,0.004821147,0
North Dakota,28,9217469,0.003403909,0
Arkansas,29,2255943,0.002439557,0
Oklahoma,30,3074968,0.002286188,0
Maine,31,16110646,0.002290686,6
Montana,32,2389258,0.002139048,0
Oregon,33,6131764,0.005457479,0
Louisiana,34,585501,0.001176931,49
Mississippi,35,1205696,0.000933508,15
District of Columbia,36,1379697,0.011759179,0
Missouri,37,4812090,0.004413261,0
Rhode Island,38,1381864,0.004581485,9
Michigan,39,2030320,0.003876797,0
Delaware,40,2070646,0.004989155,2
Idaho,41,2235012,0.002970638,0
Connecticut,42,10778672,0.005896906,10
New Hampshire,43,8635394,0.00633056,2
Indiana,44,2902990,0.002724236,0
Kansas,45,23710592,0.003811111,0
Illinois,46,1984450,0.004478368,0
Nevada,47,11992447,0.002037375,0
Texas,48,2494026,0.004320129,59
California,49,5079200,0.007125857,0
Virginia,50,1034171,0.008595061,12
Wyoming,51,4748913,0.001007684,0
New York,52,12545217,0.004941432,12
