Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Dream,37.8,20.0,186,4803,FEMALE
Adelie,Torgersen,39.0,18.8,183,3000,MALE
Adelie,Torgersen,34.4,16.0,185,3600,MALE
Adelie,Biscoe,39.3,19.3,192,3598,MALE
Adelie,Biscoe,37.7,17.8,204,4102,MALE
Adelie,Torgersen,40.9,17.8,172,3347,MALE
Adelie,Torgersen,41.3,18.1,187,3418,MALE
Adelie,Torgersen,44.1,20.7,218,2703,MALE
Adelie,Torgersen,41.1,21.2,203,4725,MALE
Adelie,Dream,40.2,18.9,219,3022,FEMALE
Adelie,Dream,43.2,18.9,216,4116,FEMALE
Adelie,Torgersen,36.4,17.6,200,3513,FEMALE
Adelie,Torgersen,37.6,18.8,216,3353,MALE
Adelie,Torgersen,40.9,17.8,176,2700,MALE
Adelie,Dream,39.6,17.2,223,3958,MALE
Adelie,Biscoe,36.6,17.9,220,3590,FEMALE
Adelie,Dream,35.7,17.5,199,3475,FEMALE
Adelie,Torgersen,36.0,19.0,214,4035,FEMALE
Adelie,Dream,37.2,17.0,217,4128,FEMALE
Adelie,Dream,41.1,17.3,204,4000,MALE
Adelie,Biscoe,35.3,19.7,218,3628,FEMALE
Adelie,Torgersen,39.7,19.4,172,3588,MALE
Adelie,Biscoe,42.2,17.0,182,3704,FEMALE
Adelie,Torgersen,41.0,18.2,204,4413,FEMALE
Adelie,Torgersen,36.5,17.7,192,3848,FEMALE
Adelie,Biscoe,35.1,19.2,225,3256,MALE
Adelie,Dream,36.5,20.0,189,2925,
Adelie,Biscoe,41.6,19.5,217,3698,MALE
Adelie,Dream,42.2,18.1,195,3299,MALE
Adelie,Torgersen,40.7,21.1,197,3449,FEMALE
Adelie,Torgersen,40.3,18.1,189,3426,MALE
Adelie,Torgersen,34.0,18.0,212,4000,MALE
Adelie,Dream,35.9,16.6,185,2965,MALE
Adelie,Torgersen,35.6,18.9,191,4168,FEMALE
Adelie,Torgersen,46.0,18.6,197,4327,FEMALE
Adelie,Torgersen,33.5,18.1,206,3134,FEMALE
Adelie,Biscoe,37.2,19.0,182,3927,
Adelie,Biscoe,38.1,17.5,185,3801,FEMALE
Adelie,Biscoe,36.0,18.5,189,3284,MALE
Adelie,Dream,42.0,18.0,185,3847,FEMALE
Adelie,Dream,36.8,17.9,201,3365,FEMALE
Adelie,Torgersen,39.6,18.7,220,3769,MALE
Adelie,Torgersen,42.3,18.3,202,3497,MALE
Adelie,Dream,38.6,21.5,191,4261,FEMALE
Adelie,Dream,32.1,18.6,195,3456,FEMALE
Adelie,Dream,36.9,20.7,209,3710,FEMALE
Adelie,Dream,39.5,18.5,212,3537,FEMALE
Adelie,Dream,35.5,18.6,219,3027,MALE
Adelie,Dream,38.8,20.0,192,4207,FEMALE
Adelie,Biscoe,38.2,17.6,197,3563,MALE
Adelie,Biscoe,38.9,18.9,213,4067,MALE
Adelie,Dream,38.8,21.1,213,3376,
Adelie,Biscoe,36.2,17.0,194,3235,MALE
Adelie,Biscoe,42.7,19.4,215,3789,FEMALE
Adelie,Torgersen,38.2,17.2,202,4560,FEMALE
Adelie,Torgersen,39.2,16.9,211,3585,MALE
Adelie,Dream,40.5,17.9,174,3405,MALE
Adelie,Dream,42.9,17.1,196,3876,MALE
Adelie,Torgersen,34.6,21.1,230,3754,FEMALE
Adelie,Torgersen,43.2,19.0,218,3432,MALE
Adelie,Biscoe,39.5,16.7,183,4246,MALE
Adelie,Torgersen,38.3,16.1,218,3614,MALE
Adelie,Dream,37.0,19.0,199,3860,MALE
Adelie,Torgersen,35.2,18.5,218,3427,MALE
Adelie,Dream,39.2,18.6,231,3565,FEMALE
Adelie,Dream,36.0,19.8,213,3614,MALE
Adelie,Dream,42.1,18.5,187,3637,FEMALE
Adelie,Torgersen,40.6,15.5,196,2700,MALE
Adelie,Biscoe,40.8,18.4,195,3312,MALE
Adelie,Torgersen,44.1,17.0,215,3627,MALE
Adelie,Biscoe,37.3,17.5,224,4444,MALE
Adelie,Dream,36.2,19.2,193,3658,FEMALE
Adelie,Dream,38.9,17.6,221,3603,FEMALE
Adelie,Dream,39.6,18.3,197,3213,FEMALE
Adelie,Biscoe,37.5,17.1,203,3405,MALE
Adelie,Dream,40.6,20.3,209,3401,MALE
Adelie,Dream,34.6,17.1,180,3637,FEMALE
Adelie,Torgersen,40.6,19.6,196,3739,MALE
Adelie,Torgersen,39.0,18.4,193,2885,MALE
Adelie,Torgersen,39.0,20.0,192,3193,MALE
Adelie,Dream,37.3,18.8,191,3511,
Adelie,Dream,38.6,17.2,231,3254,MALE
Adelie,Dream,38.1,19.0,183,3747,FEMALE
