Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Dream,36.2,17.2,180,4390,FEMALE
Adelie,Biscoe,38.8,18.6,176,3525,MALE
Adelie,Dream,41.1,19.8,212,2970,MALE
Adelie,Dream,38.8,19.1,224,4219,MALE
Adelie,Dream,35.7,21.2,197,3630,FEMALE
Adelie,Biscoe,36.5,16.5,198,2912,FEMALE
Adelie,Torgersen,38.2,18.0,216,4211,FEMALE
Adelie,Torgersen,38.1,18.4,207,4344,MALE
Adelie,Dream,40.5,19.2,207,3128,MALE
Adelie,Torgersen,41.4,19.5,190,3517,FEMALE
Adelie,Torgersen,37.7,17.9,214,4068,FEMALE
Adelie,Biscoe,40.2,18.2,209,3889,MALE
Adelie,Dream,36.2,19.1,212,4223,
Adelie,Biscoe,35.7,15.9,195,4011,FEMALE
Adelie,Dream,41.1,17.5,201,3750,MALE
Adelie,Torgersen,39.8,17.7,191,2957,FEMALE
Adelie,Dream,37.0,19.0,210,3801,MALE
Adelie,Torgersen,38.7,19.0,205,3101,FEMALE
Adelie,Dream,34.6,18.9,200,3331,MALE
Adelie,Biscoe,33.1,17.8,190,3399,MALE
Adelie,Torgersen,39.0,19.4,198,4381,FEMALE
Adelie,Dream,44.1,18.5,190,3290,FEMALE
Adelie,Torgersen,39.2,19.2,211,2892,FEMALE
Adelie,Biscoe,39.5,17.6,202,2933,MALE
Adelie,Dream,33.5,18.3,192,3659,MALE
Adelie,Torgersen,38.8,18.8,188,3573,FEMALE
Adelie,Dream,36.0,18.1,211,3610,MALE
Adelie,Dream,45.6,17.0,198,3600,MALE
Adelie,Biscoe,37.6,16.9,187,5056,FEMALE
Adelie,Torgersen,36.7,19.4,227,3893,FEMALE
Adelie,Torgersen,36.2,18.9,206,3799,MALE
Adelie,Dream,38.1,17.1,181,3739,FEMALE
Adelie,Dream,35.9,21.2,178,3428,FEMALE
Adelie,Torgersen,35.3,19.5,196,3879,MALE
Adelie,Torgersen,42.9,18.5,202,4218,MALE
Adelie,Torgersen,36.0,17.2,195,3374,MALE
Adelie,Dream,40.8,18.8,187,3218,FEMALE
Adelie,Dream,39.6,18.6,209,4185,FEMALE
Adelie,Torgersen,36.6,17.9,216,4473,MALE
Adelie,Biscoe,38.6,21.1,203,2725,MALE
Adelie,Biscoe,42.3,18.8,198,4835,MALE
Adelie,Biscoe,41.0,17.9,231,3741,MALE
Adelie,Biscoe,36.6,17.1,216,3716,FEMALE
Adelie,Dream,37.7,19.3,179,3739,FEMALE
Adelie,Torgersen,37.8,18.5,191,3911,FEMALE
Adelie,Torgersen,42.2,17.2,226,3163,MALE
Adelie,Torgersen,39.0,17.0,205,3925,FEMALE
Adelie,Biscoe,43.1,18.7,208,3657,MALE
Adelie,Dream,36.4,16.6,209,3257,FEMALE
Adelie,Dream,42.0,15.5,206,3498,MALE
Adelie,Torgersen,40.6,20.1,207,4463,MALE
Adelie,Torgersen,39.7,18.3,192,3789,MALE
Adelie,Torgersen,41.6,17.6,184,4187,FEMALE
Adelie,Biscoe,45.8,18.5,207,4430,FEMALE
Adelie,Biscoe,37.6,19.4,196,3775,FEMALE
Adelie,Dream,36.4,18.6,193,3317,MALE
Adelie,Dream,46.0,17.2,209,3400,FEMALE
Adelie,Dream,40.9,16.0,197,3739,MALE
Adelie,Torgersen,39.7,19.3,225,3523,MALE
Adelie,Biscoe,41.3,18.5,212,4261,MALE
Adelie,Biscoe,35.5,18.7,201,3699,FEMALE
Adelie,Biscoe,40.6,18.1,220,4677,FEMALE
Adelie,Torgersen,32.1,19.1,202,4000,MALE
Adelie,Biscoe,40.8,17.5,231,4502,FEMALE
Adelie,Dream,40.9,19.2,203,3619,FEMALE
Adelie,Dream,35.6,17.9,176,3082,MALE
