total_bill,tip,sex,smoker,day,time,size
18.29,3.0,Male,No,Sun,Dinner,2
24.71,5.85,Male,No,Thur,Lunch,2
10.77,1.47,Male,No,Sat,Dinner,2
23.95,2.55,Male,No,Sun,Dinner,2
34.81,5.2,Female,No,Sun,Dinner,4
16.31,2.0,Male,No,Sat,Dinner,3
14.83,3.02,Female,No,Sun,Dinner,2
8.52,1.48,Male,No,Thur,Lunch,2
25.89,5.16,Male,Yes,Sat,Dinner,4
50.81,10.0,Male,Yes,Sat,Dinner,3
16.97,3.5,Female,No,Sun,Dinner,3
16.31,2.0,Male,No,Sat,Dinner,3
10.33,1.67,Female,No,Sun,Dinner,3
17.31,3.5,Female,No,Sun,Dinner,2
13.94,3.06,Male,No,Sun,Dinner,2
16.27,2.5,Female,Yes,Fri,Lunch,2
43.11,5.0,Female,Yes,Thur,Lunch,4
34.3,6.7,Male,No,Thur,Lunch,6
29.8,4.2,Female,No,Thur,Lunch,6
16.58,4.0,Male,Yes,Thur,Lunch,2
24.27,2.03,Male,Yes,Sat,Dinner,2
12.74,2.01,Female,Yes,Thur,Lunch,2
20.29,3.21,Male,Yes,Sat,Dinner,2
44.3,2.5,Female,Yes,Sat,Dinner,3
15.81,3.16,Male,Yes,Sat,Dinner,2
30.46,2.0,Male,Yes,Sun,Dinner,5
28.97,3.0,Male,Yes,Fri,Dinner,2
25.0,3.75,Female,No,Sun,Dinner,4
34.3,6.7,Male,No,Thur,Lunch,6
12.43,1.8,Female,No,Thur,Lunch,2
17.82,1.75,Male,No,Sat,Dinner,2
16.29,3.71,Male,No,Sun,Dinner,3
20.76,2.24,Male,No,Sun,Dinner,2
28.44,2.56,Male,Yes,Thur,Lunch,2
15.69,1.5,Male,Yes,Sun,Dinner,2
8.77,2.0,Male,No,Sun,Dinner,2
27.05,5.0,Female,No,Thur,Lunch,6
16.49,2.0,Male,No,Sun,Dinner,4
20.76,2.24,Male,No,Sun,Dinner,2
21.7,4.3,Male,No,Sat,Dinner,2
7.25,5.15,Male,Yes,Sun,Dinner,2
35.26,5.0,Female,No,Sun,Dinner,4
10.51,1.25,Male,No,Sat,Dinner,2
14.78,3.23,Male,No,Sun,Dinner,2
11.61,3.39,Male,No,Sat,Dinner,2
16.29,3.71,Male,No,Sun,Dinner,3
21.16,3.0,Male,No,Thur,Lunch,2
15.53,3.0,Male,Yes,Sat,Dinner,2
15.36,1.64,Male,Yes,Sat,Dinner,2
10.33,1.67,Female,No,Sun,Dinner,3
17.31,3.5,Female,No,Sun,Dinner,2
22.76,3.0,Male,No,Thur,Lunch,2
12.66,2.5,Male,No,Sun,Dinner,2
16.49,2.0,Male,No,Sun,Dinner,4
15.98,3.0,Female,No,Fri,Lunch,3
26.41,1.5,Female,No,Sat,Dinner,2
8.35,1.5,Female,No,Thur,Lunch,2
15.98,3.0,Female,No,Fri,Lunch,3
35.26,5.0,Female,No,Sun,Dinner,4
21.58,3.92,Male,No,Sun,Dinner,2
7.25,1.0,Female,No,Sat,Dinner,1
22.76,3.0,Male,No,Thur,Lunch,2
24.06,3.6,Male,No,Sat,Dinner,3
34.83,5.17,Female,No,Thur,Lunch,4
23.17,6.5,Male,Yes,Sun,Dinner,4
16.45,2.47,Female,No,Sat,Dinner,2
25.89,5.16,Male,Yes,Sat,Dinner,4
12.76,2.23,Female,Yes,Sat,Dinner,2
38.73,3.0,Male,Yes,Sat,Dinner,4
14.52,2.0,Female,No,Thur,Lunch,2
9.6,4.0,Female,Yes,Sun,Dinner,2
17.59,2.64,Male,No,Sat,Dinner,3
12.03,1.5,Male,Yes,Fri,Dinner,2
15.77,2.23,Female,No,Sat,Dinner,2
11.02,1.98,Male,Yes,Sat,Dinner,2
20.08,3.15,Male,No,Sat,Dinner,3
18.04,3.0,Male,No,Sun,Dinner,2
8.51,1.25,Female,No,Thur,Lunch,2
27.05,5.0,Female,No,Thur,Lunch,6
10.59,1.61,Female,Yes,Sat,Dinner,2
39.42,7.58,Male,No,Sat,Dinner,4
12.54,2.5,Male,No,Sun,Dinner,2
16.47,3.23,Female,Yes,Thur,Lunch,3
16.47,3.23,Female,Yes,Thur,Lunch,3
25.56,4.34,Male,No,Sun,Dinner,4
13.39,2.61,Female,No,Sun,Dinner,2
9.6,4.0,Female,Yes,Sun,Dinner,2
8.77,2.0,Male,No,Sun,Dinner,2
29.8,4.2,Female,No,Thur,Lunch,6
30.4,5.6,Male,No,Sun,Dinner,4
24.71,5.85,Male,No,Thur,Lunch,2
9.94,1.56,Male,No,Sun,Dinner,2
48.33,9.0,Male,No,Sat,Dinner,4
13.81,2.0,Male,No,Sun,Dinner,2
12.76,2.23,Female,Yes,Sat,Dinner,2
12.66,2.5,Male,No,Sun,Dinner,2
26.86,3.14,Female,Yes,Sat,Dinner,2
14.52,2.0,Female,No,Thur,Lunch,2
19.49,3.51,Male,No,Sun,Dinner,2
7.51,2.0,Male,No,Thur,Lunch,2
8.77,2.0,Male,No,Sun,Dinner,2
31.85,3.18,Male,Yes,Sun,Dinner,2
17.92,3.08,Male,Yes,Sat,Dinner,2
31.71,4.5,Male,No,Sun,Dinner,4
15.77,2.23,Female,No,Sat,Dinner,2
15.53,3.0,Male,Yes,Sat,Dinner,2
16.45,2.47,Female,No,Sat,Dinner,2
26.41,1.5,Female,No,Sat,Dinner,2
12.46,1.5,Male,No,Fri,Dinner,2
7.25,5.15,Male,Yes,Sun,Dinner,2
21.01,3.0,Male,Yes,Fri,Dinner,2
19.49,3.51,Male,No,Sun,Dinner,2
17.51,3.0,Female,Yes,Sun,Dinner,2
11.17,1.5,Female,No,Thur,Lunch,2
14.15,2.0,Female,No,Thur,Lunch,2
21.01,3.5,Male,No,Sun,Dinner,3
20.27,2.83,Female,No,Thur,Lunch,2
12.66,2.5,Male,No,Sun,Dinner,2
11.24,1.76,Male,Yes,Sat,Dinner,2
18.69,2.31,Male,No,Sat,Dinner,3
20.08,3.15,Male,No,Sat,Dinner,3
34.3,6.7,Male,No,Thur,Lunch,6
20.9,3.5,Female,Yes,Sun,Dinner,3
23.33,5.65,Male,Yes,Sun,Dinner,2
24.52,3.48,Male,No,Sun,Dinner,3
14.07,2.5,Male,No,Sun,Dinner,2
18.69,2.31,Male,No,Sat,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
12.03,1.5,Male,Yes,Fri,Dinner,2
41.19,5.0,Male,No,Thur,Lunch,5
20.53,4.0,Male,Yes,Thur,Lunch,4
20.69,2.45,Female,No,Sat,Dinner,4
15.06,3.0,Female,No,Sat,Dinner,2
15.38,3.0,Female,Yes,Fri,Dinner,2
19.65,3.0,Female,No,Sat,Dinner,2
13.42,3.48,Female,Yes,Fri,Lunch,2
31.85,3.18,Male,Yes,Sun,Dinner,2
30.06,2.0,Male,Yes,Sat,Dinner,3
40.55,3.0,Male,Yes,Sun,Dinner,2
9.94,1.56,Male,No,Sun,Dinner,2
40.17,4.73,Male,Yes,Fri,Dinner,4
13.42,1.68,Female,No,Thur,Lunch,2
30.14,3.09,Female,Yes,Sat,Dinner,4
13.94,3.06,Male,No,Sun,Dinner,2
32.4,6.0,Male,No,Sun,Dinner,4
11.87,1.63,Female,No,Thur,Lunch,2
28.17,6.5,Female,Yes,Sat,Dinner,3
25.21,4.29,Male,Yes,Sat,Dinner,2
15.04,1.96,Male,No,Sun,Dinner,2
10.07,1.83,Female,No,Thur,Lunch,1
9.68,1.32,Male,No,Sun,Dinner,2
24.01,2.0,Male,Yes,Sat,Dinner,4
20.9,3.5,Female,Yes,Sun,Dinner,3
10.59,1.61,Female,Yes,Sat,Dinner,2
48.33,9.0,Male,No,Sat,Dinner,4
22.75,3.25,Female,No,Fri,Dinner,2
14.73,2.2,Female,No,Sat,Dinner,2
18.69,2.31,Male,No,Sat,Dinner,3
27.2,4.0,Male,No,Thur,Lunch,4
15.53,3.0,Male,Yes,Sat,Dinner,2
48.17,5.0,Male,No,Sun,Dinner,6
17.29,2.71,Male,No,Thur,Lunch,2
17.59,2.64,Male,No,Sat,Dinner,3
15.69,1.5,Male,Yes,Sun,Dinner,2
17.92,3.08,Male,Yes,Sat,Dinner,2
48.27,6.73,Male,No,Sat,Dinner,4
50.81,10.0,Male,Yes,Sat,Dinner,3
20.45,3.0,Male,No,Sat,Dinner,4
5.75,1.0,Female,Yes,Fri,Dinner,2
15.06,3.0,Female,No,Sat,Dinner,2
38.01,3.0,Male,Yes,Sat,Dinner,4
12.9,1.1,Female,Yes,Sat,Dinner,2
11.38,2.0,Female,No,Thur,Lunch,2
8.35,1.5,Female,No,Thur,Lunch,2
16.0,2.0,Male,Yes,Thur,Lunch,2
21.5,3.5,Male,No,Sun,Dinner,4
19.44,3.0,Male,Yes,Thur,Lunch,2
14.52,2.0,Female,No,Thur,Lunch,2
16.4,2.5,Female,Yes,Thur,Lunch,2
13.27,2.5,Female,Yes,Sat,Dinner,2
25.71,4.0,Female,No,Sun,Dinner,3
13.42,1.68,Female,No,Thur,Lunch,2
10.07,1.25,Male,No,Sat,Dinner,2
13.37,2.0,Male,No,Sat,Dinner,2
30.46,2.0,Male,Yes,Sun,Dinner,5
43.11,5.0,Female,Yes,Thur,Lunch,4
17.92,3.08,Male,Yes,Sat,Dinner,2
13.51,2.0,Male,Yes,Thur,Lunch,2
10.33,1.67,Female,No,Sun,Dinner,3
12.43,1.8,Female,No,Thur,Lunch,2
18.69,2.31,Male,No,Sat,Dinner,3
20.69,5.0,Male,No,Sun,Dinner,5
25.29,4.71,Male,No,Sun,Dinner,4
21.5,3.5,Male,No,Sun,Dinner,4
34.63,3.55,Male,Yes,Sun,Dinner,2
16.49,2.0,Male,No,Sun,Dinner,4
13.42,3.48,Female,Yes,Fri,Lunch,2
21.7,4.3,Male,No,Sat,Dinner,2
26.41,1.5,Female,No,Sat,Dinner,2
40.55,3.0,Male,Yes,Sun,Dinner,2
23.95,2.55,Male,No,Sun,Dinner,2
17.07,3.0,Female,No,Sat,Dinner,3
12.54,2.5,Male,No,Sun,Dinner,2
12.46,1.5,Male,No,Fri,Dinner,2
12.9,1.1,Female,Yes,Sat,Dinner,2
23.1,4.0,Male,Yes,Sun,Dinner,3
34.65,3.68,Male,Yes,Sun,Dinner,4
16.27,2.5,Female,Yes,Fri,Lunch,2
10.63,2.0,Female,Yes,Sat,Dinner,2
18.26,3.25,Female,No,Thur,Lunch,2
18.78,3.0,Female,No,Thur,Dinner,2
16.0,2.0,Male,Yes,Thur,Lunch,2
15.77,2.23,Female,No,Sat,Dinner,2
13.13,2.0,Male,No,Sun,Dinner,2
11.87,1.63,Female,No,Thur,Lunch,2
17.51,3.0,Female,Yes,Sun,Dinner,2
8.52,1.48,Male,No,Thur,Lunch,2
15.04,1.96,Male,No,Sun,Dinner,2
9.94,1.56,Male,No,Sun,Dinner,2
15.53,3.0,Male,Yes,Sat,Dinner,2
20.45,3.0,Male,No,Sat,Dinner,4
7.25,5.15,Male,Yes,Sun,Dinner,2
29.8,4.2,Female,No,Thur,Lunch,6
26.86,3.14,Female,Yes,Sat,Dinner,2
17.26,2.74,Male,No,Sun,Dinner,3
17.89,2.0,Male,Yes,Sun,Dinner,2
18.29,3.0,Male,No,Sun,Dinner,2
23.17,6.5,Male,Yes,Sun,Dinner,4
22.23,5.0,Male,No,Sun,Dinner,2
10.34,2.0,Male,Yes,Thur,Lunch,2
30.46,2.0,Male,Yes,Sun,Dinner,5
20.69,5.0,Male,No,Sun,Dinner,5
12.66,2.5,Male,No,Sun,Dinner,2
10.27,1.71,Male,No,Sun,Dinner,2
11.24,1.76,Male,Yes,Sat,Dinner,2
7.51,2.0,Male,No,Thur,Lunch,2
15.95,2.0,Male,No,Thur,Lunch,2
12.54,2.5,Male,No,Sun,Dinner,2
23.33,5.65,Male,Yes,Sun,Dinner,2
11.02,1.98,Male,Yes,Sat,Dinner,2
24.06,3.6,Male,No,Sat,Dinner,3
18.43,3.0,Male,No,Sun,Dinner,4
24.71,5.85,Male,No,Thur,Lunch,2
16.0,2.0,Male,Yes,Thur,Lunch,2
