total_bill,tip,sex,smoker,day,time,size
10.27,1.71,Male,No,Sun,Dinner,2
12.69,2.0,Male,No,Sat,Dinner,2
9.68,1.32,Male,No,Sun,Dinner,2
23.33,5.65,Male,Yes,Sun,Dinner,2
7.25,5.15,Male,Yes,Sun,Dinner,2
13.94,3.06,Male,No,Sun,Dinner,2
22.49,3.5,Male,No,Fri,Dinner,2
16.27,2.5,Female,Yes,Fri,Lunch,2
15.95,2.0,Male,No,Thur,Lunch,2
13.42,1.58,Male,Yes,Fri,Lunch,2
11.69,2.31,Male,No,Thur,Lunch,2
13.39,2.61,Female,No,Sun,Dinner,2
18.64,1.36,Female,No,Thur,Lunch,3
22.82,2.18,Male,No,Thur,Lunch,3
13.37,2.0,Male,No,Sat,Dinner,2
18.26,3.25,Female,No,Thur,Lunch,2
25.0,3.75,Female,No,Sun,Dinner,4
12.66,2.5,Male,No,Sun,Dinner,2
12.48,2.52,Female,No,Thur,Lunch,2
7.25,5.15,Male,Yes,Sun,Dinner,2
10.33,2.0,Female,No,Thur,Lunch,2
48.27,6.73,Male,No,Sat,Dinner,4
16.4,2.5,Female,Yes,Thur,Lunch,2
30.14,3.09,Female,Yes,Sat,Dinner,4
21.01,3.5,Male,No,Sun,Dinner,3
10.29,2.6,Female,No,Sun,Dinner,2
31.27,5.0,Male,No,Sat,Dinner,3
24.52,3.48,Male,No,Sun,Dinner,3
24.01,2.0,Male,Yes,Sat,Dinner,4
34.83,5.17,Female,No,Thur,Lunch,4
45.35,3.5,Male,Yes,Sun,Dinner,3
16.0,2.0,Male,Yes,Thur,Lunch,2
10.51,1.25,Male,No,Sat,Dinner,2
12.6,1.0,Male,Yes,Sat,Dinner,2
16.99,1.01,Female,No,Sun,Dinner,2
13.28,2.72,Male,No,Sat,Dinner,2
19.08,1.5,Male,No,Thur,Lunch,2
15.04,1.96,Male,No,Sun,Dinner,2
19.08,1.5,Male,No,Thur,Lunch,2
18.28,4.0,Male,No,Thur,Lunch,2
25.29,4.71,Male,No,Sun,Dinner,4
35.26,5.0,Female,No,Sun,Dinner,4
31.27,5.0,Male,No,Sat,Dinner,3
13.51,2.0,Male,Yes,Thur,Lunch,2
23.68,3.31,Male,No,Sun,Dinner,2
12.03,1.5,Male,Yes,Fri,Dinner,2
14.31,4.0,Female,Yes,Sat,Dinner,2
19.44,3.0,Male,Yes,Thur,Lunch,2
16.97,3.5,Female,No,Sun,Dinner,3
10.07,1.83,Female,No,Thur,Lunch,1
48.17,5.0,Male,No,Sun,Dinner,6
17.92,3.08,Male,Yes,Sat,Dinner,2
16.43,2.3,Female,No,Thur,Lunch,2
15.98,3.0,Female,No,Fri,Lunch,3
44.3,2.5,Female,Yes,Sat,Dinner,3
15.95,2.0,Male,No,Thur,Lunch,2
13.0,2.0,Female,Yes,Thur,Lunch,2
15.53,3.0,Male,Yes,Sat,Dinner,2
19.44,3.0,Male,Yes,Thur,Lunch,2
20.08,3.15,Male,No,Sat,Dinner,3
10.07,1.25,Male,No,Sat,Dinner,2
27.05,5.0,Female,No,Thur,Lunch,6
12.46,1.5,Male,No,Fri,Dinner,2
15.53,3.0,Male,Yes,Sat,Dinner,2
18.64,1.36,Female,No,Thur,Lunch,3
48.33,9.0,Male,No,Sat,Dinner,4
11.17,1.5,Female,No,Thur,Lunch,2
17.07,3.0,Female,No,Sat,Dinner,3
25.89,5.16,Male,Yes,Sat,Dinner,4
12.76,2.23,Female,Yes,Sat,Dinner,2
25.28,5.0,Female,Yes,Sat,Dinner,2
13.42,1.68,Female,No,Thur,Lunch,2
21.01,3.0,Male,Yes,Fri,Dinner,2
24.55,2.0,Male,No,Sun,Dinner,4
16.27,2.5,Female,Yes,Fri,Lunch,2
9.78,1.73,Male,No,Thur,Lunch,2
17.51,3.0,Female,Yes,Sun,Dinner,2
25.21,4.29,Male,Yes,Sat,Dinner,2
18.78,3.0,Female,No,Thur,Dinner,2
34.63,3.55,Male,Yes,Sun,Dinner,2
14.78,3.23,Male,No,Sun,Dinner,2
10.07,1.25,Male,No,Sat,Dinner,2
18.24,3.76,Male,No,Sat,Dinner,2
21.5,3.5,Male,No,Sun,Dinner,4
14.48,2.0,Male,Yes,Sun,Dinner,2
40.17,4.73,Male,Yes,Fri,Dinner,4
17.29,2.71,Male,No,Thur,Lunch,2
27.28,4.0,Male,Yes,Fri,Dinner,2
26.59,3.41,Male,Yes,Sat,Dinner,3
22.76,3.0,Male,No,Thur,Lunch,2
13.37,2.0,Male,No,Sat,Dinner,2
25.29,4.71,Male,No,Sun,Dinner,4
15.04,1.96,Male,No,Sun,Dinner,2
13.81,2.0,Male,Yes,Sat,Dinner,2
24.27,2.03,Male,Yes,Sat,Dinner,2
34.65,3.68,Male,Yes,Sun,Dinner,4
15.06,3.0,Female,No,Sat,Dinner,2
12.76,2.23,Female,Yes,Sat,Dinner,2
19.65,3.0,Female,No,Sat,Dinner,2
15.98,2.03,Male,No,Thur,Lunch,2
17.47,3.5,Female,No,Thur,Lunch,2
18.24,3.76,Male,No,Sat,Dinner,2
11.61,3.39,Male,No,Sat,Dinner,2
7.74,1.44,Male,Yes,Sat,Dinner,2
30.4,5.6,Male,No,Sun,Dinner,4
16.43,2.3,Female,No,Thur,Lunch,2
19.65,3.0,Female,No,Sat,Dinner,2
38.73,3.0,Male,Yes,Sat,Dinner,4
38.73,3.0,Male,Yes,Sat,Dinner,4
28.97,3.0,Male,Yes,Fri,Dinner,2
22.23,5.0,Male,No,Sun,Dinner,2
17.78,3.27,Male,No,Sat,Dinner,2
17.92,4.08,Male,No,Sat,Dinner,2
34.81,5.2,Female,No,Sun,Dinner,4
20.92,4.08,Female,No,Sat,Dinner,2
16.21,2.0,Female,No,Sun,Dinner,3
31.27,5.0,Male,No,Sat,Dinner,3
10.34,1.66,Male,No,Sun,Dinner,3
39.42,7.58,Male,No,Sat,Dinner,4
30.06,2.0,Male,Yes,Sat,Dinner,3
24.55,2.0,Male,No,Sun,Dinner,4
18.43,3.0,Male,No,Sun,Dinner,4
44.3,2.5,Female,Yes,Sat,Dinner,3
25.29,4.71,Male,No,Sun,Dinner,4
14.73,2.2,Female,No,Sat,Dinner,2
14.0,3.0,Male,No,Sat,Dinner,2
22.67,2.0,Male,Yes,Sat,Dinner,2
18.35,2.5,Male,No,Sat,Dinner,4
50.81,10.0,Male,Yes,Sat,Dinner,3
10.34,2.0,Male,Yes,Thur,Lunch,2
28.15,3.0,Male,Yes,Sat,Dinner,5
17.26,2.74,Male,No,Sun,Dinner,3
25.71,4.0,Female,No,Sun,Dinner,3
13.27,2.5,Female,Yes,Sat,Dinner,2
15.42,1.57,Male,No,Sun,Dinner,2
9.6,4.0,Female,Yes,Sun,Dinner,2
14.26,2.5,Male,No,Thur,Lunch,2
30.14,3.09,Female,Yes,Sat,Dinner,4
32.68,5.0,Male,Yes,Thur,Lunch,2
12.46,1.5,Male,No,Fri,Dinner,2
20.49,4.06,Male,Yes,Sat,Dinner,2
11.38,2.0,Female,No,Thur,Lunch,2
17.82,1.75,Male,No,Sat,Dinner,2
11.24,1.76,Male,Yes,Sat,Dinner,2
9.55,1.45,Male,No,Sat,Dinner,2
27.28,4.0,Male,Yes,Fri,Dinner,2
12.74,2.01,Female,Yes,Thur,Lunch,2
9.6,4.0,Female,Yes,Sun,Dinner,2
10.33,1.67,Female,No,Sun,Dinner,3
11.24,1.76,Male,Yes,Sat,Dinner,2
15.69,1.5,Male,Yes,Sun,Dinner,2
28.17,6.5,Female,Yes,Sat,Dinner,3
39.42,7.58,Male,No,Sat,Dinner,4
16.32,4.3,Female,Yes,Fri,Dinner,2
15.77,2.23,Female,No,Sat,Dinner,2
17.29,2.71,Male,No,Thur,Lunch,2
18.15,3.5,Female,Yes,Sun,Dinner,3
31.85,3.18,Male,Yes,Sun,Dinner,2
15.69,3.0,Male,Yes,Sat,Dinner,3
22.42,3.48,Female,Yes,Sat,Dinner,2
10.09,2.0,Female,Yes,Fri,Lunch,2
16.43,2.3,Female,No,Thur,Lunch,2
21.16,3.0,Male,No,Thur,Lunch,2
31.27,5.0,Male,No,Sat,Dinner,3
26.41,1.5,Female,No,Sat,Dinner,2
8.58,1.92,Male,Yes,Fri,Lunch,1
13.0,2.0,Female,Yes,Thur,Lunch,2
15.81,3.16,Male,Yes,Sat,Dinner,2
40.17,4.73,Male,Yes,Fri,Dinner,4
25.21,4.29,Male,Yes,Sat,Dinner,2
21.01,3.5,Male,No,Sun,Dinner,3
10.34,1.66,Male,No,Sun,Dinner,3
14.78,3.23,Male,No,Sun,Dinner,2
29.85,5.14,Female,No,Sun,Dinner,5
11.24,1.76,Male,Yes,Sat,Dinner,2
13.03,2.0,Male,No,Thur,Lunch,2
16.58,4.0,Male,Yes,Thur,Lunch,2
18.64,1.36,Female,No,Thur,Lunch,3
22.75,3.25,Female,No,Fri,Dinner,2
12.48,2.52,Female,No,Thur,Lunch,2
34.81,5.2,Female,No,Sun,Dinner,4
14.83,3.02,Female,No,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
17.89,2.0,Male,Yes,Sun,Dinner,2
10.33,2.0,Female,No,Thur,Lunch,2
8.35,1.5,Female,No,Thur,Lunch,2
11.69,2.31,Male,No,Thur,Lunch,2
3.07,1.0,Female,Yes,Sat,Dinner,1
19.81,4.19,Female,Yes,Thur,Lunch,2
23.1,4.0,Male,Yes,Sun,Dinner,3
14.15,2.0,Female,No,Thur,Lunch,2
25.21,4.29,Male,Yes,Sat,Dinner,2
12.66,2.5,Male,No,Sun,Dinner,2
20.69,2.45,Female,No,Sat,Dinner,4
20.76,2.24,Male,No,Sun,Dinner,2
13.42,3.48,Female,Yes,Fri,Lunch,2
9.78,1.73,Male,No,Thur,Lunch,2
12.66,2.5,Male,No,Sun,Dinner,2
10.65,1.5,Female,No,Thur,Lunch,2
15.95,2.0,Male,No,Thur,Lunch,2
34.3,6.7,Male,No,Thur,Lunch,6
27.28,4.0,Male,Yes,Fri,Dinner,2
15.98,3.0,Female,No,Fri,Lunch,3
24.55,2.0,Male,No,Sun,Dinner,4
39.42,7.58,Male,No,Sat,Dinner,4
29.8,4.2,Female,No,Thur,Lunch,6
10.33,2.0,Female,No,Thur,Lunch,2
10.34,2.0,Male,Yes,Thur,Lunch,2
