id,question,choices,answerKey
1,How are cells able to produce the proteins required by certain conditions?,1,D
2,Which step will most likely ensure that the results of an investigation are valid?,2,C
3,"Mark wants to make lemonade for his friends. He uses water, lemon juice, and sugar. Which of these best describes the lemonade?",3,C
4,Most birds sit on their eggs until they hatch. Which of these is the most important reason why birds sit on their eggs?,4,C
5,Which best describes why winds at the beach change direction between day and night?,5,A
6,"In New York State, the longest period of daylight occurs during which month?",6,B
7,Which part of a plant cell is responsible for controlling the activities of the other parts of the cell?,7,B
8,The main function of a duck's webbed feet is to help the duck,8,1
9,"If an environment becomes warmer and drier, the change that would most likely help a species adapt would be an increase in its",9,C
10,What form of energy is stored in a battery?,10,C
11,"According to the fossil record, when did episodes of rapid speciation commonly take place?",11,C
12,Which tool would be best to measure the length of a butterfly?,12,C
13,"In 1933, a hurricane came ashore at Ocean City, Maryland. A hurricane negatively affects a coastline by",13,A
14,Different species of carnivorous animals that share the same habitat in an ecosystem may,14,B
15,Some materials are electrical conductors. Which material best conducts electricity?,15,A
16,A group of scientists predicts that Earth's oceans will be able to take up more carbon dioxide as atmospheric carbon dioxide levels increase and the atmosphere warms. Which of these statements about the solubility of gases in ocean water would lead you to question this prediction?,16,A
17,A student observes cells in an object by using a microscope. The student thinks that the object was part of a living thing. Which statement explains why cell theory can be used to support the student's thinking?,17,A
18,Aluminum is an element. Which of the following best describes the smallest particle of aluminum that retains all the properties of aluminum?,18,C
19,What is the main function of scales on a fish?,19,B
20,"In Rutherford's experiment, what caused some high-energy particles to bounce off the metal, while most pass straight through?",20,D
21,Which mechanism helps carbon to cycle from the atmosphere to living organisms?,21,B
22,"Stacey picks apples and puts them in a basket. When she puts her basket on a scale, the scale reads two kilograms (kg). What property is Stacey measuring?",22,D
23,"In Alaska, there are fewer hours of daylight in the winter than in the summer. Which statement best explains why this difference occurs?",23,D
24,"A rainforest area is experiencing a severe drought. As a consequence, the insect population has decreased. What will the insect-eating birds most likely do as a result of the drought?",24,C
25,Which of the following helped lead to the invention of personal computers?,25,4
26,Electron transport in mitochondria results in a chemiosmotic gradient of which particle across the mitochondrial membrane?,26,B
27,One example of matter is,27,C
28,Which most accurately describes a circle (pie) graph?,28,A
29,What motion causes day and night?,29,D
30,Which BEST explains why green marine algae are most often restricted to the top 100 meters of the ocean?,30,4
31,Prairie dogs can run very quickly. This adaptation enables the prairie dog to,31,D
32,"Steven went to a farm and picked a bright red tomato from a broken branch on the plant. The tomato had a rotten spot with a worm inside of it. Instead of eating the tomato, Steven decided to plant the seeds and grow new tomato plants. Which characteristic of the tomato plant is inherited and could change over several generations?",32,B
33,"When a red bull (RR) is bred with a white cow (WW), a roan calf (RW) is sometimes produced. If a roan bull (RW) is bred with a roan cow (RW), what is the most likely outcome of the offspring?",33,C
34,"If a wooded area is cleared and corn is planted, what will MOST likely happen?",34,B
35,Soda water is a liquid that has bubbles of carbon dioxide in it. Which term best describes soda water?,35,B
36,All rocks are composed of,36,C
37,Which characteristic can a puppy inherit from its parents?,37,A
38,"While Anna was testing a circuit, she dropped a light bulb. What is the safest thing Anna can do?",38,D
39,Which material is most easily recycled at school?,39,B
40,Scientists found fish fossils in the desert. What do the fossils tell about this environment when the fish were alive?,40,A
41,"Before rock can become soil, it must undergo certain processes. One process in the formation of soil involves plants. How can plants chemically change rocks into soil?",41,C
42,Perfume sprayed from a bottle spreads more easily in a warm room of 25°C than in a cool room of 15°C. Which of the following correctly compares perfume molecules at 25°C to those at 15°C?,42,B
43,Many leaves appear green because the leaves,43,C
44,To which group does an animal belong if it lays eggs and has scales and gills?,44,D
45,Matter that is vibrating is producing ___.,45,C
46,Which cellular structure allows nutrients to pass into cells?,46,B
47,Scientists dig in a dry area at the bottom of a mountain range. Fossilized shells of freshwater mussels are found in the area. Which is a likely conclusion that scientists will draw based on this evidence?,47,C
48,Which change would most likely cause deer to die or leave a woodland?,48,A
49,What causes nighttime and daytime on Earth?,49,D
50,A student is visiting a local limestone quarry and finds fossils of seashells. The quarry is located hundreds of miles from the ocean. The fossils best indicate that,50,B
51,A teacher is performing a demonstration about static electricity for his class by rubbing a balloon against a wool sweater. The balloon sticks to the wool sweater. Which particles are exchanged during the demonstration?,51,C
52,A person in a dark room looking through a window can clearly see a person outside in the daylight. But a person outside cannot see the person inside. Why does this happen?,52,C
53,Which geologic process is absent from the Gulf Coast states?,53,A
54,An example of a learned behavior is a,54,D
55,Which biological activity occurs in a repeated rhythm?,55,C
56,Unequal distribution of the hormone auxin in plants helps to regulate the direction of plant growth. Which of the following is accomplished by plants in regulating the distribution of auxin?,56,C
57,"When ice melts, it becomes a",57,D
58,What is the best way for a student to describe the results of an experiment?,58,C
59,"Phobos is one of two large objects that orbit the planet Mars. Because Phobos orbits Mars, Phobos should be classified as which type of body?",59,C
60,Which biological process in mammals occurs largely due to cell division?,60,D
61,What happens to water when it boils?,61,C
62,"When the Northern Hemisphere is tilted toward the Sun, what season is occurring in Australia?",62,A
63,What will be the most likely result for some species of animals with the continued burning of rain forests in Africa?,63,C
64,Which organ is most responsible for oxygen entering the blood stream?,64,B
65,A decomposer is an organism that,65,B
66,Students are studying the classifications of stars and they learned that the majority of stars are similar to the Sun. What can the students conclude knowing that most of the stars in the galaxy are like the Sun?,66,B
67,The temperature in a hot star is high enough to pull electrons away from atoms. What state of matter results from this process?,67,D
68,A pot of cold water was heated on a stove until the water boiled. Which of the following best explains why the water was able to boil?,68,D
69,"The orbit of Earth is almost circular and has a period of about 365 days. Compared to the orbit of Earth, which of these objects usually have highly elliptical orbits and can have periods of over 1000 years?",69,A
70,Which sense is used to determine an object's texture?,70,3
71,"A group of students investigated the effect of water temperature on the gill movements of goldfish. The students tested water temperatures from 20°C to 10°C at 2-degree intervals. The data showed that as water temperature decreased, the average number of gill movements per minute by the goldfish also decreased. Which type of display is BEST used to show this relationship?",71,B
72,A ball is tossed up in the air and it comes back down. The ball comes back down because of,72,D
73,Which animal develops inside its mother before it is born alive?,73,B
74,A person in a dark room looking through a window can clearly see a person outside in the daylight. But a person outside cannot see the person inside. Why does this happen?,74,D
75,Which of the following describes a reason why companies irradiate some fruits and vegetables before they are sold to the public?,75,C
76,How long does it take for the Moon to rotate on its axis?,76,D
77,Which could be a possible way to prevent wildlife species from becoming endangered?,77,3
78,The Water Quality Act of 1987 required the development of standards that would prevent toxic pollutants from reaching dangerous levels in bodies of water. This act affected the amounts of toxic chemicals that could be discharged into bodies of water. Which of the following would have been most regulated by this act?,78,D
79,What is involved in creating genetically modified bacteria?,79,1
80,What is the role of chlorophyll in photosynthesis?,80,C
81,A wind turbine primarily uses which type of energy?,81,C
82,In which example could a thermometer be used to show that heat energy is being transferred?,82,D
83,Which term identifies a group of cells that work together to perform a similar function?,83,C
84,Which is an example of an organism that has been selectively bred for a particular genetic trait?,84,B
85,Astronomers have determined the surface temperature of stars by studying their colors. What color emission represents stars with the hottest temperatures?,85,D
86,"Which method below would be the best way to determine if an egg, plastic foam, a piece of wood, or a candle would float on water?",86,A
87,Gaseous sulfur dioxide is a compound that combines with water in the atmosphere to form acid rain. What is the primary source of sulfur dioxide?,87,A
88,Which human trait is most likely inherited from a parent?,88,B
89,Liam lives in the Northern Hemisphere of Earth and plays in the snow in December. His friend lives in the Southern Hemisphere of Earth and plays at the beach in December. What is the best explanation for why this is possible?,89,A
90,A solar cell turns sunlight into another form of energy. A solar cell is most like what natural structure?,90,B
91,In which of these investigations would pictures from a camera be most useful?,91,D
92,A science class investigated the percentage of corn kernels that pop in bags of different brands of popcorn. Fifteen students tested three brands of popcorn each and reported their results to the class. Why did the teacher most likely have so many students report the results?,92,A
93,Which system absorbs and carries food from the digestive system to the rest of the body?,93,C
94,Michelle is interested in improving the quality of the soil in her yard. She wants more water and air to penetrate the soil. What should she add to the soil to help her achieve this goal?,94,B
95,Which of these will best separate iron filings from sand?,95,D
96,A team of surveyors takes measurements of ground altitude at horizontal intervals of 1 meter over a 400 square meter area. These measurements can best be used to produce which representation of the area?,96,A
97,"When igneous rock is changed into metamorphic rock, which form of energy is this process?",97,A
98,Joel made some measurements and recorded this data: Sample 1 - 45 mL Sample 2 - 15 mL Sample 3 - 30 mL Sample 4 - 20 mL Which of these tools would most likely have been used to obtain these measurements?,98,B
99,"A salvage yard contains a mixture of iron, glass, aluminum, and plastic. Which property of iron does the salvage yard take advantage of when separating the iron from the rest of the materials?",99,A
100,Which of the following is the most important safety practice when using a rock hammer on a geology field trip?,100,A
101,Scientists can identify an element by looking at the structure of a single,101,A
102,Which type of organism would most likely benefit directly from increased levels of CO_{2}?,102,C
103,"Some students were on a tour exploring the inside of a cave. While the students were in the cave, they realized they heard an echo every time that they spoke. Which most likely caused the echo to occur?",103,A
104,Ninety-nine percent of the mass of an atom is located in,104,B
105,Which two processes in the water cycle are primarily responsible for the creation of a lake?,105,D
106,What tool is used to determine the mass of an object?,106,A
107,"During protein synthesis, mRNA is translated into three-base sequences representing amino acids. What signals the ribosome to begin translating the mRNA into a new amino acid sequence?",107,B
108,Removing waste from the body is the primary function of which body system?,108,C
109,What is the process that produces energy in the Sun for billions of years?,109,A
110,"In the human kidney, urea from the blood is filtered through the glomerular membrane into a nephron. The movement of urea across this membrane occurs without an input of energy. Which factor is the most likely reason urea absorption does not require energy?",110,B
111,Which of these living things in a grassland ecosystem depend on the presence of a variety of bacteria and other microorganisms in the soil?,111,2
112,Which is an example of a different substance being formed?,112,D
113,"To use energy from the Sun to power household appliances, the solar energy must be converted to",113,B
114,Which of the following is an example of a container that is filled with a pure substance rather than with a mixture?,114,C
115,"When the lighted half of the Moon faces the Sun and the dark half faces Earth, the phase of the Moon viewed from Earth is called the",115,A
116,The Milky Way Galaxy is visible as a bright region in the night sky. Modern telescopic observation has made it possible to discover that the brightness of the Milky Way Galaxy is due primarily to which structure?,116,B
117,Natural selection cannot occur without,117,D
118,Which of the following represents a chemical reaction?,118,C
119,Which of the following is produced when sugar is digested in an animal cell?,119,A
120,A gas is heated and its temperature increases. What happens to the gas molecules?,120,C
121,"If the atomic mass number of an atom is 35, which statement is most accurate?",121,B
122,Which of the following foods is highest in polysaccharides?,122,C
123,"A student adds sugar, spices, and salt to a bowl of peanuts and stirs them together. What has the student made?",123,A
124,Burt used a spoon to stir soup that was cooking on his stove. Which spoon will stay the coolest while he stirs?,124,B
125,"According to the Big Bang Theory, which element most likely formed first?",125,B
126,Which of the following animal features most helps the animal move around in its habitat?,126,C
127,"For many years, people have been curious about the stars. In the past, people have shared what they knew about the stars through stories and drawings. Which pair of tools would be most helpful for people today to gather and share information about stars?",127,D
128,Which pair of English and metric units has most nearly the same value?,128,C
129,Which best describes why winds at the beach change direction between day and night?,129,D
130,"From Earth, the Sun appears brighter than any other star because the Sun is the",130,A
131,Which of the following is not an inherited trait of humans?,131,B
132,Alicia has lots of old bicycle parts. She wants to build something new with the parts. What is the first thing Alicia should do?,132,C
133,"At some places in Florida, sand on the beaches is being reduced. New sand is brought from other areas and spread on the beaches. What process causes this reduction to the beach sand?",133,D
134,"Louis Pasteur discovered a process that allows milk to be stored in sealed containers for long periods of time without spoiling. The process, called pasteurization, involves heating the milk before placing it in the sealed containers.Which is the best explanation of how pasteurization works?",134,C
135,Humans need food to grow and survive. Food that is not used immediately by the body for energy is,135,C
136,"When two nuclei are combined into one nucleus, there is a slight change in mass and the release of a large amount of energy. What is this process called?",136,A
137,"When bedrock in Massachusetts is examined, it often appears scraped and polished. Which of the following most likely caused the bedrock to appear scraped and polished?",137,A
138,"When animals use energy, what is always produced?",138,A
139,Rocks and Earth and on the Moon are made of similar materials. What does this observation most likely suggest?,139,C
140,"The Great Ocean Conveyer ocean current system runs north through the Atlantic from the equatorial region. If this current got disrupted, North American and European climates would become",140,B
141,Condensation in the water cycle can best be described as the result of water vapor,141,D
142,It is necessary to add a day to the calendar every four years because,142,A
143,"In 1933, a hurricane came ashore at Ocean City, Maryland. A hurricane negatively affects a coastline by",143,B
144,Which of the following is a cause of the ocean levels periodically rising and then falling?,144,C
145,The fur of an arctic fox turns from brown to white as winter approaches. This is an example of,145,D
146,What is the process that produces energy in the Sun for billions of years?,146,C
147,"Over a long period of time, a rocky volcanic island that previously did not support any form of life got transformed into a dense forested region. Which of these species is most likely to have been the pioneer species that initiated this transformation?",147,C
148,The longitude of a location determines which time zone it is in. Different time zones are the result of,148,C
149,Different systems of the human body perform different functions. Which system takes oxygen from the air to be moved by the circulatory system?,149,B
150,Aluminum is an element. Which of the following best describes the smallest particle of aluminum that retains all the properties of aluminum?,150,B
151,"A hydrologist studies the location, movement, and quality of water. A hydrologist recognizes the importance that water exists as ___.",151,B
152,"Based on the evidence available at the time, early models of the solar system stated that all objects in space orbited Earth. In the 16th century, an astronomer reevaluated the evidence and proposed a model of the solar system that is still in use. What part of this model corrected the mistake in previous solar system models?",152,B
153,"Reading from left to right, elements in the same period on the Periodic Table of the Elements",153,B
154,Which statement describes the location of our Sun in the universe?,154,D
155,"When a person speaks into a telephone, sound energy is changed mostly into which form of energy?",155,C
156,Repeated exposure to extremely loud sounds can reduce hearing ability by direct damage to which structures?,156,B
157,How is the stratosphere different from the troposphere?,157,B
158,Which of the following is a mineral?,158,A
159,What is the process called when an acid and a base combine to produce water and salt?,159,D
160,Which habitat on Earth would probably 28 add the greatest amount of water to the water cycle through evaporation?,160,C
161,"Hydrochloric acid is added to a beaker containing a piece of zinc. As a result, zinc chloride is formed and hydrogen gas is released. This is an example of",161,D
162,Living things depend on energy from,162,B
163,How does ice change the shape of rocks?,163,3
164,The continental crust floats on top of the mantle because the crust is,164,B
165,Which process causes the leaves of a plant to become larger?,165,A
166,Elements in the same column of the Periodic Table of the Elements all,166,D
167,Which of these is an example of an endothermic process?,167,B
168,Aluminum is an element. Which of the following best describes the smallest particle of aluminum that retains all the properties of aluminum?,168,C
169,A meteoroid becomes a meteorite when it,169,3
170,"During a presentation on astronomy, Professor Williams discussed various measurements in space. Which objects was she referring to when she talked about how astronomical units (AU) were determined?",170,A
171,A loaf of bread is baking in a pan in a 350° F oven. What would cause a burn to a hand the quickest because of its low specific heat?,171,B
172,What type of inheritance controls blood types in humans?,172,3
173,Newly made proteins are modified in which organelle?,173,B
174,Many people like to use microwave ovens rather than traditional ovens. The main reason for this is that microwave ovens,174,A
175,"What is the primary energy source that drives all weather events, including precipitation, hurricanes, and tornados?",175,D
176,A cat jumps when startled by a loud noise. This is an example of an organism,176,B
177,"Minerals can be identified using hardness, streak, and cleavage because",177,B
178,The Sun appears larger than other stars because of its,178,D
179,"In some dry areas, large amounts of water have been pumped from underground sources where water has been naturally stored for thousands of years. If the water is not replaced, what type of land feature is most likely to result?",179,A
180,Which of these items contains only a solution?,180,A
181,In which type of rock are fossils generally found?,181,A
182,Why should plants be included in investigations about the water cycle?,182,B
183,The smallest part of an element that retains the properties of the element is the,183,B
184,All of the inherited traits that are passed to offspring during asexual reproduction come from a single,184,B
