answer,question
"[""New York Yankees""]",these are bones that are typically longer than wide
"[""1890""]",biggest lake in the us borders which states
"[""San Antonio""]",which of jupiter's moons is the largest
"[""volume of the container decreases""]",what year did the game mousetrap come out
"[""1920 to 1933""]",highest clean sheet in epl in a season
"[""1792""]",where was the airport scene in dumb and dumber filmed
"[""1988""]",when does mother come out at the cinema
"[""Jason Michael Lee""]",when does the next season of the dragon prince come out
"[""71%""]",what is the value of absolute zero on the celsius scale
"[""1982""]",which non-british company owns both the famous british rolls- royce and mini brands
"[""10""]",when does the month of elul begin 2018
"[""December 15, 2017""]",author of song i have decided to follow jesus
"[""Lebanese""]",who developed and commercialised the modern multichannel cochlear implant (bionic ear)
"[""constitutional republic""]",who answers directly to the speaker of the house
"[""US$500""]",who has the right to admit new states
"[""produces a lubricating mucus""]",who plays brick in the sitcom the middle
"[""1,089 sq ft""]",who plays al pacino in jack and jill
"[""Billie Jean King""]",who does joshua rush play on the lion guard
"[""A mood swing""]",what's carly's last name in icarly
"[""March 27, 2018""]",where did the eagles quarterback play college football
"[""3 to 8 days""]",who was a renowed astronomer apart from being a physician
"[""Gal Gadot""]",when did the home service became radio 4
"[""1950""]",last president that was not a democrat or republican
"[""PewDiePie""]",who won the battle of brice's crossroads
"[""January 11, 1970""]",who has the 6th largest economy in the world
"[""eastward, in prograde motion""]",when was the last time we had a solar eclipse in north america
"[""2018""]",what is the meaning of the name renata
"[""2012""]",what are the main industries in papua new guinea
"[""those that have died""]",when must a suspect be read their miranda rights
"[""A concerto""]",what case applied the exclusionary rule to the states
"[""March 27, 2018""]",presented the idea of indian constituent assembly in pre independence day
"[""Abigail Rokison-Woodall""]",who translated the song we shall overcome in bengali
"[""1960""]",who's running for the governor of california
"[""horses""]",where are salt marshes located in the us
"[""35""]",what word in english is the most common spoken word
"[""Lionel Messi""]",who won the battle of las navas de tolosa
"[""ground state""]",who won the national championship in 2018 basketball
"[""9""]",when did pirates of the caribbean 2 come out
"[""unknown""]",current world heavyweight champion of the ibf wbo wba and ibo
"[""122""]",when does the handmaid's tale season 2 episode 10 air
"[""December 15, 2017""]",who plays the daughter in santa clarita diet
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",who played atticus in to kill a mockingbird
"[""James Arthur""]",when was the sound of music first performed on stage
"[""Eagles""]",who played batgirl in batman and robin tv series
"[""2015""]",who plays claire in the time traveler's wife
"[""eastward, in prograde motion""]",who is the singing voice of belle in beauty and the beast
