Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Dream,39.0,17.7,185,3578,MALE
Adelie,Biscoe,39.7,18.0,218,3386,MALE
Adelie,Biscoe,40.2,18.8,206,4075,FEMALE
Adelie,Biscoe,35.5,21.1,203,2896,FEMALE
Adelie,Torgersen,37.5,18.6,189,3826,FEMALE
Adelie,Dream,38.2,15.9,209,4040,MALE
Adelie,Biscoe,41.8,16.6,199,3814,FEMALE
Adelie,Torgersen,39.8,16.9,223,3785,MALE
Adelie,Dream,36.2,20.0,194,3518,MALE
Adelie,Dream,37.9,17.8,222,3089,
Adelie,Torgersen,39.5,19.0,208,3468,FEMALE
Adelie,Biscoe,35.2,17.2,222,3582,MALE
Adelie,Dream,36.7,18.1,205,2834,FEMALE
Adelie,Biscoe,43.2,18.5,210,4254,FEMALE
Adelie,Dream,44.1,17.4,189,3014,FEMALE
Adelie,Dream,36.5,18.1,197,3700,MALE
Adelie,Dream,35.7,19.1,186,3421,FEMALE
Adelie,Biscoe,39.0,18.1,175,3641,FEMALE
Adelie,Dream,38.1,18.6,188,3463,MALE
Adelie,Biscoe,42.1,19.3,191,3233,FEMALE
Adelie,Dream,36.5,18.7,212,4532,FEMALE
Adelie,Torgersen,39.7,19.0,205,3734,MALE
Adelie,Biscoe,37.7,19.2,184,3807,MALE
Adelie,Torgersen,33.5,17.3,208,4303,FEMALE
Adelie,Torgersen,42.3,18.8,184,3789,FEMALE
Adelie,Torgersen,41.3,17.8,184,3995,MALE
Adelie,Torgersen,36.2,18.3,187,4001,FEMALE
Adelie,Dream,39.7,15.5,217,4078,MALE
Adelie,Torgersen,38.1,18.9,223,2864,FEMALE
Adelie,Dream,39.5,18.6,179,2918,MALE
Adelie,Dream,40.8,16.8,210,3371,MALE
Adelie,Dream,41.1,18.1,199,3201,FEMALE
Adelie,Biscoe,34.5,17.1,210,3046,FEMALE
Adelie,Biscoe,40.6,20.7,221,4400,FEMALE
Adelie,Biscoe,38.1,19.4,185,3394,MALE
Adelie,Torgersen,42.2,19.8,203,3372,MALE
Adelie,Torgersen,42.8,18.8,203,4082,FEMALE
Adelie,Dream,33.1,21.1,186,4118,MALE
Adelie,Dream,42.9,19.0,225,4092,MALE
Adelie,Biscoe,38.9,20.5,205,3639,MALE
Adelie,Torgersen,34.0,18.6,187,3928,FEMALE
Adelie,Biscoe,39.6,18.5,191,2700,FEMALE
Adelie,Biscoe,36.6,18.6,212,3606,FEMALE
Adelie,Dream,36.0,16.1,189,3488,MALE
Adelie,Torgersen,41.1,18.9,196,3317,MALE
Adelie,Dream,41.4,18.2,190,4102,MALE
Adelie,Biscoe,39.2,19.5,197,3561,MALE
Adelie,Dream,40.3,18.5,203,3358,MALE
Adelie,Dream,46.0,19.0,209,3011,FEMALE
Adelie,Torgersen,38.6,17.9,192,3934,MALE
Adelie,Biscoe,36.6,20.0,199,3665,MALE
Adelie,Biscoe,45.6,18.1,196,3054,FEMALE
Adelie,Dream,36.3,16.8,190,3325,MALE
Adelie,Biscoe,40.8,16.5,224,3295,MALE
Adelie,Dream,37.6,17.2,179,3766,MALE
Adelie,Torgersen,36.0,17.5,183,3025,FEMALE
Adelie,Dream,35.3,17.0,205,3696,FEMALE
Adelie,Torgersen,44.1,17.9,221,3045,FEMALE
Adelie,Torgersen,38.6,17.8,203,2916,FEMALE
Adelie,Torgersen,37.7,19.2,229,3658,MALE
Adelie,Torgersen,39.6,18.9,187,4418,MALE
Adelie,Dream,38.7,21.2,214,3872,FEMALE
Adelie,Dream,40.3,17.9,172,3809,MALE
Adelie,Torgersen,41.1,21.5,228,3577,FEMALE
Adelie,Biscoe,34.4,18.3,214,3719,FEMALE
Adelie,Dream,42.2,17.6,180,3947,MALE
Adelie,Biscoe,40.5,17.1,188,3930,MALE
Adelie,Biscoe,39.2,17.6,193,3010,MALE
Adelie,Biscoe,38.9,16.9,192,3968,FEMALE
Adelie,Torgersen,35.7,18.0,216,3089,MALE
Adelie,Biscoe,32.1,18.7,217,3460,MALE
Adelie,Biscoe,37.6,20.0,193,3544,FEMALE
Adelie,Dream,39.6,18.0,213,3298,MALE
Adelie,Biscoe,39.7,18.6,199,3246,FEMALE
Adelie,Dream,34.6,17.5,224,4202,FEMALE
Adelie,Torgersen,41.5,17.6,201,4073,FEMALE
Adelie,Dream,35.9,18.4,197,3406,MALE
Adelie,Torgersen,40.6,18.7,226,4079,FEMALE
Adelie,Dream,41.3,19.3,208,4112,MALE
Adelie,Dream,36.2,20.3,217,4094,MALE
Adelie,Biscoe,38.3,16.1,212,4128,FEMALE
Adelie,Torgersen,39.3,18.9,193,3795,MALE
Adelie,Torgersen,40.9,18.5,196,3499,MALE
Adelie,Torgersen,42.0,17.0,191,3730,FEMALE
Adelie,Torgersen,40.2,20.3,194,3403,MALE
Adelie,Dream,42.7,17.5,206,3696,FEMALE
Adelie,Dream,39.1,16.5,184,3571,MALE
Adelie,Dream,39.6,16.2,208,3885,FEMALE
Adelie,Dream,37.0,17.0,192,3881,FEMALE
Adelie,Dream,40.9,16.0,207,3579,FEMALE
Adelie,Dream,35.1,19.2,212,4106,FEMALE
Adelie,Dream,34.6,18.4,203,3751,FEMALE
Adelie,Biscoe,39.6,17.6,208,3850,MALE
Adelie,Dream,40.6,19.5,197,3549,FEMALE
Adelie,Biscoe,38.8,17.2,190,3324,MALE
Adelie,Biscoe,35.9,18.8,212,4300,FEMALE
Adelie,Torgersen,35.6,17.9,204,3817,MALE
Adelie,Biscoe,36.4,18.4,225,4465,MALE
Adelie,Dream,41.4,19.4,222,2872,MALE
Adelie,Torgersen,35.0,17.2,193,3772,FEMALE
Adelie,Dream,41.6,18.9,225,3203,FEMALE
Adelie,Dream,37.8,16.6,202,4452,MALE
Adelie,Dream,41.1,18.5,212,3433,MALE
Adelie,Torgersen,43.2,18.5,200,3955,MALE
Adelie,Torgersen,41.1,17.1,201,3146,FEMALE
Adelie,Torgersen,35.7,19.4,211,3384,FEMALE
Adelie,Dream,40.1,18.6,195,4313,FEMALE
Adelie,Torgersen,40.7,18.0,200,4004,FEMALE
Adelie,Dream,36.9,20.1,204,4479,MALE
Adelie,Biscoe,40.6,20.0,212,3632,FEMALE
Adelie,Dream,41.5,17.0,201,2700,FEMALE
Adelie,Torgersen,39.2,19.6,198,3476,FEMALE
Adelie,Dream,38.8,17.0,201,3871,MALE
Adelie,Biscoe,39.0,17.1,207,2959,FEMALE
Adelie,Dream,41.1,18.9,197,3917,MALE
Adelie,Torgersen,37.7,21.2,231,3422,MALE
Adelie,Torgersen,37.3,18.5,172,2936,
Adelie,Biscoe,38.6,19.1,212,3819,MALE
Adelie,Dream,37.2,17.1,215,3463,MALE
Adelie,Biscoe,37.0,18.5,185,3096,
Adelie,Dream,40.2,19.1,178,3678,FEMALE
Adelie,Dream,36.8,17.7,189,3862,MALE
Adelie,Dream,40.5,19.1,215,3234,FEMALE
Adelie,Torgersen,38.1,19.5,180,3851,MALE
Adelie,Biscoe,41.0,21.1,207,3742,MALE
Adelie,Torgersen,37.3,18.1,210,3082,MALE
Adelie,Biscoe,38.8,17.9,197,3287,FEMALE
Adelie,Dream,36.0,18.5,211,3794,MALE
Adelie,Torgersen,36.0,19.7,203,4001,MALE
Adelie,Dream,35.5,18.3,195,3434,MALE
Adelie,Biscoe,41.1,17.2,188,3419,FEMALE
