total,speeding,alcohol,not_distracted,no_previous,ins_premium,ins_losses,abbrev
18.9,3.600473444307309,4.605425831175717,8.335163266275476,10.900257724061847,1012.98,157.7,MS
16.2,7.716043149456918,9.02308890287985,13.995843166027509,12.966496377737858,789.15,149.77,IL
21.3,5.801931026454207,5.188453398118933,13.465926946060693,13.199962561928391,879.71,122.35,IA
20.9,3.871026237436231,5.913656584245025,17.739465557102836,13.546576047306235,973.52,142.76,MD
17.2,4.346955900229778,3.045986980796255,1.76,15.737077565199325,1282.53,146.18,OK
18.7,1.941793247868759,10.019141943179113,15.677666364073309,11.06811884259136,913.77,121.44,AK
16.60953463837092,5.590800084578339,3.85617161293164,16.6,15.487929641226394,675.66,171.81,VT
19.2,3.204788944480711,3.073796550690681,9.105756440921317,13.286727150760113,841.85,137.69,SC
19.977149330290356,7.133012294863803,4.031525977152578,9.3,18.014207724281455,806.01,115.4,VA
18.29942415464484,4.574185396283525,2.396008643621197,2.669803143004801,14.8,901.67,114.59,KY
9.86889273225784,1.93809230115333,6.265093018853452,8.4,9.68583218846445,1163.25,155.24,NY
21.74842756255857,3.502447240260057,4.734995953927784,13.6,20.111919204939973,659.32,86.09,NJ
15.2,6.998339784627462,5.660963365765187,7.398900737935675,9.58182075606945,1162.5,156.06,WA
19.758399527248372,7.63109227621583,6.945652536074868,8.3,10.819539230201269,931.33,132.49,WV
17.849407799237397,6.272256540582441,6.962716766688509,7.5,8.481407531182215,1083.21,120.11,OH
21.1,3.763515122544028,4.169607870445005,15.575239910546024,19.48315997953821,853.18,158.02,UT
16.533186790637238,8.456558622840253,9.712789372916273,10.602992456089387,13.4,1169.86,134.51,VA
16.765149484426153,4.479262779818555,3.57186526731039,9.341993925119327,16.4,928.51,170.5,ND
19.5,6.750680687532067,3.163286376697572,8.736592476100753,14.510878297600405,753.96,126.85,NJ
17.5,2.264696178934551,1.73071187231268,16.30893951135852,12.907439544593805,969.18,143.74,SD
16.977915115161682,5.305104155244736,6.472015067839188,11.9,8.895793254528085,1277.67,143.16,MN
18.9,6.047422682519771,6.707558260156055,13.33802924875367,7.600738995657205,998.11,136.12,TN
19.148980587299512,9.172476435151172,4.004889617790077,18.7,16.038788073366486,690.98,104.95,MD
13.029343426709879,6.404134159742981,6.348705297845902,10.6,12.490835566841723,897.8,193.97,MT
14.736688538151714,5.198997093490183,3.889274929289853,12.4,12.334591524570637,645.82,153.86,MS
17.516229392845,2.635617388309911,4.283904159642388,10.5,13.131153815661884,980.23,111.89,AL
14.8,2.586141951999295,2.79952267860533,5.956384439756984,13.614950111002075,1263.82,91.92,MO
16.8,6.53710392929148,5.168523768070483,8.442645928972716,8.71786654515316,895.99,120.13,WA
16.584379258788903,7.309248301281298,3.735597665602465,7.28825840608279,14.8,1030.61,151.27,MA
22.6,6.697658423561008,8.672575900634088,13.233263188184546,12.764727346982337,716.99,146.38,RI
12.3,4.072849715449833,4.874346140568491,6.087269029613498,8.166923194481752,1186.73,146.54,WV
16.604635986160485,3.79079437622535,5.620789496554121,15.7,9.947657969912987,657.61,180.26,WA
18.2,7.642826679856002,10.038,14.385022478767848,11.21045192193543,812.96,163.33,CT
13.157297007648628,5.133136371656515,4.937779296833325,10.6,6.401840740702336,800.55,118.47,NY
20.4,8.939921861336343,2.907774112674842,12.51872704836681,20.097482934655872,876.96,108.22,ID
14.098624099736488,5.539516212849561,5.838717157212622,13.7,6.470086327091184,674.99,122.09,NM
18.750048644283478,6.964023155971056,4.64219635671503,11.1,8.841475363494865,983.23,133.25,TN
19.279545464163267,7.758655313471671,10.038,15.5,16.57766665559796,1077.96,147.65,NV
15.7,3.565603767985637,5.744198906815711,13.890053162818038,9.446624144436374,1183.88,146.3,NY
16.5,6.930619977138033,4.247364233025472,16.223227818364222,8.119212514105595,876.25,131.39,ME
16.8,7.717153943602333,3.779878280509052,14.833790785972205,14.458942386339158,979.58,127.82,MS
17.777281396806444,7.357607061395236,2.894331335457351,13.5,8.342478169313274,730.8,125.48,GA
13.0,1.964829711039984,2.059248642845463,8.584940271224333,9.100211907368177,1107.72,136.13,FL
17.1,8.998990506402988,4.854208304311726,12.318570013404916,12.0422546516178,1050.35,113.91,CT
15.098058767802147,6.483104130257923,3.385266765929347,14.9,7.694212971628772,1266.37,159.54,WY
21.206939609939525,5.772974491730379,5.884129082647306,5.947750426321889,15.4,866.76,116.99,NE
22.3,4.683077915925731,3.113691996240923,11.691965039526362,9.694639575367958,1264.41,130.87,HI
22.2,2.070954986679853,3.75518180371412,2.906250418879262,18.52054723821615,659.16,156.69,NM
18.36343553272782,6.068858241666049,4.061059333962577,12.585211571262333,14.8,769.84,116.19,MI
15.484582389158128,5.92250870807834,5.714748506139664,14.0,12.532678220758797,1272.44,137.82,ND
11.7,4.788485980658843,3.382282016147075,11.699082725020157,8.660967566720428,758.09,107.61,LA
