sentence,label,idx
"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic .",0,784
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality .",0,521
"so , too , is this comedy about mild culture clashing in today 's new delhi .",0,832
"in execution , this clever idea is far less funny than the original , killers from space .",1,522
"( director ) o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short .",1,272
"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul .",0,332
"instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life .",1,625
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns .",0,130
a sequence of ridiculous shoot - 'em - up scenes .,0,114
"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn .",0,576
"it proves quite compelling as an intense , brooding character study .",0,586
"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold .",1,33
a deep and meaningful film .,1,836
they should have called it gutterball .,0,468
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling .",1,371
"too slow , too long and too little happens .",0,152
"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation .",1,508
an infectious cultural fable with a tasty balance of family drama and frenetic comedy .,0,566
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",1,640
michael gerbosi 's script is economically packed with telling scenes .,1,573
"a fast , funny , highly enjoyable movie .",0,611
yakusho and shimizu ... create engaging characterizations in imamura 's lively and enjoyable cultural mix .,0,870
"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that .",1,793
"it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination .",1,784
"even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .",0,222
"( serry ) wants to blend politics and drama , an admirable ambition .",1,72
no aspirations to social import inform the movie version .,1,846
"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .",0,131
"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting .",1,141
if your taste runs to ` difficult ' films you absolutely ca n't miss it .,1,731
the son 's room is a triumph of gentility that earns its moments of pathos .,1,415
dense with characters and contains some thrilling moments .,0,523
an unclassifiably awful study in self - and audience-abuse .,0,651
a beguiling splash of pastel colors and prankish comedy from disney .,1,329
the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it .,0,824
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .",0,374
the plot convolutions ultimately add up to nothing more than jerking the audience 's chain .,0,510
"against all odds in heaven and hell , it creeped me out just fine .",0,393
"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .",0,293
"it 's slow -- very , very slow .",0,445
"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters",1,511
"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness .",1,459
"fun , flip and terribly hip bit of cinematic entertainment .",1,37
"so much facile technique , such cute ideas , so little movie .",1,741
a sequel that 's much too big for its britches .,1,316
hit and miss as far as the comedy goes and a big ole ' miss in the way of story .,0,426
a by-the-numbers patient/doctor pic that covers all the usual ground,1,200
it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel .,1,48
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them .",0,481
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality .",0,794
a by-the-numbers patient/doctor pic that covers all the usual ground,0,317
not since freddy got fingered has a major release been so painful to sit through .,1,147
"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness .",0,578
"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well .",0,92
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,1,557
but this films lacks the passion required to sell the material .,0,106
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .",1,112
the piece plays as well as it does thanks in large measure to anspaugh 's three lead actresses .,0,833
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .",0,121
"all that 's missing is the spontaneity , originality and delight .",0,706
very bad .,0,557
"this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast .",1,417
"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater .",0,771
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .,0,77
should have been someone else -,0,584
"this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast .",0,655
"wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty .",1,334
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...,1,784
"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",0,266
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie .",1,489
the cold turkey would 've been a far better title .,0,306
"gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .",0,383
"all that 's missing is the spontaneity , originality and delight .",0,722
"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .",1,199
"this re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against .",0,160
chokes on its own depiction of upper-crust decorum .,0,706
"while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these .",0,252
