id,question,choices,answerKey
1,Aluminum and copper are composed of different types of matter. Which statement best describes matter?,1,A
2,Which is an advantage of using renewable resources?,2,D
3,"A pesticide gets into the waters of the Everglades and wipes out many of the fish, amphibian and bird populations on which alligators depend for food. Which change would most likely occur among the alligator population?",3,A
4,A student adds water and detergent to a cup of soil. The mixture is shaken and allowed to settle. The student observes that silt particles stay suspended long after the other particles form layers at the bottom of the jar. The most likely explanation is that the silt particles are,4,4
5,Which action best models the motion of an arm at the elbow joint?,5,B
6,"When a dog performs a specific action on command, such as sitting, the action is an example of",6,C
7,Which statement best explains why a car that is rolling on a level surface will eventually come to a stop?,7,C
8,Most electrical wires are covered with plastic or rubber. The wires are covered with plastic or rubber because those materials,8,B
9,Which question can be answered using an investigation done by a science class?,9,B
10,"Several horses grazed in a fenced area across from a home. On rainy days, soil would wash down a slope and run toward the home. After the horses were moved a few years later, the soil no longer washed down when it rained. What could account for this change?",10,A
11,"Scientists know that Earth is constantly changing. They are familiar with the processes that are repeated daily, monthly, and yearly. Which of these is a natural event that can be predicted to occur monthly?",11,B
12,What precaution must be taken by students when making observations of the Sun?,12,B
13,In which way are rainforests and coral reefs different from ecosystems with few species?,13,D
14,A rabbit population has increased noticeably in the past ten years. Which of the following is a reasonable hypothesis for this population growth?,14,C
15,One property of liquids is that they have a definite,15,B
16,One property of liquids is that they have a definite,16,B
17,Which of the following statements best describes one way that the Moon is different from Earth?,17,D
18,Cells are the basic unit of structure and function in all living organisms. Which describes the greatest difference between the cells of a baby gorilla and the cells of an adult gorilla?,18,D
19,A bird has just hatched from an egg. Which of the following stages most likely comes next in the life cycle of the bird?,19,A
20,All of the following are part of an animal life cycle except,20,C
21,"On Earth, water can be a solid, a liquid, or a gas. Which energy source has the greatest influence on the state of matter of water?",21,D
22,Which action has most helped scientists find cures to some diseases?,22,A
23,"Rhinoceroses and horses are related. They have very similar digestive systems and an odd number of toes on their feet. Horses have one toe, and rhinoceroses have three. These facts best support which claim?",23,B
24,Which is an example of conduction?,24,C
25,Which relationship results in the highest level of evaporation from Earth's water reservoirs?,25,D
26,Why is it winter in North America when it is summer in South America?,26,D
27,Which of these has the greatest capacity for storing thermal energy from the Sun?,27,B
28,"After a heavy rain, a mudslide flows into a pond and mud mixes into the water. Which of the following is most likely to happen?",28,D
29,Water used in a factory is heated to 75 degrees Celsius. It is discharged into a nearby river that has a normal temperature of 20 degrees Celsius. Which should most likely be done to minimize damage to the river?,29,A
30,"When prehistoric animals died and their soft parts decayed, which product was formed?",30,C
31,A car is traveling on a highway at a constant velocity. Which statement best describes the forces acting on the car?,31,D
32,"Red is dominant to white for flower color in a particular plant. If a red flowered plant (RR) is crossed with a white flowered plant (rr), what color will the offspring be?",32,C
33,A student is shown a slide of cells from a species of producer in a food web. The student observes that the cells have chloroplasts. What conclusion about the food web is best supported by these findings?,33,B
34,Aluminum and copper are composed of different types of matter. Which statement best describes matter?,34,A
35,Giant redwood trees change energy from one form to another. How is energy changed by the trees?,35,D
36,"In whitetail deer, females seldom grow antlers. Which best explains why male whitetail deer grow antlers but females seldom grow antlers?",36,B
37,"When high winds knocked down pine trees in a wooded region, it created a gap in the crowded canopy and allowed sunlight to fall on the ground. The increased sunlight allowed a dense growth of raspberry plants which protected young pine seedlings from being eaten by herbivores. Over time, the pine seedlings grew and blocked sunlight from falling on the woodland floor, thereby preventing growth of more raspberry plants. Which of these terms best describes the process of change observed in this woodlands community?",37,B
38,Many types of motion occur in our solar system. Which type of motion describes one Earth year?,38,A
39,"Students want to plant a lemon tree at their school, but the cold winter temperatures in Massachusetts would kill the tree. Which of the following is the best solution to this problem?",39,A
40,Wind turbines are being used to generate electricity in many parts of the United States. One advantage of wind turbines is that no fossil fuels are burned. Which of the following is a disadvantage of wind turbines?,40,D
41,Which set of descriptions correctly states the difference between a population and a community?,41,B
42,A wetland habitat can continue to support the birds and fish that live there if people ___.,42,D
43,A person is 6 feet tall. Which of the following metric measurements is most near to 6 feet?,43,D
44,"Compared to the amount of hereditary information in a human body cell, how much hereditary information is contained in a human sex cell?",44,C
45,"Below is an advertisement found in a local newspaper. As shiny as diamonds at a fraction of the price! Buy ""Simu-Gems"" at Cost-Rite Jewelers. This advertisement suggests that Cost-Rite Jewelers' supplier",45,C
46,"In a grassland ecosystem, organisms of the same species eat the same food. When there is a lack of rain, which is most likely increased?",46,C
47,"In 2005, a team of scientists discovered a photosynthetic bacteria living near the molten lava of a thermal vent ecosystem deep in the Pacific Ocean. The bacteria lived 2400 meters below the surface of the ocean, yet made energy from photosynthesis. Which conclusion best explains the results?",47,D
48,Using the Internet for a research paper can help a student find many resources. One problem with using information on the Internet is that it might be,48,D
49,In which organisms could evolution occur most rapidly?,49,A
50,Many fertilizers contain organic materials that are helpful to an orchard but have a different effect when rain causes them to run off into a freshwater ecosystem. How does the addition of organic waste from fertilizers most commonly affect freshwater ecosystems?,50,D
51,Which of the following is a similarity 20 between x-ray waves and sound waves?,51,B
52,A son can inherit traits,52,B
53,How does acid rain most likely affect forests?,53,C
54,Which items are needed to create a simple circuit?,54,B
