pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-01 20:24:20,2019-03-01 20:37:22,1,3.98,9.9,0.05,0.09,18.44,yellow,credit card,Lincoln Square East,Flatbush/Ditmas Park,Manhattan,Brooklyn
2019-03-09 11:46:19,2019-03-09 12:00:37,1,16.67,10.9,3.02,2.35,61.39,yellow,credit card,Elmhurst,East Harlem North,Queens,Manhattan
2019-03-18 22:42:54,2019-03-18 22:57:21,1,0.37,11.86,5.45,0.14,14.5,yellow,cash,Penn Station/Madison Sq West,Soundview/Castle Hill,Manhattan,Bronx
2019-03-09 06:07:49,2019-03-09 06:18:55,6,2.45,5.5,4.23,0.3,9.72,yellow,credit card,Lincoln Square East,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-10 11:29:30,2019-03-10 11:45:43,1,1.78,3.8,1.92,0.08,14.12,yellow,cash,Lincoln Square East,North Corona,Manhattan,Queens
2019-03-28 22:17:25,2019-03-28 22:33:46,2,10.09,8.4,3.56,0.16,12.79,yellow,credit card,Greenwich Village South,Clinton East,Manhattan,Manhattan
2019-03-30 01:34:13,2019-03-30 01:47:32,1,4.93,5.45,4.9,0.05,8.79,yellow,cash,Union Sq,Financial District North,Manhattan,Manhattan
2019-03-11 21:42:46,2019-03-11 21:59:45,1,0.53,6.3,0.31,0.01,10.54,yellow,credit card,Penn Station/Madison Sq West,Central Harlem,Manhattan,Manhattan
2019-03-15 02:10:09,2019-03-15 02:24:37,1,25.21,13.01,2.33,0.41,36.6,yellow,cash,LaGuardia Airport,Homecrest,Queens,Brooklyn
2019-03-25 04:09:11,2019-03-25 04:21:40,5,6.1,10.29,3.12,0.01,25.1,yellow,credit card,West Chelsea/Hudson Yards,Midtown East,Manhattan,Manhattan
2019-03-11 20:47:39,2019-03-11 21:03:10,1,3.68,5.7,3.02,0.11,13.82,yellow,cash,TriBeCa/Civic Center,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
