state,id,population,engineers,hurricanes
Maine,1,2063164,0.002290686,6
Kansas,2,4158621,0.003811111,0
Wyoming,3,15806335,0.001007684,0
Utah,4,2888441,0.006440053,0
District of Columbia,5,13813075,0.011759179,0
Rhode Island,6,4117449,0.004581485,9
Arkansas,7,2896068,0.002439557,0
Louisiana,8,1234520,0.001176931,49
Missouri,9,2549302,0.004413261,0
New Jersey,10,2535993,0.007724327,2
Washington,11,11385084,0.010710757,0
Massachusetts,12,2073995,0.010230808,10
North Dakota,13,12734124,0.003403909,0
West Virginia,14,6543428,0.00128338,0
Vermont,15,5408290,0.004643016,0
Connecticut,16,12229003,0.005896906,10
Alabama,17,1492275,0.003421545,22
Illinois,18,2498446,0.004478368,0
Tennessee,19,8210570,0.002375513,0
Montana,20,5403831,0.002139048,0
New York,21,3370546,0.004941432,12
Georgia,22,1630741,0.004939686,20
Minnesota,23,2442110,0.006193894,0
Alaska,24,4612502,0.001590524,0
Kentucky,25,14881284,0.002089262,0
Mississippi,26,5702631,0.000933508,15
Hawaii,27,3641073,0.001624016,0
New Mexico,28,7186337,0.001883696,0
Pennsylvania,29,5088553,0.004237253,1
Texas,30,7968926,0.004320129,59
Ohio,31,39250017,0.004095787,0
California,32,1696259,0.007125857,0
Idaho,33,3586255,0.002970638,0
Maryland,34,9458689,0.006291088,2
Colorado,35,2346521,0.008087652,0
Nevada,36,2680734,0.002037375,0
Wisconsin,37,1360215,0.004821147,0
Virginia,38,11898524,0.008595061,12
Delaware,39,7981560,0.004989155,2
Florida,40,707046,0.003299949,110
Oregon,41,3653732,0.005457479,0
Puerto Rico,42,3009369,0.000773897,0
South Carolina,43,13493578,0.002084207,31
South Dakota,44,4433530,0.003085086,0
Oklahoma,45,1818308,0.002286188,0
Indiana,46,2436782,0.002724236,0
Michigan,47,3281162,0.003876797,0
Iowa,48,6904822,0.003716472,0
Nebraska,49,1793046,0.005621053,0
New Hampshire,50,13422974,0.00633056,2
North Carolina,51,7244225,0.004226953,46
Arizona,52,20198005,0.004774154,0
