date,open,high,low,close,adjclose,volume
2000-01-03,1480.044385,1499.715911,1431.357914,1474.221271,1481.119361,1432668490
2000-01-04,1476.976987,1477.802917,1418.447777,1456.146833,1476.282713,974220912
2000-01-05,1458.24767,1473.227857,1435.719027,1451.217719,1466.194426,986722125
2000-01-06,1473.667713,1479.046494,1403.570377,1425.048538,1454.663301,819769798
2000-01-07,1483.769832,1496.04706,1407.316767,1416.775393,1447.528066,733723876
2000-01-08,1480.216164,1502.232656,1442.49513,1452.057694,1470.441739,237652078
2000-01-09,1455.648115,1488.60148,1419.461918,1439.952857,1462.984188,1033197199
2000-01-10,1456.404599,1464.050736,1434.221753,1436.501209,1455.06648,2068982528
2000-01-11,1451.350551,1496.964618,1440.099447,1441.035475,1477.952997,1299149994
2000-01-12,1458.710377,1485.849518,1451.061602,1452.81052,1456.558279,1696853345
2000-01-13,1460.130419,1470.837426,1438.092674,1458.54664,1464.305347,720480329
2000-01-14,1474.075914,1480.931142,1429.524807,1433.129591,1476.851554,716355759
2000-01-15,1478.828961,1488.950525,1416.313207,1440.437731,1461.55476,0
2000-01-16,1462.873504,1502.553786,1440.283599,1444.824161,1461.964498,0
2000-01-17,1484.068126,1510.794713,1416.270416,1479.524152,1486.690127,1706253275
2000-01-18,1471.681558,1499.798559,1413.627376,1445.034245,1473.702017,1070926124
2000-01-19,1475.722738,1508.180223,1445.522895,1445.621852,1453.751751,816385230
2000-01-20,1491.023289,1505.121487,1431.697158,1439.457958,1441.442572,75652939
2000-01-21,1466.424426,1486.435493,1408.919432,1440.072903,1463.473759,393826488
2000-01-22,1488.300801,1496.181028,1432.083574,1456.428019,1457.995318,1305164299
2000-01-23,1483.227098,1485.796462,1429.76787,1464.988134,1465.693852,1888210546
2000-01-24,1444.813858,1467.462145,1424.266422,1450.843786,1465.541813,983887823
2000-01-25,1477.701701,1514.955263,1455.462037,1460.269686,1472.704565,645707679
2000-01-26,1457.37746,1493.831972,1436.245565,1447.186047,1487.878723,380353013
