method,number,orbital_period,mass,distance,year
Radial Velocity,2,201.83,3.1548,25.7,2008
Radial Velocity,3,8.631,,14.97,2013
Transit,2,13.83989,,470.0,2012
Radial Velocity,1,647.3,,,2011
Transit,3,12.7204,,,2011
Radial Velocity,1,501.75,6.9,,2009
Transit,1,4.2,,8500.0,2006
Transit,4,22.342989,,,2013
Radial Velocity,2,44.236,,42.68,2009
Transit,3,5.398763,,135.0,2012
Transit,1,2.4855335,,,2008
Radial Velocity,2,,,42.43,2000
Imaging,1,,,10.1,2012
Radial Velocity,3,51.645,,,2003
Radial Velocity,1,1279.0,4.9,31.03,2002
Transit,3,39.792187,,66.0,2013
Transit,5,22.7802,,303.0,2012
Transit,1,1.5373653,,450.0,2011
Transit,4,22.342989,,,2013
Imaging,1,,,145.0,2010
Transit,2,9.2869944,,2119.0,2011
Transit,1,4.627669,,205.0,2010
Radial Velocity,1,615.0,0.29,35.88,2011
Radial Velocity,3,11.577,0.0166,,2011
Radial Velocity,1,2754.0,1.78,,2009
Transit,2,20.09,,,2012
Pulsar Timing,3,66.5419,,,1992
Radial Velocity,2,127.58,,164.2,2008
Radial Velocity,1,36.96,2.49,93.2,2007
Transit,2,35.736,,,2013
Radial Velocity,3,90.309,,,2011
Radial Velocity,2,1270.2,,53.82,2007
Transit Timing Variations,3,,,,2014
Radial Velocity,1,1531.0,6.92,37.44,2002
Radial Velocity,3,9.3743,0.0238,26.15,2008
Radial Velocity,1,311.288,,17.24,1999
Radial Velocity,6,28.14,0.012,6.8,2011
Radial Velocity,1,359.9,4.6,,2007
Radial Velocity,1,3.3135,,15.6,1996
Transit,1,3.57878087,,,2013
Radial Velocity,1,431.88,,77.82,2001
Transit,4,54.32031,,,2013
Transit,1,2.838971,,455.0,2012
Orbital Brightness Modulation,1,1.54492875,,,2013
Radial Velocity,1,,0.47,23.8,2010
Radial Velocity,2,530.32,,46.84,2012
Transit,2,242.4613,,,2013
Radial Velocity,1,480.5,,80.06,2012
Radial Velocity,2,4046.0,,38.52,2011
Radial Velocity,1,1561.0,,51.97,2003
Transit,2,191.2318,,,2013
Radial Velocity,1,696.3,10.7,,2009
Transit,1,0.94145299,,105.49,2009
Transit,2,5.9123,,,2011
Radial Velocity,1,24.348,,19.89,1999
Radial Velocity,1,5.3978,0.029,16.82,2008
