year,temp
1880,-0.36
1881,-0.24
1882,-0.2
1883,-0.2
1884,-0.17
1885,-0.23
1886,0.18
1887,-0.16
1888,-0.21
1889,-0.01
1890,-0.03
1891,-0.09
1892,-0.18
1893,0.03
1894,-0.05
1895,-0.0
1896,-0.15
1897,0.14
1898,0.07
1899,0.15
1900,0.09
1901,0.18
1902,-0.27
1903,0.14
1904,0.05
1905,0.03
1906,0.01
1907,-0.01
1908,0.02
1909,-0.05
1910,0.21
1911,0.15
1912,0.07
1913,0.01
1914,0.04
1915,0.09
1916,0.01
1917,0.02
1918,0.01
1919,0.28
1920,-0.08
1921,0.27
1922,0.2
1923,0.28
1924,0.25
1925,0.51
1926,0.35
1927,0.37
1928,0.39
1929,0.04
1930,0.33
1931,0.33
1932,0.36
1933,0.42
1934,0.39
1935,0.31
1936,0.15
1937,0.3
1938,0.36
1939,0.39
1940,0.22
1941,0.3
1942,0.29
1943,0.41
1944,0.45
1945,0.46
1946,0.4
1947,0.41
1948,0.34
1949,0.46
1950,0.4
1951,0.41
1952,0.54
1953,0.35
1954,0.38
1955,0.72
1956,0.53
1957,0.54
1958,0.4
1959,0.41
1960,0.53
1961,0.54
1962,0.37
1963,0.57
1964,0.31
1965,0.54
1966,0.25
1967,0.6
1968,0.47
1969,0.58
1970,0.63
1971,0.58
1972,0.52
1973,0.64
1974,0.49
1975,0.77
1976,0.62
1977,0.82
1978,0.43
1979,0.53
1980,0.61
1981,0.69
1982,0.68
1983,0.5
1984,0.62
1985,0.81
1986,0.48
1987,0.8
1988,0.58
1989,0.75
1990,0.73
1991,0.58
1992,0.6
1993,0.6
1994,0.8
1995,0.75
1996,0.67
1997,0.76
1998,0.87
1999,0.83
2000,0.74
2001,0.64
2002,0.78
2003,0.65
2004,0.74
2005,0.73
2006,0.77
2007,0.9
2008,1.09
2009,0.82
2010,0.78
2011,0.89
2012,0.8
2013,0.81
2014,0.87
2015,0.99
2016,0.77
2017,1.09
2018,0.75
2019,0.93
2020,0.76
2021,0.98
2022,0.89
2023,0.97
