id,question,choices,answerKey
1,What does a mirror do to light that causes objects to appear backwards?,1,1
2,Which event would most likely result in more food for organisms that are scavengers?,2,A
3,"A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations?",3,B
4,Which are examples of inherited traits?,4,B
5,Which of these groups animals are ALL mammals?,5,D
6,Which is the thickest layer of Earth?,6,B
7,The fur of an arctic fox turns from brown to white as winter approaches. This is an example of,7,C
8,Sound waves can pass through all of these except,8,3
9,Which tool is used to determine the mass of an object?,9,B
10,"Earthworms live underground in the soil. As they move through the soil, they create tunnels. The tunnels help improve the soil. Plants grow better in soil that has earthworms. Which statement explains how earthworm tunnels help plants?",10,B
11,"When a switch to a ceiling fan is turned on, electrical energy is being transformed into",11,C
12,Plants make sugars in the presence of sunlight in a process called photosynthesis. What form of carbon do the plants take in for this process?,12,C
13,Oceans have many layers of sediments. These layers become compacted when they are buried under other layers of sediments. Which is most likely to happen to the deepest layers?,13,D
14,Which of these lists has only products that come from plants?,14,C
15,All metabolic functions fall into one of two categories: a breaking down process (catabolic) or a building up process (anabolic). Which is an example of an anabolic process?,15,A
16,An ecosystem is a community of organisms interacting with their physical environment. Why are decomposers an important part of ecosystems?,16,D
17,Timber companies can best manage the number of trees in forests by,17,D
18,Which of the following best describes a mineral?,18,D
19,"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?",19,A
20,"The thin, semi-permeable membrane that encloses a cell allows nutrients to enter and wastes to be",20,C
21,The difference between the atomic number of an element and the element's atomic mass is the number of,21,D
22,What chemical symbol represents the element iron?,22,A
23,"Hydrogen is located on the left side of the periodic table in the same column as the alkali metals, but it has characteristics of a nonmetal. Which of the following is a physical property of hydrogen?",23,B
24,A student crumples up a sheet of paper. Which property of the paper has changed?,24,D
25,What safety rule is most important for students to follow when working with acids and bases?,25,B
26,"As the hawk population increases in an ecosystem, the deer mouse population will most likely decrease as a result of",26,D
27,"On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease?",27,D
28,Which gas makes up the greatest percentage of Earth's atmosphere?,28,B
29,"The brain, spinal cord, and nerves are organs that perform which primary function?",29,D
30,Dominic placed a caterpillar in a container with different kinds of leaves. Which information should he record to find out what food this caterpillar eats?,30,A
31,Which example describes a learned behavior in a dog?,31,B
32,"At night, the Moon is the brightest object in the sky. Where does the Moon's light come from?",32,C
33,A research team wanted to produce a smaller variety of German shepherd dogs. They mated the smallest dogs from different litters for several generations. This is an example of which concept?,33,B
34,Where is most of the mass of the atom located?,34,D
35,What is the highest temperature that water can reach in a pot on a stove?,35,C
36,What product was being formed as plants died and sank to the bottom of swamps?,36,B
37,What will most likely result when the jet stream moves south of North Carolina?,37,C
38,A researcher found shark fossils on top of a mountain. This evidence suggests which of the following about this region?,38,D
39,Which biological activity occurs in a repeated rhythm?,39,B
40,Which human trait is most likely inherited from a parent?,40,C
41,A star is a large astronomical body that,41,A
42,Hereditary information is transmitted from parents to offspring through,42,C
43,Which of the following organisms have the greatest effect on an ecosystem because of the changes they make to their environment?,43,C
44,"If you wanted to be able to look at the stars, the planets, and the Moon more closely, what should you use?",44,C
45,A root emerges from a seed because of the force of,45,A
46,Which of the following animal features most helps the animal move around in its habitat?,46,B
47,Which of the following is the most important safety practice when using a rock hammer on a geology field trip?,47,D
48,Which area is coldest?,48,B
49,A bracket fungus grows on a dead tree and breaks it down into chemical nutrients. What term best classifies the role of a bracket fungus in this ecosystem?,49,B
50,Which of these items contains only a solution?,50,A
51,What part of the scientific method involves measuring the growth of a plant over a one-month period?,51,C
52,The stages in the life cycle of an organism are shown below. birth -> growth -> development -> reproduction -> death In which life cycle stage will a new organism be made?,52,A
53,"When trees are removed from an area in a tropical rainforest, the area experiences an increase in soil erosion. Which statement best explains why removing the trees can lead to soil erosion?",53,C
54,The gravitational attraction of the Moon causes which effect on Earth?,54,A
55,How has the invention of the personal computer helped people the most?,55,C
56,A change in the environment that causes a response is known as a,56,D
57,"During a rainstorm, leaves wash down a gully on a hillside. The water slows down at the foot of the hill and fans out, depositing the leaves. What geologic structure is formed in a similar way?",57,B
58,The Water Quality Act of 1987 required the development of standards that would prevent toxic pollutants from reaching dangerous levels in bodies of water. This act affected the amounts of toxic chemicals that could be discharged into bodies of water. Which of the following would have been most regulated by this act?,58,D
59,"A student poured some sugar into a glass of water. After the water was stirred, no solid sugar remained in the glass. Which statement best describes what happened?",59,A
60,Where would nitrogen most easily be found in the nitrogen cycle?,60,D
61,Why is some food dehydrated for astronauts to eat in space?,61,B
62,Which event would most likely result in more food for organisms that are scavengers?,62,D
63,Which is a major difference between the life cycles of different types of plants?,63,A
64,"Mark wants to make lemonade for his friends. He uses water, lemon juice, and sugar. Which of these best describes the lemonade?",64,D
65,"When a switch to a ceiling fan is turned on, electrical energy is being transformed into",65,C
66,Which statement best identifies a basic need of all animals?,66,C
67,Which of the following is one reason that quartz is classified as a mineral?,67,B
68,Which of the following is most likely to lead to error in an experiment?,68,B
69,"In fruit flies, red eyes are dominant over sepia eyes. A male with red eyes is crossed with a female with sepia eyes producing first generation offspring that all had sepia eyes. What does this indicate about the flies that were crossed?",69,B
70,Where do plants get energy from to make food?,70,A
