sentence1,sentence2,label,idx
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.",Anyone who knew that he was 19 years old could take his claim away from anyone.,0,31
"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.",The son was so heavy.,0,33
"Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.",The drain has to be removed.,1,64
"Susan knew that Ann's son had been in a car accident, so she told her about it.",The sponsors were very much in the majority.,1,33
The large ball crashed right through the table because it was made of styrofoam.,Any direction on his own account was just another proof of David's innate idiocy.,0,69
The city councilmen refused the demonstrators a permit because they advocated violence.,"Since Alice always wears a red turban, Alice spotted her quickly.",0,46
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.",Mark ran to look out the window.,0,68
The drain is clogged with hair. It has to be removed.,The duck had better get away to safety fast!,1,41
I poured water from the bottle into the cup until it was empty.,The bottle was empty.,1,36
The large ball crashed right through the table because it was made of styrofoam.,Sally had such a good start.,0,56
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",He no longer requires Chester's financial support.,1,67
"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.",I can't see around the stage.,0,44
Jane knocked on Susan's door but she did not answer.,The building is very famous.,1,26
The man couldn't lift his son because he was so heavy.,Eric was not particularly eager to see it.,0,11
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.",John was very annoying.,1,51
The city councilmen refused the demonstrators a permit because they advocated violence.,The lawyer was reluctant to repeat it.,0,8
The father carried the sleeping boy in his arms.,Fred is a remarkable man.,0,39
"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",That's exactly how Facebook makes us feel.,0,56
Jane knocked on Susan's door but she did not answer.,He could not help Larry now.,0,0
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",How very small and straight and rigid her mother lay in the bunk below!,0,68
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.",He changed his mind and turned the dishwasher off.,1,9
"Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.",The lemons came out looking more like telephone poles.,1,56
