Date,Price
1914-12-01,34.43
1914-12-31,47.26
1915-01-30,52.2
1915-03-01,52.05
1915-03-31,55.63
1915-04-30,50.19
1915-05-30,94.96
1915-06-29,57.87
1915-07-29,52.22
1915-08-28,75.14
1915-09-27,72.8
1915-10-27,67.04
1915-11-26,57.13
1915-12-26,80.78
1916-01-25,71.41
1916-02-24,77.23
1916-03-25,61.52
1916-04-24,93.59
1916-05-24,85.75
1916-06-23,95.5
1916-07-23,88.58
1916-08-22,98.93
1916-09-21,49.47
1916-10-21,95.32
1916-11-20,85.83
1916-12-20,82.97
1917-01-19,81.21
1917-02-18,79.81
1917-03-20,82.62
1917-04-19,75.85
1917-05-19,104.38
1917-06-18,98.17
1917-07-18,89.6
1917-08-17,83.2
1917-09-16,86.8
1917-10-16,92.78
1917-11-15,84.0
1917-12-15,85.51
1918-01-14,84.87
1918-02-13,114.02
1918-03-15,75.04
1918-04-14,113.94
1918-05-14,106.05
1918-06-13,115.82
1918-07-13,112.39
1918-08-12,140.93
1918-09-11,124.14
1918-10-11,126.82
1918-11-10,128.76
1918-12-10,90.81
1919-01-09,122.41
1919-02-08,122.84
1919-03-10,126.46
1919-04-09,134.07
1919-05-09,130.3
1919-06-08,121.87
1919-07-08,104.57
1919-08-07,121.46
1919-09-06,127.72
1919-10-06,131.72
1919-11-05,112.89
1919-12-05,122.36
1920-01-04,121.65
1920-02-03,135.17
1920-03-04,139.19
1920-04-03,141.27
1920-05-03,134.45
1920-06-02,136.22
1920-07-02,128.67
1920-08-01,141.69
1920-08-31,136.14
1920-09-30,137.23
1920-10-30,151.72
1920-11-29,131.0
1920-12-29,134.85
1921-01-28,171.99
1921-02-27,150.99
1921-03-29,153.18
1921-04-28,138.06
1921-05-28,139.17
1921-06-27,152.46
1921-07-27,153.4
1921-08-26,135.31
1921-09-25,157.7
1921-10-25,128.89
1921-11-24,155.06
1921-12-24,123.33
1922-01-23,162.04
1922-02-22,147.55
1922-03-24,160.63
1922-04-23,166.45
1922-05-23,161.0
1922-06-22,154.54
1922-07-22,167.43
1922-08-21,151.83
1922-09-20,182.91
1922-10-20,166.18
1922-11-19,188.75
1922-12-19,145.56
1923-01-18,157.03
1923-02-17,166.15
1923-03-19,175.69
1923-04-18,174.75
1923-05-18,155.38
1923-06-17,168.9
1923-07-17,189.54
1923-08-16,153.65
1923-09-15,189.32
1923-10-15,165.02
1923-11-14,184.61
1923-12-14,182.24
1924-01-13,165.62
1924-02-12,168.74
1924-03-13,168.79
1924-04-12,190.61
1924-05-12,186.13
1924-06-11,177.11
1924-07-11,186.97
1924-08-10,199.91
1924-09-09,195.16
1924-10-09,186.15
1924-11-08,175.37
1924-12-08,190.39
1925-01-07,176.97
1925-02-06,187.31
1925-03-08,185.58
1925-04-07,190.86
1925-05-07,204.68
1925-06-06,226.98
1925-07-06,197.34
1925-08-05,192.25
1925-09-04,205.6
1925-10-04,194.93
1925-11-03,196.61
1925-12-03,204.09
1926-01-02,216.95
1926-02-01,192.68
1926-03-03,228.51
1926-04-02,191.8
1926-05-02,212.11
1926-06-01,193.2
1926-07-01,217.27
1926-07-31,208.41
1926-08-30,216.58
1926-09-29,223.45
1926-10-29,209.38
1926-11-28,193.85
1926-12-28,204.97
1927-01-27,219.45
1927-02-26,241.41
1927-03-28,205.67
1927-04-27,212.36
1927-05-27,236.8
1927-06-26,215.36
1927-07-26,228.8
1927-08-25,250.86
1927-09-24,224.37
1927-10-24,240.84
1927-11-23,235.23
1927-12-23,243.88
1928-01-22,206.14
1928-02-21,246.94
1928-03-22,245.6
1928-04-21,206.67
1928-05-21,229.19
1928-06-20,230.04
1928-07-20,229.39
1928-08-19,263.25
1928-09-18,267.98
1928-10-18,251.42
1928-11-17,248.93
1928-12-17,240.29
1929-01-16,261.26
1929-02-15,243.81
1929-03-17,245.99
1929-04-16,239.85
1929-05-16,262.97
1929-06-15,242.77
1929-07-15,263.46
1929-08-14,272.9
1929-09-13,252.73
1929-10-13,261.23
1929-11-12,265.95
1929-12-12,273.93
1930-01-11,254.89
1930-02-10,264.28
1930-03-12,263.59
1930-04-11,264.89
1930-05-11,264.6
1930-06-10,272.03
1930-07-10,272.07
1930-08-09,246.73
1930-09-08,276.69
1930-10-08,247.76
1930-11-07,283.37
1930-12-07,276.89
1931-01-06,263.25
1931-02-05,271.54
1931-03-07,291.55
1931-04-06,274.54
1931-05-06,263.62
1931-06-05,289.05
1931-07-05,299.1
1931-08-04,287.52
1931-09-03,305.94
1931-10-03,290.28
1931-11-02,270.6
1931-12-02,294.39
1932-01-01,283.84
1932-01-31,304.56
1932-03-01,288.19
1932-03-31,287.38
1932-04-30,283.13
1932-05-30,285.92
1932-06-29,290.82
1932-07-29,300.2
1932-08-28,300.59
1932-09-27,308.92
1932-10-27,296.01
1932-11-26,310.25
1932-12-26,313.8
1933-01-25,327.73
1933-02-24,284.07
1933-03-26,288.85
1933-04-25,307.59
1933-05-25,304.91
1933-06-24,307.27
1933-07-24,312.49
1933-08-23,276.93
1933-09-22,324.77
1933-10-22,302.23
1933-11-21,298.86
1933-12-21,310.09
1934-01-20,329.18
1934-02-19,282.93
1934-03-21,337.22
1934-04-20,325.83
1934-05-20,294.41
1934-06-19,302.6
1934-07-19,325.56
1934-08-18,326.48
1934-09-17,323.18
1934-10-17,340.21
1934-11-16,331.8
1934-12-16,315.55
1935-01-15,310.48
1935-02-14,324.69
1935-03-16,354.43
1935-04-15,323.83
1935-05-15,338.78
1935-06-14,333.45
1935-07-14,337.59
1935-08-13,340.18
1935-09-12,324.92
1935-10-12,357.33
1935-11-11,356.53
1935-12-11,344.48
1936-01-10,337.01
1936-02-09,350.45
1936-03-10,368.46
1936-04-09,340.43
1936-05-09,361.44
1936-06-08,337.32
1936-07-08,346.44
1936-08-07,342.66
1936-09-06,355.02
1936-10-06,355.67
1936-11-05,355.27
1936-12-05,337.52
1937-01-04,358.16
1937-02-03,354.2
1937-03-05,375.15
1937-04-04,388.3
1937-05-04,364.36
1937-06-03,367.59
1937-07-03,372.63
1937-08-02,368.49
1937-09-01,369.32
1937-10-01,370.09
1937-10-31,386.23
1937-11-30,370.13
1937-12-30,367.98
1938-01-29,347.53
1938-02-28,357.52
1938-03-30,363.73
1938-04-29,377.38
1938-05-29,375.31
1938-06-28,378.01
1938-07-28,379.9
1938-08-27,361.47
1938-09-26,394.83
1938-10-26,371.42
1938-11-25,408.24
1938-12-25,373.56
1939-01-24,363.24
1939-02-23,386.32
1939-03-25,382.76
1939-04-24,368.53
1939-05-24,411.36
1939-06-23,385.76
1939-07-23,382.29
1939-08-22,390.64
1939-09-21,434.59
1939-10-21,407.3
1939-11-20,397.4
1939-12-20,391.77
1940-01-19,398.72
1940-02-18,417.26
1940-03-19,431.31
1940-04-18,395.71
1940-05-18,417.63
1940-06-17,422.06
1940-07-17,429.1
1940-08-16,397.46
1940-09-15,404.17
1940-10-15,425.11
1940-11-14,415.59
1940-12-14,417.37
1941-01-13,407.72
1941-02-12,409.08
1941-03-14,415.3
1941-04-13,410.18
1941-05-13,411.89
1941-06-12,398.92
1941-07-12,407.26
1941-08-11,434.81
1941-09-10,444.86
1941-10-10,419.77
1941-11-09,425.58
1941-12-09,424.39
1942-01-08,422.92
1942-02-07,423.8
1942-03-09,446.77
1942-04-08,441.32
1942-05-08,418.6
1942-06-07,432.85
1942-07-07,432.42
1942-08-06,423.98
1942-09-05,439.94
1942-10-05,436.63
1942-11-04,460.23
1942-12-04,464.86
1943-01-03,444.27
1943-02-02,430.72
1943-03-04,447.79
1943-04-03,460.49
1943-05-03,455.18
1943-06-02,448.75
1943-07-02,450.36
1943-08-01,456.97
