_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,2000,1.36,80.42,,,Afghanistan,3.68,78.29
,1995,4.07,58.74,2.97,74.37,Afghanistan,4.89,67.8
,2000,2.45,50.08,3.33,75.12,Afghanistan,7.84,80.24
,1980,4.87,80.07,3.58,59.97,Afghanistan,1.63,63.37
,1995,7.7,76.71,6.33,61.03,Afghanistan,5.09,61.32
,1970,8.2,66.81,2.03,66.05,Afghanistan,3.43,72.66
,1985,5.26,63.38,8.23,71.93,Afghanistan,2.81,67.4
,1990,3.22,64.02,7.01,81.24,Afghanistan,,62.19
,1990,2.02,81.57,1.39,,Afghanistan,7.24,55.86
,1980,6.92,61.71,2.23,,Afghanistan,1.63,57.1
,1970,3.55,47.69,8.23,80.25,Afghanistan,,65.58
,1970,5.77,61.51,8.23,63.92,Argentina,2.44,74.82
,1970,1.82,64.14,2.15,,Argentina,2.92,62.11
,1965,4.25,61.0,5.55,,Argentina,2.69,54.14
,1960,5.15,72.51,2.44,,Argentina,2.9,63.38
,2000,6.88,59.68,3.03,68.21,Argentina,4.41,65.18
,1960,2.2,55.78,2.77,78.72,Argentina,,76.89
,1960,1.85,57.81,1.87,62.6,Argentina,7.5,62.62
,1960,3.23,71.84,4.4,68.92,Argentina,3.2,77.96
,1960,4.64,61.32,1.92,58.88,Argentina,,70.35
,1955,4.08,81.57,2.34,68.0,Argentina,3.19,58.2
,1985,2.13,58.4,2.44,,Argentina,5.04,69.06
,1955,1.68,64.66,,,Argentina,3.56,67.06
,1970,7.49,58.05,8.23,,Argentina,6.13,61.78
,1975,7.03,57.41,4.13,81.57,Argentina,2.15,60.26
,1985,7.78,65.55,3.02,48.24,Australia,4.42,62.43
,1970,3.87,70.25,8.23,78.24,Australia,4.52,50.8
,1985,7.05,54.76,2.03,68.51,Australia,6.38,70.75
,1975,1.6,56.75,,70.7,Australia,5.89,77.0
,1990,6.96,64.88,1.75,76.15,Australia,5.51,70.18
,2000,4.97,62.32,2.47,71.88,Australia,6.98,54.66
,1985,3.0,55.08,2.96,52.79,Australia,3.05,49.95
,2000,1.89,77.09,2.66,76.22,Austria,4.69,73.48
,1960,5.49,73.52,5.66,66.0,Austria,1.46,58.22
,1970,2.73,56.15,2.07,58.67,Austria,7.84,60.73
,1960,7.08,58.18,5.81,60.08,Austria,2.27,67.32
,1960,7.62,79.03,1.46,52.86,Austria,3.18,
,1955,3.35,66.05,1.98,,Austria,3.33,65.7
,1990,1.24,74.27,2.7,64.96,Austria,,65.12
,1995,6.67,77.07,2.38,72.81,Austria,4.83,60.3
,2000,5.67,62.36,5.34,73.99,Austria,4.86,
,1975,3.31,73.97,1.73,73.77,Bahamas,2.31,53.87
,1960,7.52,62.08,1.86,56.94,Bahamas,4.18,71.6
,1980,6.1,69.96,3.7,78.13,Bahamas,6.7,57.61
,1995,5.91,54.81,3.42,54.03,Bahamas,7.45,45.14
,1995,5.66,66.69,2.24,60.14,Bahamas,5.29,52.96
,1960,7.67,81.57,3.94,64.82,Bahamas,3.82,71.11
,1965,5.21,75.31,3.41,,Bahamas,7.15,49.27
,1990,1.64,63.12,4.91,57.57,Bahamas,4.68,60.34
,2000,3.04,73.34,,63.16,Bahamas,5.8,72.62
,1980,6.61,53.07,3.44,78.57,Bahamas,4.97,66.08
,1965,8.23,77.45,,,Bahamas,5.77,56.25
,1965,5.02,73.09,3.25,73.12,Bangladesh,1.47,67.43
,1955,3.12,77.88,2.27,80.1,Bangladesh,1.26,76.28
,1985,2.42,60.98,4.72,58.73,Bangladesh,8.04,67.54
,1970,2.98,61.01,1.71,63.41,Bangladesh,3.39,67.18
,1985,3.76,78.19,3.49,76.57,Bangladesh,4.03,66.59
,1955,5.34,72.23,3.25,64.34,Bangladesh,8.13,66.12
