year,temp
1880,0.01
1881,-0.25
1882,-0.4
1883,-0.23
1884,-0.14
1885,-0.12
1886,-0.18
1887,0.08
1888,-0.08
1889,-0.02
1890,0.09
1891,0.05
1892,-0.27
1893,0.08
1894,-0.2
1895,-0.17
1896,-0.17
1897,-0.06
1898,-0.07
1899,0.2
1900,-0.06
1901,-0.03
1902,-0.15
1903,0.02
1904,0.09
1905,0.02
1906,-0.02
1907,0.05
1908,0.0
1909,0.08
1910,0.23
1911,0.12
1912,0.18
1913,0.15
1914,0.28
1915,0.13
1916,0.25
1917,0.05
1918,0.27
1919,0.21
1920,0.2
1921,0.22
1922,0.06
1923,0.18
1924,0.24
1925,0.2
1926,0.15
1927,0.2
1928,0.35
1929,0.26
1930,0.26
1931,0.16
1932,0.21
1933,0.25
1934,0.23
1935,0.05
1936,0.29
1937,0.18
1938,0.35
1939,0.33
1940,0.51
1941,0.41
1942,0.18
1943,0.18
1944,0.44
1945,0.41
1946,0.52
1947,0.3
1948,0.48
1949,0.5
1950,0.43
1951,0.13
1952,0.21
1953,0.46
1954,0.31
1955,0.44
1956,0.57
1957,0.48
1958,0.51
1959,0.63
1960,0.44
1961,0.42
1962,0.47
1963,0.4
1964,0.38
1965,0.45
1966,0.63
1967,0.49
1968,0.53
1969,0.38
1970,0.52
1971,0.47
1972,0.67
1973,0.59
1974,0.56
1975,0.68
1976,0.49
1977,0.55
1978,0.69
1979,0.53
1980,0.46
1981,0.87
1982,0.77
1983,0.62
1984,0.67
1985,0.76
1986,0.71
1987,0.57
1988,0.48
1989,0.84
1990,0.34
1991,0.54
1992,0.76
1993,0.49
1994,0.63
1995,0.91
1996,0.66
1997,0.66
1998,0.81
1999,0.87
2000,0.63
2001,0.58
2002,0.59
2003,0.72
2004,1.06
2005,0.97
2006,0.87
2007,0.75
2008,1.08
2009,0.91
2010,0.85
2011,0.89
2012,0.86
2013,0.97
2014,0.87
2015,0.81
2016,0.95
2017,0.96
2018,1.02
2019,0.99
2020,0.98
2021,0.8
2022,1.08
2023,0.74
