_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1980,1.78,63.76,7.65,66.05,Afghanistan,3.76,58.69
,1990,7.15,71.98,3.77,62.77,Afghanistan,4.81,
,2000,2.93,81.57,6.86,72.2,Afghanistan,7.93,64.75
,1955,2.25,48.68,,61.14,Afghanistan,3.11,52.78
,1960,1.84,74.98,2.38,,Afghanistan,1.74,62.14
,1980,4.38,81.57,4.38,56.95,Afghanistan,8.15,73.39
,1960,7.31,57.25,4.19,65.92,Afghanistan,4.18,80.24
,1995,3.26,81.57,2.95,78.83,Afghanistan,7.47,59.13
,1995,1.05,48.01,2.37,67.36,Afghanistan,5.58,76.55
,1990,5.84,81.57,3.89,62.58,Argentina,4.87,62.85
,1960,2.5,63.51,1.21,,Argentina,6.91,59.45
,2000,2.32,78.53,3.54,80.92,Argentina,6.56,52.67
,1960,3.35,69.59,1.53,81.57,Argentina,5.23,79.39
,1955,3.16,71.21,3.3,81.55,Argentina,4.51,72.11
,2000,7.27,61.5,1.75,60.86,Argentina,3.58,73.94
,1995,6.03,78.76,2.43,67.47,Argentina,7.22,80.24
,1975,1.56,51.18,2.54,68.69,Argentina,,62.36
,1955,3.84,81.57,5.81,75.68,Argentina,1.76,
,1975,3.15,72.61,2.76,,Argentina,,65.98
,1970,3.03,68.63,2.13,55.86,Argentina,6.63,63.17
,1990,2.39,39.21,7.24,81.57,Argentina,,69.89
,1990,4.22,65.55,8.23,,Argentina,5.17,59.26
,1965,5.17,61.45,3.27,75.2,Argentina,7.25,77.66
,1985,3.45,62.84,3.13,58.73,Australia,7.7,60.94
,1970,5.5,72.76,,60.35,Australia,2.49,
,1965,2.76,60.38,4.78,74.33,Australia,3.02,70.56
,1955,2.83,67.4,8.23,59.83,Australia,6.28,74.87
,1990,5.92,68.68,8.23,,Australia,6.3,41.5
,1970,3.55,72.98,,77.56,Australia,2.77,58.01
,1985,1.63,81.57,,66.16,Austria,3.53,61.41
,1965,7.45,61.76,1.78,72.85,Austria,2.46,71.6
,1970,7.94,81.57,,53.89,Austria,6.4,62.22
,1980,2.38,58.03,3.45,60.68,Austria,5.87,80.24
,1985,6.1,52.22,4.75,63.79,Austria,8.22,64.3
,1955,4.63,60.56,3.19,53.68,Austria,5.87,59.08
,1965,2.05,60.98,3.54,,Austria,5.6,80.24
,1955,1.65,68.95,2.28,,Austria,7.72,
,1960,7.28,67.99,2.32,73.24,Austria,4.51,50.45
,2000,5.74,68.46,,69.15,Bahamas,3.62,61.2
,2000,1.16,78.02,,,Bahamas,3.62,80.24
,1985,6.62,79.79,5.19,81.57,Bahamas,5.52,74.16
,2000,7.96,75.61,5.4,69.28,Bahamas,4.22,73.18
,1975,2.29,67.31,2.75,70.86,Bahamas,6.89,54.7
,1985,1.46,59.29,4.54,68.26,Bahamas,,71.35
,1985,4.79,76.39,2.17,58.67,Bahamas,5.62,57.76
,1975,4.1,81.57,5.08,,Bahamas,2.5,64.79
,1980,3.79,56.87,8.23,81.57,Bahamas,,70.07
,1955,5.82,66.25,8.23,77.41,Bahamas,2.43,63.35
,1965,7.52,81.57,4.75,62.3,Bahamas,5.98,49.67
,1955,4.09,56.48,3.02,68.19,Bahamas,7.48,58.41
,1975,4.56,81.46,3.3,,Bahamas,5.37,62.37
