_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1955,2.25,67.12,4.31,76.79,Afghanistan,4.0,
,1995,6.55,69.45,3.08,52.92,Afghanistan,1.23,
,1985,1.95,71.87,4.38,76.14,Afghanistan,6.01,80.06
,1955,4.95,52.87,5.14,67.6,Afghanistan,1.81,50.79
,1990,3.02,71.53,4.13,66.45,Afghanistan,6.01,61.75
,1990,5.4,73.8,1.64,81.57,Afghanistan,3.64,53.95
,1960,6.15,65.26,,,Argentina,5.52,77.39
,1960,5.94,56.75,1.58,81.57,Argentina,4.53,58.02
,1975,2.53,72.07,3.71,62.79,Argentina,2.01,58.69
,1965,5.56,69.98,2.4,65.49,Argentina,2.97,54.57
,1955,4.69,59.07,1.72,70.86,Argentina,4.67,77.49
,1960,2.36,71.2,1.71,68.99,Argentina,4.33,54.54
,1985,3.94,80.21,,60.64,Argentina,2.39,69.46
,1955,3.24,60.7,1.03,75.32,Argentina,4.7,72.41
,1975,3.02,69.88,2.47,66.4,Argentina,8.04,47.71
,1980,6.22,60.64,5.75,67.64,Australia,5.89,77.42
,1990,2.51,64.21,,54.44,Australia,2.53,
Data courtesy of Gapminder.org,1960,8.02,76.75,1.47,53.39,Australia,3.51,56.25
,1960,3.75,81.25,4.01,,Australia,7.06,58.38
,2000,3.1,62.72,2.49,71.82,Australia,,70.13
,1975,5.23,54.94,2.79,69.92,Australia,6.91,
,1955,3.27,76.93,5.2,81.57,Australia,7.39,47.32
,1965,3.25,70.66,2.76,73.82,Australia,1.42,70.03
,1970,2.36,81.44,,79.07,Australia,3.52,74.7
,1970,5.93,77.87,2.68,79.23,Australia,7.83,71.56
,1960,4.09,81.57,8.23,76.78,Australia,8.13,58.46
,1955,3.16,77.56,7.78,68.39,Austria,3.26,
,1985,3.71,54.58,3.6,73.31,Austria,5.23,
,1995,1.8,65.76,1.64,66.78,Austria,6.72,52.16
,1955,5.97,81.57,2.1,66.64,Austria,3.68,73.22
,1995,1.73,68.31,2.31,,Austria,4.83,66.03
,1955,5.75,81.57,5.04,62.24,Austria,5.93,56.25
,1985,7.32,75.22,3.78,66.66,Austria,1.42,
,1955,4.19,78.42,2.85,60.17,Austria,4.62,69.17
,1990,2.74,52.42,1.22,53.11,Austria,6.86,59.61
,1975,3.26,67.88,2.03,66.39,Austria,3.21,50.92
,1955,8.02,76.67,4.25,60.78,Austria,5.03,
,1980,2.28,66.09,2.75,81.57,Bahamas,6.04,66.82
,1990,5.89,78.35,3.57,67.43,Bahamas,3.46,61.42
,1955,5.0,71.53,7.0,50.58,Bahamas,1.18,70.6
,1960,1.7,62.94,,59.69,Bahamas,,47.89
,1960,7.63,67.32,3.06,61.17,Bahamas,3.81,
,1965,1.94,81.57,2.23,68.71,Bahamas,5.0,61.7
,1955,3.5,68.12,,65.46,Bahamas,1.76,57.88
,1985,7.27,62.81,4.94,,Bahamas,7.37,71.87
,1980,4.57,73.35,3.94,64.18,Bahamas,7.96,75.62
,1995,6.45,64.51,3.58,59.8,Bahamas,7.42,80.24
,1985,3.95,56.02,4.12,,Bahamas,8.1,71.28
,1980,6.9,60.06,3.5,73.63,Bangladesh,3.36,65.63
,1995,7.88,80.1,4.32,73.72,Bangladesh,6.67,72.94
,1985,5.6,76.19,2.88,57.48,Bangladesh,,80.24
,1985,4.61,68.14,2.4,54.58,Bangladesh,2.71,62.29
,1965,6.81,61.76,,70.24,Bangladesh,7.56,70.02
,1960,4.2,54.39,4.32,62.52,Bangladesh,1.48,67.23
,2000,2.3,62.33,4.19,52.98,Bangladesh,4.44,48.3
,1955,4.76,57.4,2.18,58.87,Bangladesh,7.15,63.46
,1955,7.59,68.76,4.98,81.57,Bangladesh,,72.0
,1985,4.13,76.08,8.23,64.34,Bangladesh,2.4,73.36
,2000,4.23,59.05,3.58,67.7,Bangladesh,4.02,66.22
,1965,7.47,66.45,3.06,61.12,Bangladesh,3.09,71.15
,1965,1.89,69.14,1.98,72.02,Bangladesh,7.56,
,1960,1.55,63.76,1.89,64.91,Bangladesh,8.23,63.93
,1965,1.74,72.52,2.31,67.66,Bangladesh,6.43,60.78
,1955,3.0,65.11,,69.22,Barbados,4.04,72.51
,1995,5.56,68.66,3.85,65.27,Barbados,5.37,50.8
,1955,4.77,79.18,1.57,37.19,Barbados,7.1,69.54
,1975,6.76,56.41,,77.42,Barbados,5.15,72.89
,1990,3.93,79.28,2.9,56.3,Barbados,3.4,
,1980,6.83,61.03,5.68,64.26,Barbados,6.58,44.56
,1990,2.92,81.57,1.85,64.83,Barbados,8.11,67.26
,1990,7.77,60.57,3.96,61.83,Barbados,6.71,54.05
,1990,7.65,57.47,1.78,66.3,Barbados,3.36,74.14
,1965,5.1,74.41,2.96,71.64,Belgium,6.69,72.99
,1955,2.31,74.79,3.04,66.03,Belgium,4.13,72.62
,1990,7.6,66.41,3.88,66.83,Belgium,7.4,
,1960,2.47,66.4,,65.98,Belgium,,76.98
,1990,3.86,55.29,1.63,59.62,Belgium,5.88,
,1990,1.46,68.86,3.68,60.85,Belgium,4.11,63.04
,1955,3.15,81.57,7.54,67.73,Belgium,5.31,64.61
,1975,2.32,76.11,2.65,56.24,Belgium,6.49,61.72
,1990,1.77,75.92,,57.6,Belgium,3.31,67.47
,1965,5.42,65.25,4.1,70.87,Belgium,,
,1980,2.85,73.87,3.13,72.5,Bolivia,6.31,61.87
,1970,1.38,67.56,3.99,73.64,Bolivia,,60.64
,2000,7.16,51.11,2.35,78.13,Bolivia,,80.24
,1980,3.17,46.76,,72.71,Bolivia,6.02,67.82
,1985,3.87,55.42,1.92,75.39,Bolivia,7.57,74.78
,1955,5.62,58.98,2.12,54.7,Bolivia,3.97,66.71
,1960,1.49,75.75,6.25,75.64,Bolivia,4.4,50.24
,1970,4.77,49.59,3.22,61.66,Bolivia,7.01,65.42
,1995,3.42,59.99,1.03,68.46,Bolivia,5.32,62.02
,1985,5.62,64.94,3.45,64.12,Bolivia,6.81,74.81
,1990,5.9,81.57,,76.76,Bolivia,5.25,74.77
,1980,4.16,64.28,3.93,66.14,Brazil,3.83,65.2
,2000,7.38,64.91,,61.62,Brazil,4.56,77.51
,1955,7.33,80.22,3.61,,Brazil,7.65,66.14
,1995,4.79,62.88,4.7,56.42,Brazil,6.91,59.9
,2000,7.52,65.91,2.11,60.25,Brazil,5.55,74.04
,1980,6.2,62.65,4.3,56.01,Brazil,4.83,73.07
,1955,6.05,57.45,,70.46,Brazil,1.42,42.4
,1980,6.61,69.91,4.08,75.04,Brazil,,73.9
,1975,7.14,62.56,2.79,67.11,Brazil,5.78,73.73
,1995,1.8,58.73,3.11,59.27,Brazil,3.89,65.35
,1990,6.74,67.0,3.02,,Canada,8.14,64.47
,1980,7.47,55.8,4.71,75.12,Canada,5.69,52.41
,1955,7.4,66.2,1.95,65.41,Canada,5.92,66.61
,1975,1.32,69.4,3.0,66.52,Canada,4.19,58.25
,2000,1.13,69.18,5.1,72.9,Canada,,62.77
,1980,3.94,76.81,2.42,52.46,Canada,1.82,53.81
,1980,5.49,58.36,1.93,65.16,Canada,7.73,50.78
,1995,4.49,66.94,,73.71,Canada,7.8,65.74
,1975,2.6,79.66,2.52,71.11,Canada,7.55,47.09
,1970,4.87,71.91,4.57,75.65,Canada,6.46,80.24
,1995,2.37,62.62,2.99,73.06,Canada,6.23,59.31
,1975,6.71,70.19,,59.08,Canada,2.65,
,1995,6.14,58.87,5.2,47.13,Chile,3.27,
,2000,4.41,67.13,8.23,64.24,Chile,4.73,71.61
,1965,8.22,69.87,1.65,63.28,Chile,3.43,63.14
,1970,5.48,71.58,1.68,,Chile,6.07,59.51
,1970,2.24,65.54,4.24,65.63,Chile,3.78,59.79
,1960,2.01,68.95,2.77,64.01,Chile,4.47,69.68
,1965,1.59,68.53,2.62,66.09,Chile,2.17,72.93
,1960,4.39,52.96,1.73,,Chile,6.26,77.18
,1985,3.5,58.44,8.23,62.44,China,,65.89
,1990,4.57,66.73,,68.45,China,5.8,74.08
,1955,3.5,66.2,3.74,78.68,China,6.85,71.43
,1980,6.2,61.09,3.97,74.25,China,6.69,49.94
,1955,4.31,63.6,1.03,64.18,China,7.72,58.27
,1975,8.21,72.85,,57.47,China,3.99,68.24
,1985,1.95,71.22,,74.47,Colombia,2.15,75.76
,1960,2.87,68.07,3.27,56.24,Colombia,6.46,71.19
,1990,6.79,59.11,3.57,71.75,Colombia,,80.24
,1995,3.3,65.21,1.97,64.35,Colombia,4.15,47.3
,1960,7.03,75.9,8.18,,Colombia,6.6,71.51
,1970,2.65,72.77,2.09,55.31,Colombia,2.52,58.23
,1995,5.27,60.68,2.24,60.13,Colombia,7.86,66.85
,1970,7.55,78.26,5.61,67.67,Colombia,7.02,52.9
,1960,4.39,52.13,1.32,59.47,Colombia,3.1,78.17
,1960,6.49,67.15,5.76,,Colombia,8.05,80.24
,2000,4.49,61.37,3.42,73.9,Colombia,6.84,64.77
,1955,1.11,64.53,1.7,67.82,Colombia,5.54,50.07
,1955,7.89,68.54,5.74,65.15,Colombia,,63.07
,1990,4.85,66.09,2.36,60.68,Colombia,4.87,71.28
,1980,3.28,59.57,4.2,48.53,Colombia,6.02,80.24
