answer,question
"[""those that have died""]",which internet web portal changed its name to altaba inc
"[""the Cambrian explosion""]",when does the handmaid's tale season 2 episode 10 air
"[""Sachin Tendulkar""]",who won the grammy for best rap album in 2001
"[""March 27, 2018""]",who is chief in grey's anatomy season 13
"[""1950""]",when is the last time the falcons went to the super bowl
"[""eastward, in prograde motion""]",who wrote the original story of phantom of the opera
"[""Anil Kumar Jha""]",what is the prince's name in princess and the frog
"[""volume of the container decreases""]",sound is a form of what kind of energy
"[""Constantine""]",when did cardi b first appear on love and hip hop
"[""eastward, in prograde motion""]",the upper layer of soil called horizon a is where
"[""July 16, 2017""]",who wrote the music for avatar the last airbender
"[""redox reactions""]",when did harry potter and the chamber of secrets book come out
"[""Spectre""]",fifa world cup 2010 ball made in which country
"[""Dev"",""Devin Star Tailes""]",who does the voice of bullworth on puppy dog pals
"[""1980""]",the tallest man that ever lived on earth
"[""New Netherland""]",when was niagara falls established as a national park
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",who played jack frost in santa clause 3
"[""10""]",when did the big bang theory tv show start
"[""January 11, 1970""]",where did the biggest source of war funding come from during the civil war
"[""Alex Rodriguez""]",what is the name of the ae symbol
"[""Welton Academy""]",what is the base of an isosceles triangle
"[""Molt Taylor""]",who won the national championship in college football in 2016
"[""China""]",who has won more games in el clasico
"[""2009""]",who sang we are young in the 80's
"[""Alex Rodriguez""]",gautam gambhir total score in world cup 2011
"[""Barbicide""]",when was the last time the dodgers won the national league pennant
"[""Abigail Rokison-Woodall""]",when was premiere of simpson hit and run
"[""Season 4, Episode 8""]",how many episodes of rurouni kenshin are there
"[""1,089 sq ft""]",a blend of capitalism and socialism is known as
"[""March 25, 2011""]",when is steven universe save the light coming out
"[""1962""]",where does the blue poison dart frog live
"[""Spectre""]",where does the iron in your blood come from
"[""2–4 years""]",when does episode 5 come out for batman the enemy within
"[""Zone Improvement Plan""]",which train has the highest speed in india
"[""In 1995""]",who played the governor in o brother where art thou
"[""Lionel Messi""]",who won dancing with the stars season 10
"[""St. Louis Cardinals"",""San Francisco Giants""]",the members of cabinet under president system are accountable to whom
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",who played julie on days of our lives
"[""in 2018""]",who is the voice of the price is right
"[""Edwin Hubble""]",who is the actor playing terry on general hospital
"[""10""]",who spread the theory that one is a product of the mind and body
"[""US$500""]",who led the french army during the battle of waterloo
"[""V8 engine""]",sound of music where did they escape to
"[""Mary Kate Schellhardt""]",when is season 2 over for this is us
"[""Shirley Mae Jones""]",what type of business is common in east texas
"[""Edwin Hubble""]",when was the film the wizard of oz made
"[""71%""]",pitt players in the nfl hall of fame
"[""10 one-hour episodes""]",who chooses the speaker of the house of representatives
"[""produces a lubricating mucus""]",hindi is a national language or official language
"[""Phillip Alford""]",who wrote east of the sun west of the moon
"[""oxidative phosphorylation""]",where does the captain of a ship work
"[""2018""]",who is the winner of america's got talent season 11
"[""4""]",who opened victoria's secret fashion show 2017
"[""Windsor Great Park"",""Warner Bros. Studios, Leavesden"",""Snowdonia""]",who wrote didn't we almost have it all
"[""March 9, 2018""]",separation of church and state who said it
"[""E. M. Forster""]",how many days are in febuary in a leap year
"[""July 16, 2017""]",who plays young ethan in a dogs purpose
"[""December 15, 2017""]",what country do i live in if i live in california
"[""18 August 2011""]",name the two forms of polymorphism in cnidarian
"[""Ryan Guzman""]",who had 59 acadamy award nominations winning 22 oscars
"[""Atlanta–Fulton County Stadium""]",the frsc was formally established by the act of parliament in
"[""1982""]",president are allowed to issue which kind of orders without the approval of congress
"[""1967""]",what is the dog called in midsomer murders
"[""Edwin Hubble""]",who sings after cyndi lauper in we are the world
"[""18""]",when do live shows start on america's got talent
"[""Amanda Shiflett""]",where are the olfactory receptor neurons are located
"[""Gal Gadot""]",what is the name of autobiography of major dhyan chand
"[""South Side, Chicago""]",who was the first winner of rupaul's drag race
"[""San Antonio""]",where do murphy sam and jodi broadcast from
"[""James Arthur""]",what is the longest river in great britain
