sentence,label,idx
Who always drinks milk?,1,839
I gave John gold apples.,1,543
"Bill bought a red house, and Max bought one too.",0,296
A grandfather clock ticked in the hallway.,1,528
The bed was slept in.,1,148
I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.,1,136
Of whom are you thinking?,1,950
Who did John send the book?,1,542
I want to try and buy some whiskey.,1,366
Mary revealed himself to John.,1,295
Ann may spend her vacation in Italy.,1,870
John placed Kim behind the garage.,0,412
That is the reason why he resigned.,1,198
The mechanical doll wriggled itself loose.,1,183
They chased the man with the car.,0,999
"Bill's story about Sue may be amazing, but Max's is virtually incredible.",0,654
It was from six to nine or it took place from six to nine.,0,552
Anson demonized up the Khyber,1,615
Mary thinks that she is smart.,0,271
The child and her mother clung together.,1,727
Kris donated a book to the library.,0,592
Who is she trying to make up to now?,1,454
A grandfather clock ticked in the hallway.,1,739
John made Bill mad at himself.,1,849
There were four men arriving at the station when I pulled up.,1,2
"Most columnists claim that a senior White House official has been briefing them, and the newspaper today reveals which one.",0,533
I presented John with it dead.,1,1000
I can't remember the name of somebody who had misgivings.,1,630
"That dog is so ferocious, it even tried to bite itself.",0,155
Dana walked and Leslie ran.,0,801
You must pick any flower you see.,1,937
The only person whose kids Dana is willing to put up with is Pat.,1,752
"The more you would want, the less you would eat.",0,521
Lights go out at ten. There will be no talking afterwards.,0,513
Gwen hit the baseball.,1,450
Fred talked about everything before Rusty did talk about something.,1,78
I'll work on it if I can.,1,1014
What they feared most was to be no one available to help them.,1,773
The argument was summed by the coach up.,0,568
John sounded very.,0,699
A job offered.,1,267
John became rich.,1,498
John is aware of it that Bill is here.,1,287
Bill's funny story about Sue and Max's boring one about Kathy both amazed me.,1,456
"I will see them, but I don't know how many of them.",0,142
I want goes to the store.,1,188
I would hate for John to leave.,1,923
Medea denied poisoning the phoenix.,1,824
This proved a decisive factor.,0,144
So fast did he run that nobody could catch him.,1,526
John was lots more obnoxious than Fred.,1,517
He turned into a frog.,1,474
Linda winked her lip.,1,962
My heart is pounding me.,1,43
Kim likes dogs.,1,784
The gardener grew that acorn into an oak tree.,1,789
The rules require that the executives be polite.,1,969
The fugitive lay motionless in order to avoid discovery.,0,887
John was believed by Mary to be telling the truth.,1,640
Lou hoped the umbrella in the closet.,1,101
They found the book on the atom.,1,576
"Sam doesn't play bassoon, nor Medusa oboe.",1,703
I saw even the student.,1,547
The teacher became.,1,860
a tall building.,1,101
Martha carved the baby a toy out of wood.,1,764
The paper was written by John up.,1,132
The jury believed the defendant lied.,1,1022
Will Anson come to the party?,1,760
We made them be rude.,1,842
I sensed his eagerness.,0,518
I'll work on it if I can.,1,808
