sentence,label,idx
The book which inspired them was very long.,1,792
The bed was slept in.,0,282
The administration has issued a statement that it is willing to meet a student group.,1,670
John regretted it that Bill had a good time.,0,111
I bought three quarts of wine and two of Clorox.,0,67
Sandy removed her ballet shoes.,1,36
John is tall on several occasions.,0,747
Everybody around here who ever buys anything on credit talks in his sleep.,1,563
John finished the cake and drank the lemonade.,0,668
There were several old rocks songs that she and I were the only two who knew.,0,328
"Whenever Russia has made a major political blunder, the U.S. has too.",0,284
The bills passed by the House yesterday that we objected to were vetoed.,1,497
Maxwell is quite a doctor.,0,34
John was believed to be telling the truth by Mary.,1,680
Kim alienated cats and beating his dog.,0,444
Each candidate who has interest in semantics will be admitted to the department.,1,655
Lou forgot the umbrella.,1,163
Everyone who knows either Susan or Laura likes her.,0,860
The candidates bring advantage to the voters.,1,87
It was a brand new car that he bought.,1,379
We linguists love to argue,1,902
I might be not going to the party but washing my hair,1,541
Cohen proved the independence of the continuum hypothesis.,1,1031
Tom's dog with one eye attacked Frank's with three legs.,0,582
John is eager.,1,437
She knew French for Tom.,1,496
People are looking through the window.,1,197
John made Bill master of himself.,1,357
Lou forgot the umbrella.,1,631
John went home.,0,377
"I demand that the more John eat, the more he pays.",0,952
It was a brand new car that he bought.,1,452
Jean wants Bill to do the Macarena.,1,478
The only people being added to our group who were at Harvard were students.,1,650
Dana walking and Leslie ran.,1,922
Susan told her a story.,0,562
The book was seen by Mary.,1,49
Neither von Karajan's recording of Beethoven's 6th on Columbia nor Klemperer's has the right tempo.,1,946
"He announced he had eaten the asparagus, but we didn't know what.",1,1016
"Bill's story about Sue may be amazing, but Max's is virtually incredible.",0,483
I know you like the back of my hand.,1,574
That banana is eating the monkey.,0,94
Sharon came the room.,1,387
The book what inspired them was very long.,1,4
Ethel wishes to ask you some awkward questions.,0,52
"John and someone were dancing together, but I don't know who.",0,68
Anson demonized David every day,1,343
Under the bed seems to be a fun place to hide.,1,202
We believed John to be a fountain in the park.,1,430
There were four men arriving at the station when I pulled up.,1,1029
The storm arrived after the picnic.,1,90
He washed yourself.,1,619
There seemed to be intelligent.,0,1023
I won't ask you to believe that he tried to force me to give her any money.,1,264
Did the child be in the school?,1,746
John was spoke by Mary to.,0,1010
"No writer, nor any playwright, meets in Vienna.",0,864
I have much of the manuscript left to type.,1,778
To please John is easy.,1,160
John was promised by Bill to leave.,1,137
John regards Bill as a good friend.,0,813
Who has Peter talked with?,1,986
The person whose mother's dog we were all fond of.,0,903
"I think Agnes said that Bill would speak, but I don't remember what about.",1,665
"Mary arranged for, in St. Louis, John to rent a house cheap.",1,393
Anson thought that himself was happy.,1,906
John believes it that Bill is here.,1,410
"The administration has issued a statement that it is willing to meet a student group, but I'm not sure which one.",0,420
I gave John gold apples.,1,522
Here's a knife with which for you to cut up the onions.,1,116
Frank Churchill crossed the street.,1,771
the baker from whom I bought these bagels left.,0,735
I am counting on Bill to get there on time.,1,255
The cat was bitten the mouse.,1,375
"Harry told Sue that Albania is a lovely place for a vacation, and Tom.",1,560
Books were taken from no student and given to Mary by any professor.,1,485
We arrived about six o'clock,1,83
I know you like the back of my hand.,1,642
John whispered Mary left.,0,978
Carrie touched that cat.,0,1030
"They're going to serve the guests something, but it's unclear what.",0,98
Books were taken from no student and given to Mary by any professor.,1,537
Dumb ideas are put in children's heads by TV.,1,583
"Most columnists claim that a senior White House official has been briefing them, but none will reveal which one.",1,823
The box contained the ball from the tree.,1,706
Leslie told us about us.,1,1036
"Though he may hate those that criticize Carter, it doesn't matter.",1,152
That movie always shocks people.,0,184
It bothers me that he is here.,1,820
John considers himself proud of Mary.,0,237
The bears sniffed,1,208
We need to pen the pigs to keep them from getting into the corn.,1,556
Kim and Terry is happy.,1,675
Janet broke Bill on the finger.,1,682
Ricky can be relied on.,1,17
"The higher the stakes, the lower his expectations are.",1,554
"The ship sank, but I don't know with what.",1,701
These cars drive easily.,1,432
Mary was respected by John.,0,175
The teacher disappeared the problem.,1,384
I drank some of water.,0,703
John told Mary that it was important to Fred to leave early.,1,291
Bill's funny story about Sue and Max's boring one about Kathy both amazed me.,0,413
Mary has always preferred lemons to limes.,0,212
He left the train with somebody else's wallet in his pocket.,0,921
The teacher handed the student.,1,342
"Whenever Russia has made a major political blunder, the U.S. has too.",0,180
An evil thought struck Dave.,1,899
The horse raced past the barn fell.,0,111
"Bill wondered how many papers Sandy had read, but he didn't care which ones.",1,922
Some sentences go on and on and on.,0,1030
I have much of the manuscript left to type.,1,494
That Chris knew the answer occurred to Pat.,1,933
Who achieved the best result was Angela.,1,523
We persuaded Mary to leave and Sue to stay.,1,814
Susan told a story to her.,1,690
She voted for herself.,1,270
They knew that pictures of each other would be on sale.,1,576
Jackie accompanied Rose.,1,316
The defendant denied the accusation.,1,462
We donated wire for the convicts to build cages with.,0,214
The socks are ready for for you to put on to be planned.,0,965
to die is no fun.,0,252
They lost themselves' books.,1,1026
There was a felon elected to the city council.,1,20
There is a seat available.,1,385
Sandra beamed a cheerful welcome.,1,202
John considers himself proud of Mary.,1,424
"That the fuzz wanted him worried John, but that the fuzz wanted her didn't worry Mary.",1,113
John believes it that Bill is here.,0,1000
She's been dancing but we don't know with whom.,1,71
Some people consider dogs dangerous.,1,607
Was sunk.,1,548
It bothers me that he is here.,1,94
"The ship sank, but I don't know with what.",1,148
We talked to them about there.,0,975
The storm arrived while the picnic.,0,1011
Susan whispered the news.,1,638
"Picture of Bill, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",0,996
Mary thinks that she is smart.,1,303
I like the book which you gave me.,0,565
That girl was given my binoculars by him.,1,199
"Harry told Sue that Albania is a lovely place for a vacation, and Tom told Sally that Albania is a lovely place for a vacation.",1,371
The gardener grew that acorn into an oak tree.,0,122
to steal talismans from witches is dangerous,1,1030
We gave us to the cause.,0,137
We gave ourselves to the cause.,0,541
Mary intended John to go abroad.,1,864
John became rich.,1,10
Lou hoped the umbrella was broken.,1,630
Some people yell at the dogs in my neighborhood.,1,542
The paper was written by John up.,1,10
We relied on Leslie.,0,355
Bill ate more peaches than Harry did grapes.,1,71
Mary wonders that Bill will come.,1,544
The bills passed by the House yesterday that we objected to were vetoed.,1,63
"Put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",0,367
The mechanical doll wriggled itself loose.,1,361
Paul laughed at Mary.,0,528
Here's a knife with which for you to cut up the onions.,1,713
Blue leather shows herself that Betsy is pretty.,1,195
Leslie told us about us.,1,972
John lay the ball in the box.,1,178
The sailors rode the breeze clear of the rocks.,1,348
That dogs bark annoys people.,1,662
Carmen bought Mary a dress.,0,467
"This is the book which Bob reviewed, and this is the one which Fred won't do it.",0,886
She voted for herself.,1,743
It's Anson that I like,0,306
Here's a knife with which for you to cut up the onions.,1,810
John put old books in the box.,1,670
did the policeman meet in the park?,1,405
John often meets Mary.,0,369
Carmen bought Mary a dress.,1,297
John can kick the ball.,0,614
Will Anson come to the party?,1,415
Everyone who knows either Susan or Laura likes her.,1,661
The magazines were sent to herself by Mary.,0,298
We preferred them on our team.,0,577
John put the book in the box.,0,883
I served my guests.,1,1018
That kind of person is hard to find anyone to look after.,0,639
That he is here is clear.,0,645
Kris donated a book to the library.,1,982
Pat was awarded the Golden Fleece Award and very upset about it.,1,284
Linda taped the picture to the wall.,1,66
He was arrested by the police.,1,441
Mickey looked up it.,0,160
John offers many advice.,0,249
All who lost money in the scam are eligible for the program.,0,49
Which experts testified against defendants who exposed them?,0,45
Heidi thinks that Andy should eat salmon flavored candy bars.,0,623
The birds gives the worm a tug.,1,582
Pat is the captain of the team.,1,912
Any man didn't eat dinner.,1,168
He turned into a frog.,1,473
There loved Sandy.,1,454
Leslie used a pen.,1,313
"Knowing the country well, he took a short cut.",0,771
Which girl did Mike quip never wore this hat?,0,188
Over the fire there bubbled a fragrant stew.,1,1036
He turned into a frog.,1,432
A letter was received that Jones would be upset by.,1,722
Terry delighted.,1,572
I wonder to whom they dedicated the building.,1,723
Linda taped the picture onto the wall.,1,346
Carla slid the book.,1,242
She can run an accelerator.,1,92
We gave presents to ourselves.,0,100
Few dog barked.,1,75
John believes it that Bill is here.,1,754
I drank some of water.,1,164
Magnus went to Ireland.,1,494
Mary saw the boy walking toward the railroad station.,1,759
I thought he liked myself,1,895
Anybody who attended last week's huge rally signed the petition.,0,913
"The younger woman might have been tall and, and the older one definitely was, blond.",1,761
"If I am a rich man, I'd buy a diamond ring.",1,77
how silly is Bill considered?,1,542
It is a golden hair.,0,527
We believed John to be a fountain in the park.,1,601
"Each of the performers came in, but were sitting so far back that we couldn't see who.",1,63
Dumb ideas are put in children's heads.,0,292
Dumb ideas are put in children's heads.,1,283
The books lifted onto the table.,0,266
"Bill's story about Sue may be amazing, but Max's is virtually incredible.",1,128
It loved Sandy.,1,841
We arrived about six o'clock,0,671
To leave would be a pleasure.,1,980
John is likely to leave.,1,607
I said that never in my life had I seen a place like Bangor.,1,375
The book that I like which everyone else in the class hates was written by John.,1,677
The man who Mary loves and Sally hates computed my tax.,1,400
Mary saw the boy walking toward the railroad station.,1,606
Susan devoted herself to linguistics.,1,542
Over the fire there bubbled a fragrant stew.,0,870
Carmen obtained the spare part at the hardware store.,0,666
Sharon fainted from hunger.,0,162
There is a nurse available.,0,454
"Most columnists claim that a senior White House official has been briefing them, and the newspaper today reveals which one.",1,73
Who always drinks milk?,1,710
Some sentences go on and on and on.,0,972
John was found in the office.,1,774
I presented John with it dead.,1,579
The only person whose kids Dana is willing to put up with was written by John.,0,826
It never occurred to Pat that Chris knew the answer.,0,395
I shaped a loaf.,1,443
"We launched the rocket to the moon, but it blew up before it got there.",1,431
I sent the package halfway around the world.,1,542
I saw Bill while you did so Mary.,1,643
The problem we are discussing is George.,0,138
Sally kissed himself.,1,375
Cohen proved that the continuum hypothesis was independent.,0,980
We think that Leslie likes ourselves.,1,613
They make good cooks.,1,739
How sane is Peter?,0,572
John was spoke by Mary to.,1,341
The Dodgers beat the Red Sox and were beaten by the Giants.,1,413
We never found any of the unicorns.,0,841
Fido barks.,1,855
"That the fuzz wanted him worried John, but that the fuzz wanted her didn't worry Mary.",0,534
"Tony sent Mo a picture that he painted, but it's not clear with what.",0,70
"With my parents as supportive as they are, I'll be in fine shape.",1,622
Park Square has a festive air.,0,755
The children amused.,1,231
"Whenever Russia has made a major political blunder, the U.S. has too.",1,744
Henry found that Bill is sad.,0,529
Himself is understood by Rutherford.,1,654
In which way is Sandy very anxious to see if the students will be able to solve the homework problem?,0,1022
John left us orders to follow Pete.,1,453
"I know which book José didn't read for class, and which book Lilly did it for him.",1,407
What additional categories and rules would be required to handle these verbs?,1,481
The children are happy of ice cream.,1,551
I forgot how good beer tastes.,1,586
I would like to could swim,1,490
Mary revealed himself to John.,1,794
We admired the pictures of us in the album.,0,982
Jack is the person with whom Jenny fell in love with.,0,699
That Sandy had lied suggested.,0,312
Everyone who knows either Susan or Laura likes her.,0,577
I talked to Winston about himself.,1,873
A wonderful opportunity presented itself to him yesterday.,0,818
John was promised by Bill to leave.,0,577
It was from six to nine or it took place from six to nine.,1,789
The farmer dumped the cart with apples.,0,794
He let the cats which were whining out.,0,327
John put under the bathtub.,0,915
The horse kicked me black and blue.,0,959
The fugitive lay motionless in order to avoid discovery.,0,835
Did Calvin his homework?,1,402
Ann may spend her vacation in Italy.,1,174
John arranged for himself to get the prize.,0,789
"Bill wondered how many papers Sandy had read, but he didn't care which ones.",0,765
Sandy removed her ballet shoes.,1,654
The teacher disappeared the problem.,1,656
Who achieved the best result was Angela.,1,367
I served my guests.,1,311
Agnes wondered how John could eat but it's not clear what.,1,365
Lou hoped the umbrella in the closet.,0,769
The farmer loaded the cart with apples.,0,615
We relied above Leslie.,1,756
