mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
22.6,5,69.0,90,1806,17.9,70,japan,toyota mark ii
43.1,4,91.0,99,2051,14.7,70,japan,mazda glc deluxe
15.5,8,318.0,99,4649,15.3,70,usa,dodge rampage
17.5,8,259.0,102,3520,22.0,70,usa,chevrolet impala
18.4,7,431.0,126,3962,15.6,70,usa,plymouth satellite
26.8,7,236.0,91,3645,13.9,70,usa,amc concord dl 6
18.5,7,134.0,71,2623,14.0,70,usa,ford maverick
17.8,8,120.0,173,3727,20.2,70,usa,ford mustang cobra
31.8,4,83.0,95,1932,14.2,70,japan,toyota tercel
19.0,7,140.0,111,3327,15.2,70,usa,chevrolet citation
21.2,7,250.0,69,3487,12.4,70,usa,chevy c10
22.9,8,294.0,124,3683,15.9,70,usa,chevrolet monte carlo landau
29.9,4,129.0,95,2180,12.4,70,europe,audi 100 ls
19.0,4,98.0,131,4546,17.2,70,europe,mercedes-benz 280s
13.1,6,284.0,123,2334,13.4,70,usa,hi 1200d
26.6,5,216.0,160,2221,15.4,70,usa,plymouth satellite custom
22.4,5,173.0,84,2918,14.5,70,usa,dodge aries se
26.2,4,114.0,56,2256,11.7,70,japan,datsun pl510
32.6,6,363.0,118,4562,13.5,70,usa,plymouth valiant
21.3,4,95.0,89,1849,15.2,70,europe,fiat 128
15.4,7,119.0,89,4519,22.3,70,usa,amc pacer d/l
16.2,7,292.0,118,2141,11.4,70,usa,ford gran torino (sw)
18.3,7,189.0,102,3913,18.3,70,usa,chevrolet vega 2300
41.8,4,95.0,57,1935,17.7,70,europe,volkswagen model 111
37.2,8,420.0,230,2999,11.4,70,usa,plymouth horizon miser
10.8,5,106.0,70,2684,13.5,70,usa,pontiac j2000 se hatchback
17.3,5,415.0,103,3188,16.3,71,usa,pontiac phoenix lj
16.5,6,331.0,76,3263,13.9,71,usa,dodge rampage
17.2,4,146.0,116,2039,16.0,71,europe,peugeot 504 (sw)
33.5,4,125.0,100,1850,19.0,71,europe,fiat 124 sport coupe
33.9,4,80.0,88,3247,16.9,71,japan,nissan stanza xe
23.5,6,306.0,141,4042,14.5,71,usa,plymouth horizon tc3
16.2,4,454.0,122,3203,15.8,71,usa,amc pacer d/l
25.2,3,175.0,92,2081,15.5,71,japan,toyota carina
21.0,5,205.0,57,3396,16.2,71,usa,ford fairmont (auto)
23.9,5,80.0,69,2682,20.9,71,japan,toyota corolla liftback
16.5,5,122.0,127,2969,13.3,71,usa,capri ii
21.2,5,265.0,230,2939,13.2,71,usa,ford mustang ii
26.8,5,102.0,76,2002,19.2,71,japan,mazda 626
12.5,6,285.0,134,2369,18.1,71,usa,dodge aspen
38.8,8,92.0,121,1844,18.5,71,usa,plymouth custom suburb
28.5,6,160.0,115,4150,17.7,71,usa,ford gran torino (sw)
25.7,5,230.0,127,2984,18.3,71,usa,ford gran torino (sw)
30.7,7,204.0,90,3911,12.8,71,usa,ford gran torino
23.0,8,221.0,158,3551,13.9,71,usa,dodge dart custom
16.4,5,101.0,79,1752,15.8,71,usa,mercury zephyr 6
15.8,6,182.0,109,4095,15.3,71,usa,buick skylark 320
38.6,4,116.0,84,2846,15.3,71,europe,peugeot 304
35.9,5,165.0,151,3655,11.8,71,usa,dodge magnum xe
27.8,4,88.0,57,3192,20.5,71,europe,peugeot 505s turbo diesel
29.6,4,131.0,97,1890,13.8,71,europe,renault 18i
21.5,4,118.0,131,2410,16.4,71,japan,maxda glc deluxe
12.2,6,356.0,58,2784,15.5,71,usa,dodge d200
20.0,6,148.0,90,3762,23.2,72,usa,ford f108
20.1,5,131.0,83,2489,14.9,72,japan,toyota corona liftback
33.0,4,97.0,66,3111,11.9,72,japan,mazda rx-7 gs
39.8,8,334.0,141,3783,12.6,72,usa,ford country squire (sw)
18.1,6,167.0,148,5084,12.8,72,usa,plymouth custom suburb
23.4,5,335.0,108,3662,9.3,72,usa,plymouth duster
23.9,4,157.0,77,2158,19.3,72,japan,toyouta corona mark ii (sw)
20.1,8,337.0,135,2432,18.8,72,usa,mercury marquis brougham
36.7,4,97.0,91,2157,15.0,72,europe,audi 4000
17.9,6,450.0,188,4129,17.7,72,usa,dodge d200
34.1,4,112.0,111,2267,13.8,72,japan,maxda glc deluxe
25.6,4,105.0,71,1875,14.0,72,europe,mercedes benz 300d
25.3,8,107.0,102,3500,14.2,72,usa,dodge charger 2.2
38.4,4,145.0,60,2764,17.2,72,europe,fiat 131
