species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.2,18.8,207,3621,MALE
Adelie,Dream,35.5,20.0,209,3143,MALE
Adelie,Dream,36.6,17.8,219,3973,MALE
Adelie,Biscoe,38.8,18.3,194,3623,MALE
Adelie,Dream,41.4,18.2,203,3311,MALE
Adelie,Biscoe,42.1,16.0,207,3579,
Adelie,Dream,37.6,17.2,199,3697,FEMALE
Adelie,Dream,38.3,19.1,198,3557,MALE
Adelie,Biscoe,39.2,17.0,203,3362,FEMALE
Adelie,Torgersen,37.7,18.0,206,3853,FEMALE
Adelie,Torgersen,38.6,18.1,211,3639,FEMALE
Adelie,Torgersen,39.6,18.9,202,3072,
Adelie,Dream,38.1,17.7,194,3675,MALE
Adelie,Biscoe,37.0,19.1,182,3998,MALE
Adelie,Biscoe,41.1,18.6,209,3598,MALE
Adelie,Dream,40.5,18.6,219,3610,FEMALE
Adelie,Dream,37.6,16.8,204,3312,FEMALE
Adelie,Torgersen,37.8,18.5,194,4803,MALE
Adelie,Biscoe,33.5,20.0,196,4107,MALE
Adelie,Dream,40.2,17.1,188,4506,FEMALE
Adelie,Torgersen,41.1,17.5,195,3945,MALE
Adelie,Dream,43.2,19.4,210,3561,MALE
Adelie,Biscoe,39.2,21.1,228,4171,FEMALE
Adelie,Biscoe,40.7,15.5,172,3393,FEMALE
Adelie,Biscoe,35.7,17.1,183,3657,MALE
Adelie,Biscoe,36.0,18.6,213,3756,FEMALE
Adelie,Torgersen,36.7,17.1,178,3734,MALE
Adelie,Dream,40.6,17.8,214,3314,FEMALE
Adelie,Biscoe,41.1,18.5,203,3154,MALE
Adelie,Dream,35.7,18.9,185,4080,MALE
Adelie,Torgersen,40.3,18.5,225,3542,MALE
Adelie,Dream,39.0,21.5,189,3700,MALE
Adelie,Torgersen,37.5,18.8,200,3564,MALE
Adelie,Torgersen,39.0,21.1,201,4527,MALE
Adelie,Dream,36.0,16.1,216,3953,FEMALE
Adelie,Biscoe,39.1,18.5,192,3889,MALE
Adelie,Torgersen,34.5,19.0,205,4858,MALE
Adelie,Dream,42.2,17.6,195,3257,MALE
Adelie,Dream,42.7,16.5,201,3455,FEMALE
Adelie,Torgersen,41.1,17.2,201,4242,MALE
Adelie,Dream,40.8,18.9,179,3375,
Adelie,Dream,45.6,19.1,200,3636,FEMALE
Adelie,Dream,43.2,21.2,194,4024,MALE
Adelie,Biscoe,35.9,17.2,202,3998,FEMALE
Adelie,Biscoe,38.8,19.5,204,3617,MALE
Adelie,Torgersen,39.5,16.5,203,3077,MALE
Adelie,Torgersen,44.1,18.1,219,3802,FEMALE
Adelie,Torgersen,38.1,20.7,174,4047,FEMALE
Adelie,Dream,37.3,18.1,199,3926,FEMALE
Adelie,Dream,40.6,17.5,180,4013,MALE
Adelie,Torgersen,35.0,19.0,215,4761,FEMALE
Adelie,Dream,39.7,18.1,229,4182,FEMALE
Adelie,Dream,41.6,17.0,187,3227,FEMALE
Adelie,Biscoe,37.8,19.2,178,4238,MALE
Adelie,Dream,36.4,17.1,224,2916,MALE
Adelie,Dream,39.7,17.4,193,4178,MALE
Adelie,Dream,34.6,17.5,188,3691,FEMALE
Adelie,Torgersen,35.2,18.4,196,3474,FEMALE
Adelie,Torgersen,41.5,18.0,192,3490,
Adelie,Dream,36.8,17.0,231,4225,MALE
Adelie,Torgersen,41.3,19.1,192,3403,FEMALE
Adelie,Torgersen,34.6,18.5,219,3156,MALE
Adelie,Biscoe,36.4,18.0,226,3754,FEMALE
Adelie,Dream,41.3,18.5,195,3917,FEMALE
Adelie,Dream,33.1,17.2,217,3514,MALE
Adelie,Dream,38.6,20.1,194,3721,
Adelie,Biscoe,46.0,19.4,226,4181,MALE
Adelie,Dream,38.5,18.9,196,3561,MALE
Adelie,Torgersen,32.1,18.5,195,4390,FEMALE
Adelie,Torgersen,38.7,21.1,220,3587,FEMALE
Adelie,Dream,39.7,18.0,188,3938,FEMALE
Adelie,Dream,36.0,20.7,204,3336,FEMALE
Adelie,Torgersen,45.8,19.2,199,3506,MALE
Adelie,Dream,37.8,18.4,206,4460,MALE
Adelie,Torgersen,38.2,20.6,212,3352,FEMALE
Adelie,Biscoe,34.4,17.0,210,3761,FEMALE
Adelie,Torgersen,37.9,18.6,193,3312,FEMALE
Adelie,Dream,42.5,17.6,208,2700,FEMALE
Adelie,Biscoe,35.7,18.7,172,3557,MALE
Adelie,Biscoe,40.6,19.0,184,3156,MALE
Adelie,Torgersen,41.0,17.7,211,3071,MALE
Adelie,Biscoe,44.1,18.9,185,4688,MALE
Adelie,Dream,37.7,20.3,219,2912,FEMALE
Adelie,Biscoe,42.9,18.6,192,3154,FEMALE
Adelie,Biscoe,40.2,18.3,212,3816,MALE
Adelie,Torgersen,36.7,18.9,224,4184,MALE
Adelie,Dream,41.8,16.1,208,3605,FEMALE
Adelie,Torgersen,40.6,19.4,199,3493,FEMALE
Adelie,Biscoe,39.6,16.8,203,2874,FEMALE
Adelie,Biscoe,36.2,16.9,188,3631,FEMALE
Adelie,Dream,38.2,19.7,215,3501,MALE
Adelie,Biscoe,36.9,20.3,202,3390,FEMALE
Adelie,Dream,36.6,15.9,197,3754,FEMALE
Adelie,Torgersen,35.1,19.3,220,3485,MALE
Adelie,Biscoe,40.6,17.8,206,4411,FEMALE
Adelie,Dream,39.5,17.8,200,3808,FEMALE
Adelie,Biscoe,42.2,17.6,193,3297,FEMALE
Adelie,Torgersen,38.1,17.8,196,4310,FEMALE
Adelie,Biscoe,41.1,19.0,197,3692,FEMALE
Adelie,Torgersen,42.8,16.2,194,3014,MALE
Adelie,Dream,39.6,17.5,189,3122,MALE
Adelie,Dream,40.9,19.3,186,3563,MALE
Adelie,Dream,40.1,19.2,194,3639,MALE
Adelie,Torgersen,40.9,18.6,207,4020,MALE
Adelie,Dream,41.4,17.9,184,3736,FEMALE
Adelie,Dream,40.2,19.6,187,3596,FEMALE
Adelie,Dream,40.5,18.3,192,3492,FEMALE
Adelie,Biscoe,37.2,20.0,187,4316,FEMALE
Adelie,Torgersen,41.5,18.1,207,3579,MALE
Adelie,Biscoe,37.7,18.8,196,3765,FEMALE
Adelie,Torgersen,41.1,17.9,206,3104,MALE
Adelie,Biscoe,36.0,18.5,226,3675,FEMALE
Adelie,Torgersen,38.1,18.9,206,4025,MALE
Adelie,Biscoe,37.3,16.6,188,4056,FEMALE
Adelie,Biscoe,35.6,19.5,231,4356,MALE
Adelie,Dream,36.5,17.6,209,4330,
Adelie,Torgersen,37.3,17.0,190,3309,MALE
Adelie,Torgersen,37.0,17.0,209,3908,MALE
Adelie,Torgersen,35.5,18.7,196,3121,FEMALE
Adelie,Biscoe,38.6,17.3,190,3948,FEMALE
Adelie,Biscoe,39.7,18.1,209,3565,FEMALE
Adelie,Torgersen,35.9,20.0,228,3750,FEMALE
Adelie,Torgersen,42.0,18.0,211,3971,MALE
Adelie,Torgersen,38.9,16.6,196,4289,
Adelie,Dream,39.0,19.8,193,2700,FEMALE
Adelie,Biscoe,38.8,17.1,188,4307,MALE
Adelie,Dream,37.6,19.0,185,3145,MALE
Adelie,Biscoe,40.8,21.2,199,4243,MALE
Adelie,Biscoe,41.1,18.7,204,3388,
Adelie,Dream,43.1,18.5,172,4741,MALE
Adelie,Torgersen,39.6,18.8,192,3678,FEMALE
Adelie,Biscoe,36.3,16.9,185,3755,MALE
Adelie,Biscoe,34.0,17.2,201,3749,MALE
Adelie,Torgersen,36.5,17.2,218,3460,MALE
Adelie,Dream,36.2,18.4,182,3999,MALE
Adelie,Dream,36.2,18.4,203,3522,FEMALE
Adelie,Dream,38.9,17.9,224,3484,FEMALE
Adelie,Dream,39.5,18.6,202,3076,FEMALE
Adelie,Torgersen,35.3,16.7,231,3712,FEMALE
Adelie,Torgersen,39.6,17.9,188,3320,MALE
Adelie,Dream,40.3,17.9,208,3896,FEMALE
Adelie,Biscoe,39.8,19.0,182,3140,FEMALE
Adelie,Torgersen,39.3,17.0,208,3057,FEMALE
Adelie,Torgersen,37.2,19.5,185,3743,FEMALE
Adelie,Biscoe,36.6,18.3,204,3630,FEMALE
Adelie,Biscoe,40.8,21.2,206,3213,FEMALE
Adelie,Torgersen,44.1,21.1,200,3344,MALE
Adelie,Torgersen,40.2,20.6,211,3586,FEMALE
Adelie,Biscoe,42.3,20.5,200,3204,MALE
Chinstrap,Dream,49.0,16.5,176,3762,MALE
Chinstrap,Dream,50.2,17.5,179,3384,
Chinstrap,Dream,50.3,18.2,201,3985,MALE
Chinstrap,Dream,49.0,18.7,199,3466,MALE
Chinstrap,Dream,47.6,17.8,204,4082,MALE
