answer,question
"[""December 15, 2017""]",what is the highest peak of mountain kenya
"[""2018""]",when did the shootings happen in las vegas
"[""Saddam Hussein""]",who wrote the book it's a wonderful life
"[""New York Yankees""]",who played mr big on sex and the city
"[""1943""]",where did the tebhaga movement occur in 1946
"[""1974""]",what is an example of a web server
"[""Citytv""]",where did the idea of the bill of rights come from
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",nba rules who can call a time out
"[""Tuticorin (Thoothukudi)""]",who sings on don't look back in anger
"[""King Edward Peak""]",when did brown v board of education take place
"[""West Bengal""]",there are currently how many sitting members on the us supreme court
"[""to perceive linear acceleration""]",what are the supporters of scuderia ferrari in f1
"[""December 15, 2017""]",who has been chosen for best supporting actress in 64 national filmfare award
"[""1982""]",what is the population of port st lucie
"[""Australia""]",in 2009 the us federal debt held by the public was
"[""Potassium chlorate""]",who played bill cosby's father on the cosby show
"[""Josh Groban""]",who wins season 4 rupaul's drag race
"[""Pom Klementieff""]",when did arvs become available in south africa
"[""2018""]",who was cast into the lion's den
"[""October 10, 2017""]",what are the names of the three pedals on a piano
"[""Ryan ten Doeschate""]",when did the san fernando valley try to secede from los angeles
"[""Ireland""]",where did australia come in the world cup
"[""Ryan ten Doeschate""]",what is the official language in the dominican republic
"[""Welton Academy""]",how many episodes in season four of 12 monkeys
"[""Sachin Tendulkar""]",what are the main components of earth's atmosphere
"[""Machilipatnam""]",who sings evermore on beauty and the beast
"[""2015""]",what was samantha's cousin's name on bewitched
"[""2000""]",what is the name for ancient egyptian writing
"[""North Korea""]",when is the feast of our lady of the rosary celebrated
"[""2–4 years""]",when was the first human development report published
"[""1981""]",who played drums on i was made for lovin you
"[""South Side, Chicago""]",who is the actress that plays howard wolowitz mother
"[""Calcium ions""]",where is the piano found in an orchestra
"[""10""]",name of ship that brought pilgrims to america
"[""Billie Jean King""]",what type of business is common in east texas
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",who played richard de vere in to the manor born
"[""Lacey Turner""]",when did construction start on the golden gate bridge
"[""Parafollicular cells""]",where is eurovision 2018 going to be held
"[""centroid""]",who is the actor who played opie on sons of anarchy
"[""China""]",where was the new dukes of hazzard filmed
"[""1967""]",who played ronnie barker's daughter in porridge
"[""the axon terminal""]",who won dancing with the stars season 15
"[""Saddam Hussein""]",what team does ronaldo play for in the world cup
"[""the Ivrea Codex"",""the Apt Codex""]",when does how to train your dragon 3 come out on netflix
"[""Phillip Alford""]",what is it called when you cant stand to hear someone chewing
"[""Jesse Donald Knotts""]",where are the 2020 summer olympic games being held
"[""1942""]",where is walnut grove in little house on the prairie
"[""Venus""]",when did the us dollar become reserve currency
"[""2000""]",who is ben's dad in descendants 2
"[""July 16, 2017""]",episode of new girl where they play true american
"[""Charles Young""]",when did the usa leave the gold standard
"[""Clemson\n1""]",when is the look what you made me do music video
"[""1980""]",what part of scandinavia did the vikings come from
"[""Anil Kumar Jha""]",when did drew brees start playing in the nfl
"[""December 15, 2017""]",when did the song jack and diane come out
"[""horses""]",who won the nba championship 2 years ago
"[""2017""]",who played jessica buchanan on one life to live
"[""1988""]",when was the drinking age 18 in illinois
"[""Ireland""]",1. a normal gene that if mutated can lead to cancer is called a(n)
"[""1981""]",how many times has liverpool won champions league
