_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1995,7.23,74.84,2.54,69.76,Afghanistan,4.55,64.82
,1970,6.49,81.57,1.05,63.57,Afghanistan,6.55,56.25
,2000,7.58,59.12,1.17,61.84,Afghanistan,1.82,69.91
,1975,3.32,65.34,2.74,66.44,Afghanistan,3.51,64.33
,1965,6.6,70.99,6.14,,Afghanistan,2.48,74.35
,1975,7.85,63.5,1.51,77.8,Afghanistan,5.6,62.94
,1985,6.32,58.89,2.83,,Afghanistan,4.23,41.0
,1985,2.05,70.44,2.55,65.75,Afghanistan,5.97,66.79
,1965,3.85,81.57,3.35,66.8,Afghanistan,,76.49
,1970,2.39,66.94,2.88,,Afghanistan,6.39,61.33
,1975,7.25,80.18,4.3,,Afghanistan,3.66,54.43
,1985,1.25,71.9,3.0,76.0,Argentina,5.84,57.8
,1980,7.89,57.16,1.64,56.42,Argentina,6.11,70.49
,1960,6.2,73.26,2.91,81.57,Argentina,5.24,74.68
,1960,3.31,72.94,4.07,66.97,Argentina,5.33,63.3
,1985,3.87,62.91,1.87,,Argentina,,64.61
,1970,2.5,58.55,6.59,67.34,Argentina,,64.15
,1995,3.03,60.88,1.98,,Argentina,8.15,61.13
,1990,3.05,66.08,4.41,61.32,Argentina,8.08,59.63
,1955,6.87,65.71,1.84,55.4,Argentina,6.11,75.27
,1995,4.58,64.7,2.12,62.82,Argentina,3.47,
,1970,2.06,70.27,1.36,68.2,Australia,1.71,
,1965,5.31,69.35,4.76,80.65,Australia,,69.47
,1970,1.03,60.87,8.23,61.92,Australia,6.02,78.32
,1970,2.11,62.54,1.03,73.12,Australia,1.38,52.44
,1970,3.9,70.5,3.65,66.68,Australia,5.07,61.03
,1980,8.2,59.35,2.85,73.15,Australia,,75.1
,1990,7.76,66.38,1.55,77.98,Australia,2.12,64.51
,1980,4.97,64.64,3.27,77.32,Australia,4.92,76.98
,2000,3.86,56.85,2.6,74.34,Australia,1.69,64.23
,1955,8.14,59.01,3.56,49.84,Australia,3.74,80.24
,1955,3.04,67.69,5.61,81.57,Austria,7.03,62.54
,1975,1.99,75.81,2.99,81.57,Austria,1.96,60.35
,1995,8.18,77.14,1.08,65.42,Austria,2.53,78.72
,1975,3.8,61.26,,60.4,Austria,7.06,74.96
,1975,2.94,68.13,2.02,81.57,Austria,3.74,67.19
,1970,8.04,80.81,3.74,58.87,Austria,1.34,72.88
,1955,6.09,59.64,2.34,,Austria,8.17,
,1975,4.97,61.6,3.97,75.24,Austria,3.74,64.77
,1975,5.14,54.21,3.88,51.13,Austria,3.12,68.49
,1975,2.03,49.37,,55.27,Austria,5.04,74.68
,1980,7.23,68.51,3.47,49.76,Austria,2.5,48.8
,2000,7.8,75.17,2.56,67.55,Austria,4.17,
