pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-12 22:24:18,2019-03-12 22:39:28,1,0.72,11.81,5.28,0.08,12.3,yellow,credit card,Lincoln Square East,Flushing,Manhattan,Queens
2019-03-08 17:22:10,2019-03-08 17:35:44,1,2.57,22.33,0.16,0.11,25.6,yellow,credit card,Prospect Heights,Bloomingdale,Brooklyn,Manhattan
2019-03-11 13:14:25,2019-03-11 13:30:09,2,2.04,11.4,6.2,0.17,19.8,yellow,cash,Morningside Heights,Bloomingdale,Manhattan,Manhattan
2019-03-03 22:01:13,2019-03-03 22:17:35,1,0.54,9.56,1.89,0.07,22.1,yellow,credit card,Union Sq,Midtown East,Manhattan,Manhattan
2019-03-22 02:08:44,2019-03-22 02:22:24,1,2.16,9.3,2.72,0.13,42.59,yellow,cash,East Harlem South,Brownsville,Manhattan,Brooklyn
2019-03-08 19:10:25,2019-03-08 19:23:29,1,7.91,6.0,0.14,0.02,23.46,yellow,credit card,Gramercy,Westchester Village/Unionport,Manhattan,Bronx
2019-03-06 17:10:54,2019-03-06 17:23:35,1,16.13,5.2,3.95,1.08,35.2,yellow,cash,Kew Gardens Hills,Sheepshead Bay,Queens,Brooklyn
2019-03-15 14:20:32,2019-03-15 14:34:37,1,5.24,5.73,4.4,0.02,6.5,yellow,credit card,West Village,Crown Heights North,Manhattan,Brooklyn
2019-03-10 03:06:05,2019-03-10 03:22:07,1,0.56,5.8,1.88,0.5,10.66,yellow,cash,Clinton East,Yorkville West,Manhattan,Manhattan
2019-03-12 03:13:33,2019-03-12 03:27:54,1,0.81,8.7,1.22,0.04,19.84,yellow,credit card,SoHo,Melrose South,Manhattan,Bronx
2019-03-15 16:43:29,2019-03-15 16:56:58,2,1.12,5.3,0.04,0.25,12.91,yellow,cash,Clinton East,Lincoln Square East,Manhattan,Manhattan
2019-03-14 19:03:24,2019-03-14 19:17:28,1,0.58,12.61,3.08,0.09,24.7,yellow,credit card,Yorkville West,Crown Heights North,Manhattan,Brooklyn
2019-03-20 08:30:57,2019-03-20 08:45:37,1,0.46,10.2,2.91,0.05,20.06,yellow,cash,World Trade Center,Battery Park,Manhattan,Manhattan
2019-03-11 07:13:36,2019-03-11 07:27:25,1,0.06,8.41,5.87,0.09,8.5,yellow,credit card,Hudson Sq,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-07 13:05:00,2019-03-07 13:18:33,1,0.67,12.68,1.47,0.28,22.3,yellow,cash,Times Sq/Theatre District,DUMBO/Vinegar Hill,Manhattan,Brooklyn
2019-03-15 05:48:18,2019-03-15 06:04:20,1,1.13,8.39,4.26,0.07,12.0,yellow,credit card,Little Italy/NoLiTa,Murray Hill-Queens,Manhattan,Queens
2019-02-28 21:28:58,2019-02-28 21:41:41,1,12.28,25.17,0.68,0.2,36.6,yellow,cash,Elmhurst,Clinton Hill,Queens,Brooklyn
2019-03-30 15:37:09,2019-03-30 15:51:37,1,0.77,6.3,0.56,0.27,16.52,yellow,credit card,Union Sq,Gramercy,Manhattan,Manhattan
2019-03-03 21:40:10,2019-03-03 21:51:17,1,0.87,8.51,0.88,0.15,18.9,yellow,cash,UN/Turtle Bay South,Prospect Park,Manhattan,Brooklyn
2019-03-15 11:52:47,2019-03-15 12:08:29,2,2.32,16.16,0.16,0.2,47.3,yellow,credit card,Clinton East,East Flatbush/Remsen Village,Manhattan,Brooklyn
2019-03-09 11:20:06,2019-03-09 11:35:24,2,2.2,13.61,2.52,1.7,24.1,yellow,cash,LaGuardia Airport,Flushing Meadows-Corona Park,Queens,Queens
2019-03-20 11:17:00,2019-03-20 11:34:07,1,14.2,6.0,0.11,0.29,13.51,yellow,credit card,East Chelsea,Rosedale,Manhattan,Queens
2019-03-01 02:10:34,2019-03-01 02:23:52,1,1.56,5.1,0.78,0.13,29.94,yellow,cash,Garment District,Bath Beach,Manhattan,Brooklyn
2019-03-25 07:18:17,2019-03-25 07:32:22,1,3.98,8.2,6.84,0.21,9.77,yellow,credit card,Upper East Side South,Saint Albans,Manhattan,Queens
2019-03-08 17:22:41,2019-03-08 17:34:40,2,8.8,13.31,1.36,0.05,31.2,yellow,cash,Lincoln Square East,Rego Park,Manhattan,Queens
2019-03-26 02:17:42,2019-03-26 02:30:44,1,3.97,6.5,1.5,0.26,7.11,yellow,credit card,Brooklyn Heights,Washington Heights South,Brooklyn,Manhattan
2019-03-17 22:16:39,2019-03-17 22:31:34,1,1.9,16.3,1.9,0.32,24.3,yellow,cash,Financial District South,East New York,Manhattan,Brooklyn
2019-03-16 11:28:09,2019-03-16 11:44:21,2,0.92,8.08,0.89,0.02,9.7,yellow,credit card,Murray Hill,Steinway,Manhattan,Queens
2019-03-16 04:03:13,2019-03-16 04:14:47,1,0.71,27.1,1.74,0.61,38.63,yellow,cash,East Elmhurst,Kips Bay,Queens,Manhattan
2019-03-14 06:48:54,2019-03-14 07:05:21,1,0.35,8.9,2.45,0.1,11.26,yellow,credit card,Midtown East,Central Harlem North,Manhattan,Manhattan
2019-03-09 05:47:31,2019-03-09 05:59:07,1,0.2,13.9,0.06,0.02,19.52,yellow,cash,Lenox Hill West,Morningside Heights,Manhattan,Manhattan
2019-03-01 13:00:32,2019-03-01 13:12:04,5,5.67,5.7,0.05,0.18,8.51,yellow,credit card,Central Harlem,Flatiron,Manhattan,Manhattan
2019-03-24 18:40:23,2019-03-24 18:54:58,0,0.81,10.9,0.12,0.18,13.84,yellow,cash,Lower East Side,Yorkville West,Manhattan,Manhattan
2019-03-08 11:22:10,2019-03-08 11:38:29,1,5.18,15.7,1.3,0.62,18.31,yellow,credit card,DUMBO/Vinegar Hill,Alphabet City,Brooklyn,Manhattan
2019-03-08 15:53:22,2019-03-08 16:06:32,1,1.92,6.2,1.03,0.09,15.7,yellow,cash,East Harlem South,Manhattanville,Manhattan,Manhattan
2019-03-04 04:41:34,2019-03-04 04:55:35,1,2.45,10.0,2.62,0.34,18.84,yellow,credit card,Midtown Center,Manhattanville,Manhattan,Manhattan
2019-03-04 02:07:50,2019-03-04 02:22:31,1,6.17,33.1,3.17,4.28,80.69,yellow,cash,Long Island City/Queens Plaza,Van Nest/Morris Park,Queens,Bronx
