sentence,label,idx
Sharon fainted from hunger.,1,851
"Each student wrote a paper on a Mayan language, but I don't remember which one.",1,466
We gave ourselves to the cause.,1,406
John regretted it that Bill had a good time.,1,878
Some people yell at the dogs.,1,1019
The horse raced past the barn fell.,0,193
Linda winked her lip.,0,187
The jeweller scribbled the contract with his name.,1,164
We need another run to win.,1,93
She's been dancing but we don't know with whom.,1,146
Give me the phone number of the person whose mother's dog died.,1,210
That we invaded Iraq really bites.,1,993
Cynthia nibbled on the carrot .,1,633
the panther's the coat is dark black.,1,651
This building is tall.,1,718
There is a bench to sit on.,1,59
We gave presents to ourselves.,1,478
John put under the bathtub.,1,451
Linda winked her lip.,0,766
Anson demonized,1,621
John loaded the wagon with hay green.,1,742
"Everybody who attended last week's huge rally, whoever they were, signed the petition.",0,976
How did you guess that he fixed the computer?,0,10
Henry found that Bill is sad.,1,625
Give me the phone number of the person whose mother's dog died.,0,131
People are looking through the window.,0,771
I've lost my wallet or I've lost my mind.,1,435
We gave ourselves to the cause.,1,278
It is nice to go abroad.,1,33
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",1,896
John promise Mary to shave himself.,0,378
John told Mary that it would be important to leave early.,0,436
I won't ask you to believe that he tried to force me to give her any money.,0,265
I forgot how good beer tastes.,1,202
"Sandy is wondering whether there will be students who have to drop the class for a certain reason, but she won't reveal what.",1,328
John was believed by Mary to be telling the truth.,1,201
John is tall on several occasions.,0,683
That he is here is clear.,1,48
Few dog barked.,1,875
The bird sing.,0,342
Who did you think kissed the gorilla?,0,585
The only person whose kids Dana is willing to put up with is Pat.,1,717
Anson demonized up the Khyber,1,1005
The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.,0,0
John can kick the ball.,1,685
"Suddenly, there arrived two inspectors from the INS.",1,579
I gave it to Pete to take to the fair.,1,69
How sane is Peter?,1,853
Everything you like is on the table.,0,308
Herself likes Mary's mother.,0,813
The bird give the worm a tug.,1,931
Agnes wondered how John could eat but it's not clear what.,0,397
"You may pick every flower, but leave a few for Mary.",1,586
"If I can, I will work on it.",1,464
John was believed by Mary to be telling the truth.,0,257
I noticed the.,1,660
I bought it to give to Pete.,1,373
I presented John with it dead.,0,870
"Extremely frantically, Anson danced at Trade",0,279
Bill's story about Sue and Max's about Kathy both amazed me.,1,644
Many people were fond of Pat.,1,916
The storm arrived after the picnic.,1,263
John was spoken by Mary to.,1,379
The book that I like - everyone else in the class hates.,1,27
I wonder what to be a clown on the cover of.,1,265
Which boy's did we elect guardian's employer president?,1,660
Medea tried the nurse to poison her children.,1,639
Wash you!,0,883
Leslie told ourselves about us.,0,574
That Fred was unpopular nominated Bill.,1,70
I wonder in whom them to place their trust.,1,648
The guests dined.,1,350
Rusty talked about himself only after Mary did talk about him.,1,430
Each of the boys fought with some of the other boys.,1,479
Nobody told Susan about herself.,1,460
You wanted to meet the man I saw.,0,771
The paper was written up by John.,1,639
The books lifted onto the table.,1,955
What John promised is to be gentle.,1,859
Sam gave the ball out of the basket.,1,699
Who do you think Tom saw?,1,725
"Though he may hate those that criticize Carter, it doesn't matter.",1,509
Who has Peter talked with?,1,567
I saw that gas can explode.,1,746
"John, told Mary that it would be appropriate to leave together.",1,579
Gould's performance of Bach on the piano doesn't please me anywhere as much as Ross's on the harpsichord.,1,204
"The younger woman might have been tall and, and the older one definitely was, blond.",0,492
The bed was slept in.,0,822
We preferred them on our team.,0,48
This girl in the red coat will put a picture of Bill in the mailbox and on your desk before tomorrow.,1,47
Which topic did you get bored because Mary talked about?,1,10
Linda taped the picture onto the wall.,1,829
Anson thought that himself was happy.,0,627
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0,67
John placed Kim behind the garage.,1,367
I lent the book partway to Tony.,1,1010
Susan whispered the news.,1,384
