_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1980,2.08,63.18,2.66,74.6,Afghanistan,2.0,60.67
,1970,1.63,64.02,,,Afghanistan,,60.27
,1955,4.95,73.19,2.96,66.15,Afghanistan,4.16,46.45
,1955,1.16,78.84,2.73,69.62,Afghanistan,2.9,56.51
,1960,8.19,57.9,,74.57,Afghanistan,3.97,
Data courtesy of Gapminder.org,1960,4.65,59.77,1.72,63.83,Afghanistan,6.4,67.8
,1990,2.91,68.33,5.06,64.2,Afghanistan,7.1,
,1960,2.85,71.32,2.76,61.22,Afghanistan,6.43,55.16
,1990,7.45,47.17,8.23,64.17,Argentina,5.14,67.44
,1970,1.05,56.5,3.29,75.51,Argentina,5.46,71.57
,1955,1.04,77.67,4.58,53.62,Argentina,2.88,63.68
,2000,6.67,79.25,2.51,65.23,Argentina,6.38,74.84
,1985,6.41,81.57,2.11,64.73,Argentina,1.53,60.17
,1975,6.77,56.68,2.53,76.95,Argentina,8.2,67.15
,1985,3.35,61.12,4.66,57.66,Argentina,1.23,60.56
,1990,1.09,55.35,3.11,75.89,Argentina,2.21,55.69
,1985,1.13,57.41,,74.36,Argentina,2.83,65.82
,1970,5.73,56.67,2.37,59.72,Argentina,2.41,60.51
,1975,5.69,81.57,2.41,,Australia,6.99,65.86
,1965,7.51,67.25,4.31,64.49,Australia,6.27,54.96
,1975,1.38,68.63,,69.62,Australia,6.01,73.26
,1960,2.38,57.81,2.13,70.34,Australia,2.39,46.93
,1960,5.62,74.44,4.09,71.96,Austria,2.94,60.15
,1955,5.8,78.44,2.7,69.97,Austria,4.15,
,1955,4.29,60.17,2.52,73.93,Austria,3.65,61.38
,2000,3.74,55.53,2.38,78.59,Austria,2.78,54.72
,1970,2.77,58.8,4.49,,Austria,3.04,
,1985,6.58,67.54,4.43,76.23,Austria,3.84,56.7
,1960,6.3,62.59,8.23,63.27,Austria,5.73,70.02
,1960,1.23,60.46,3.19,81.02,Austria,6.02,63.81
,1970,2.59,78.54,2.18,,Austria,,73.74
,1990,4.5,65.7,,56.2,Austria,7.11,
,2000,5.17,64.17,4.55,61.75,Austria,2.83,
,1975,1.86,75.81,2.09,58.61,Bahamas,2.87,77.98
,1960,6.95,60.91,3.29,77.01,Bahamas,,78.21
,1990,4.95,56.34,3.07,59.7,Bahamas,2.5,72.0
,1965,3.13,72.51,1.86,67.53,Bahamas,3.67,72.07
,1975,7.97,43.15,4.19,55.62,Bahamas,4.26,80.24
,1960,3.36,65.71,2.17,65.35,Bahamas,7.51,75.79
,1955,3.39,75.2,3.29,55.23,Bangladesh,7.78,74.03
,2000,7.21,66.7,8.23,72.82,Bangladesh,6.23,59.28
,1980,4.22,75.55,3.35,65.94,Bangladesh,3.87,72.61
,1975,1.81,75.36,,63.82,Bangladesh,5.28,59.52
,1995,2.59,73.18,3.63,63.66,Bangladesh,1.85,
,1990,5.46,64.58,,,Bangladesh,1.58,80.24
,1985,7.73,65.96,5.15,68.43,Bangladesh,7.53,66.91
,1985,6.99,59.56,1.82,63.44,Bangladesh,4.47,
,1965,6.18,64.71,2.49,71.54,Bangladesh,2.37,47.85
,1980,2.35,60.66,2.2,58.57,Bangladesh,4.01,52.05
,1960,7.72,49.5,7.34,66.4,Bangladesh,7.17,76.5
,1980,1.17,72.94,2.64,74.49,Bangladesh,5.78,55.66
,1980,5.97,59.23,2.79,77.39,Bangladesh,6.19,67.97
,1975,6.18,63.6,3.45,81.57,Bangladesh,5.93,71.77
,1985,3.45,58.61,1.89,78.16,Barbados,7.24,49.77
,1985,3.15,77.74,1.97,61.37,Barbados,7.34,80.24
,1990,5.07,81.57,3.82,81.57,Barbados,1.57,66.35
,1985,3.44,58.96,3.6,69.75,Barbados,6.57,70.95
,1990,1.73,60.93,8.23,,Barbados,3.65,61.46
,1965,2.91,79.41,2.41,,Barbados,4.56,56.35
,1985,4.92,54.87,2.72,60.07,Barbados,4.77,71.97
,1990,1.17,57.45,1.26,81.57,Barbados,6.69,66.88
,2000,7.74,56.7,5.65,75.44,Barbados,,67.49
,1990,6.85,75.5,2.56,70.34,Barbados,6.3,64.35
,1985,6.16,48.35,,53.68,Barbados,1.61,74.63
,1960,2.45,57.99,,80.23,Barbados,2.85,72.52
,1980,2.79,49.81,,72.96,Belgium,4.04,58.83
,1980,5.56,56.65,6.53,68.65,Belgium,2.56,72.05
,2000,6.98,63.93,3.19,72.49,Belgium,2.6,43.45
,1960,1.78,59.18,5.87,74.34,Belgium,5.84,67.1
,1990,1.14,74.74,2.08,81.57,Belgium,4.21,59.43
,1995,5.98,61.04,4.43,54.56,Belgium,3.82,
,1955,6.42,58.74,3.68,65.85,Belgium,,
,1985,6.26,77.63,3.3,78.7,Belgium,3.35,51.88
,1965,5.68,81.57,2.41,63.2,Belgium,,56.29
,1995,1.22,60.75,1.03,69.16,Belgium,2.9,80.24
,1980,2.19,75.07,3.64,62.13,Belgium,7.19,67.32
,1985,6.38,61.9,2.54,62.78,Belgium,4.23,56.78
,1960,3.41,49.57,2.37,67.51,Bolivia,7.56,
,1995,4.55,72.51,3.85,,Bolivia,6.12,71.46
,1985,7.0,59.79,,53.87,Bolivia,3.2,68.09
,1990,6.08,61.45,2.72,70.58,Bolivia,1.66,68.17
,1975,5.95,74.82,8.23,57.39,Bolivia,3.61,80.24
,1970,5.52,65.1,5.51,66.05,Bolivia,3.77,
,1975,4.94,60.0,3.2,42.71,Bolivia,6.64,56.64
,1960,7.1,75.02,1.35,63.2,Bolivia,6.0,64.19
,1970,5.08,67.72,1.5,59.62,Bolivia,2.09,
,1970,3.3,63.25,4.96,,Brazil,3.36,80.01
,1990,3.37,80.58,4.39,80.23,Brazil,6.1,75.57
,1955,4.13,61.68,2.61,50.76,Brazil,2.86,57.41
,1995,7.34,61.52,4.48,62.34,Brazil,7.23,79.84
,1955,4.77,75.51,8.23,70.89,Brazil,6.48,48.12
,1970,2.57,61.77,2.39,58.41,Brazil,4.92,61.87
,1985,7.24,81.57,1.39,62.37,Brazil,7.1,57.9
,1970,6.46,78.52,4.49,81.57,Brazil,7.88,66.48
,1960,1.24,65.11,2.6,,Brazil,6.56,58.33
,1970,1.49,68.33,3.54,77.17,Brazil,6.42,60.97
,2000,2.1,75.34,3.49,65.44,Canada,5.71,51.6
,1975,4.43,81.57,2.05,58.67,Canada,4.12,59.56
,1970,4.36,73.66,2.83,76.71,Canada,2.42,68.57
,1980,5.27,64.84,2.73,,Canada,5.04,65.31
,1985,1.53,76.81,4.01,68.21,Canada,2.26,58.07
,1975,1.3,63.29,1.93,45.57,Canada,4.56,69.76
,1970,3.81,81.05,5.11,70.48,Canada,2.0,73.66
,1980,4.72,70.3,3.64,63.19,Canada,6.69,60.49
,1985,3.45,63.71,2.79,57.44,Canada,5.77,58.03
,1980,8.05,73.59,2.28,71.7,Canada,7.44,73.86
,2000,7.31,81.57,1.03,72.57,Canada,1.22,63.99
,1985,1.36,65.75,1.53,68.92,Canada,4.37,72.75
,1965,5.04,56.72,1.82,,Chile,7.41,74.88
,1955,4.61,78.52,4.44,74.14,Chile,2.28,61.53
,1965,1.51,70.66,3.84,,Chile,1.55,61.35
,1995,8.12,61.7,5.8,70.65,Chile,4.51,63.44
,1970,2.06,61.71,8.23,81.57,Chile,2.83,48.22
,1985,1.87,61.03,3.63,58.65,Chile,3.47,53.1
,1980,3.28,71.79,2.76,58.83,Chile,1.7,42.57
,1975,3.42,67.0,2.5,66.22,Chile,4.93,
,1975,3.3,63.96,,61.26,Chile,8.12,63.93
,1965,2.09,81.2,2.69,,Chile,,55.89
,1990,7.33,64.89,1.68,72.91,Chile,5.94,
,1960,7.88,67.1,3.59,74.23,Chile,,61.71
,1995,4.18,67.01,8.23,81.57,Chile,2.09,65.73
,2000,3.19,71.64,1.92,54.57,Chile,,55.68
,1985,1.35,58.85,2.42,70.58,Chile,7.85,54.99
,1965,7.72,74.72,3.19,,Chile,,57.23
,1965,8.02,67.35,4.89,68.33,China,3.67,68.91
,1970,6.63,73.64,4.23,61.87,China,7.99,61.24
,1980,4.45,56.1,6.16,68.57,China,2.11,80.24
Data courtesy of Gapminder.org,1975,2.01,81.57,4.86,61.13,China,1.73,76.05
,1970,5.52,66.62,6.5,59.67,China,7.12,58.65
,1980,6.82,63.0,5.07,66.6,China,1.59,58.77
,1960,6.68,61.78,,62.98,Colombia,6.84,79.75
,1960,4.72,68.97,1.23,65.9,Colombia,2.18,64.8
,1975,8.14,70.55,2.27,81.57,Colombia,,62.35
,1965,2.05,57.52,2.14,81.57,Colombia,4.82,58.7
,1995,4.29,81.44,2.99,71.45,Colombia,7.07,73.98
,1965,6.38,72.74,1.42,73.78,Colombia,6.7,66.07
,1960,1.09,71.84,3.59,69.78,Colombia,2.39,68.15
,1985,6.87,76.69,3.73,70.69,Colombia,,80.24
,1965,4.42,51.65,2.04,62.05,Colombia,5.78,54.5
,1980,3.14,61.89,2.96,,Colombia,6.98,66.56
,1975,5.56,61.83,7.64,58.28,Colombia,,
,1965,7.67,69.81,8.17,64.45,Colombia,2.63,77.96
