id,question,choices,answerKey
1,"Garrett collected some large rocks from a stream near his home. He measured the rocks on a balance. When he records the mass of the rocks, which units should Garrett use?",1,A
2,"When the pesticide DDT was first used, it killed nearly every mosquito it touched. Within a few years, however, many mosquitoes became resistant to DDT and survived. What enabled this to happen?",2,A
3,Radio signal interruption sometimes causes a humming or buzzing sound. These sounds are most likely caused by,3,B
4,Which is the result of mitosis?,4,B
5,Nicole was studying different ecosystems. She compared the number of plants living in a forest to those in a desert. Which factor best explains why more plants may survive in a forest?,5,C
6,"After a rainstorm, a big pile of rocks blocks part of a mountain road. Which event most likely caused the rocks to move onto the road?",6,B
7,Which object is nonliving?,7,C
8,What is the role of chlorophyll in photosynthesis?,8,A
9,What biological concept was Mendel studying when he crossed pea plants many times over many generations?,9,C
10,A scientist is comparing two body cells of a multicellular organism. Which of the following is most likely identical?,10,B
11,Which type of organism would most likely benefit directly from increased levels of CO_{2}?,11,B
12,"Rocks can be classified many different ways, including as igneous, metamorphic, and sedimentary. This classification is based on the",12,B
13,Which metric unit is used to describe an object's length?,13,A
14,Nerve cells transmitting messages to the body best demonstrate which primary function?,14,B
15,Which is a process that converts sunlight energy into a compound that stores chemical energy?,15,D
16,What advantage do sea stars gain from having radial symmetry?,16,C
17,A scientist studies how weathering and erosion can change the shape of a mountain. The scientist needs to collect information over what period of time to gather the most accurate information?,17,D
18,A student measures the growth of a group of plants given different amounts of fertilizer. Which data display should the student use to compare the growth of the plants?,18,C
19,In which object does chemical energy most likely transform into electrical energy?,19,A
20,Which action is an example of an exothermic process?,20,C
21,Phyllis investigated what happened when she added some different substances to water. Which substance can combine with water to form a solution?,21,D
22,Which natural event can dry out plants and cause wildfires?,22,D
23,Phyllis investigated what happened when she added some different substances to water. Which substance can combine with water to form a solution?,23,A
24,Which two body systems work together to transport oxygen to the cells?,24,D
25,Smoking harms the body in many ways. It is most harmful to which organ?,25,A
26,A rock has most likely traveled a long distance from its place of origin if it is,26,A
27,The magnitude of the gravitational force between two planets depends on the,27,D
28,An engineer constructs a prototype from wood. Which of the following is the best tool for the engineer to use to make the prototype's surface smooth?,28,A
29,"A student heated a pan of soup on a stove. While stirring the soup with a metal spoon, the student noticed the spoon became very warm. What is the most likely reason the spoon became warm?",29,C
30,Which two activities use most of the water used in an average U.S. household?,30,A
31,Chromosomes contain the genetic information of an organism. Fruit flies reproduce by sexual reproduction. Most of the cells of a fruit fly have 8 chromosomes. Which statement best explains the source of the chromosomes in a normal fertilized fruit fly egg?,31,C
32,Which human organ system produces sperm or egg cells?,32,D
33,Which part of a plant cell is responsible for controlling the activities of the other parts of the cell?,33,A
34,"Which animals live part of their lives in water and part on land, and go through metamorphosis?",34,B
35,Plants on hills keep dirt in place during a rain storm. Plant roots grow into the dirt and keep the dirt from moving. Why do roots grow into the dirt?,35,A
36,Which two body systems are directly involved in movement?,36,C
37,Scientists who have studied global climate changes have found that the average temperature of Earth has risen. There has also been an increase in the accumulation of atmospheric greenhouse gases. What is the goal of the scientific community in collecting this type of data?,37,A
38,Which term identifies a group of cells that work together to perform a similar function?,38,B
39,Mosquitoes have adapted to detect carbon dioxide using certain sensory nerves. Mosquitoes instinctually move toward greater concentrations of carbon dioxide. What is the importance of this adaptation?,39,A
40,Which structure surrounds and protects an animal cell?,40,A
