carat,cut,color,clarity,depth,table,price,x,y,z
0.84,Very Good,F,VS2,64.2,55.0,11292,6.64,6.79,3.72
0.65,Premium,H,SI2,63.0,56.0,3216,4.93,6.41,4.31
1.81,Premium,H,IF,59.8,56.0,809,5.47,4.87,2.43
0.71,Good,F,SI2,62.4,57.0,900,4.66,4.92,3.58
1.44,Premium,D,SI2,62.2,58.0,326,5.56,4.9,3.29
0.31,Ideal,F,VVS1,62.0,55.0,4688,6.33,4.94,3.74
0.61,Very Good,D,VS1,63.2,57.0,3664,7.38,6.93,3.75
0.76,Ideal,E,SI1,62.1,60.0,1763,4.4,6.25,4.07
0.54,Fair,E,VS1,62.0,56.0,1196,4.4,7.86,2.87
1.19,Ideal,H,VS1,62.3,57.0,326,7.67,6.33,3.38
2.19,Premium,I,VS2,63.2,55.0,1426,4.09,5.28,2.73
0.29,Ideal,I,SI2,62.6,61.0,4704,6.65,6.81,4.87
0.38,Ideal,G,IF,60.2,56.0,1453,6.34,4.14,2.71
0.96,Fair,G,VVS2,58.5,55.0,568,3.94,5.46,3.48
1.48,Fair,J,SI1,61.8,55.0,10384,7.01,6.65,2.71
0.38,Good,G,IF,59.4,58.0,7412,4.94,3.89,4.27
0.24,Ideal,D,SI2,59.9,62.0,2180,6.91,3.18,3.02
1.09,Good,H,SI2,61.3,58.0,2392,5.61,5.19,3.04
0.43,Good,G,VS1,63.9,59.0,1413,4.21,6.3,3.77
0.67,Ideal,D,IF,61.0,55.0,9536,7.36,4.21,4.6
0.38,Premium,G,SI1,61.8,54.0,4528,6.59,6.72,3.55
0.28,Good,G,SI2,60.1,61.0,3495,5.55,5.68,3.27
0.96,Good,I,VS2,63.2,54.0,9647,4.57,5.39,3.37
0.71,Premium,E,VS2,61.5,59.0,1241,5.53,4.9,3.99
0.72,Premium,G,SI2,60.6,57.7,13075,5.82,5.36,3.39
0.77,Premium,H,SI2,60.3,60.0,930,4.62,5.85,3.67
0.4,Very Good,G,SI1,62.1,56.0,2927,6.41,5.78,4.93
1.13,Very Good,E,VS1,62.2,63.0,2972,7.22,6.22,4.26
0.4,Premium,D,SI1,62.8,56.0,2812,6.12,6.11,4.01
0.47,Very Good,J,SI1,64.0,60.0,1804,6.37,4.74,2.85
0.42,Ideal,G,SI2,63.5,57.0,948,5.91,6.11,2.86
0.46,Fair,G,VS2,60.8,55.4,4625,4.15,3.9,4.33
0.45,Premium,D,SI1,62.0,62.0,1812,7.0,5.34,3.02
1.1,Good,F,SI2,63.3,58.0,1385,6.76,6.56,4.34
2.14,Very Good,H,SI1,62.3,57.8,764,6.0,5.1,3.51
0.2,Premium,F,VVS2,61.8,54.5,4272,4.37,5.6,2.79
1.3,Very Good,G,SI1,59.8,58.0,2506,5.64,7.94,3.26
0.89,Premium,D,SI1,63.6,58.0,5848,6.47,7.11,3.71
0.91,Premium,F,IF,61.9,58.0,1535,3.06,4.55,3.25
1.2,Very Good,J,VS1,62.7,58.9,3807,6.55,5.56,5.97
0.77,Very Good,D,SI2,61.0,59.0,453,4.68,7.86,3.7
0.92,Fair,G,VS2,59.8,56.0,760,5.55,4.97,3.08
0.58,Ideal,D,VS1,59.5,53.0,3623,5.41,5.26,3.02
0.46,Fair,D,VS2,61.3,59.0,2435,7.74,5.73,3.89
1.18,Premium,G,VS2,59.5,62.0,789,5.08,5.21,4.22
0.54,Good,E,IF,60.9,57.0,5152,7.93,7.71,2.93
2.34,Premium,H,SI2,62.3,60.0,3259,3.68,4.32,4.25
0.83,Fair,F,SI2,63.8,58.0,3592,6.17,6.51,3.43
0.4,Very Good,G,SI1,59.8,59.0,952,6.83,5.98,4.81
0.96,Very Good,D,SI1,62.5,57.0,5145,6.57,5.57,3.2
2.43,Very Good,J,VS2,62.3,58.9,10437,6.09,5.42,3.29
1.19,Ideal,I,SI1,62.6,55.0,9047,6.69,6.76,3.03
0.87,Fair,E,SI2,61.7,59.0,993,6.88,3.23,3.58
1.36,Premium,I,VS2,64.5,59.0,3037,7.04,4.72,4.46
