method,number,orbital_period,mass,distance,year
Transit,2,15.09,,,2013
Eclipse Timing Variations,1,10220.0,6.05,,2009
Radial Velocity,1,763.0,,,2011
Transit,5,122.3874,,368.0,2013
Imaging,1,,,140.0,2010
Transit,2,13.722341,,,2013
Pulsar Timing,3,25.262,,,1992
Transit,6,46.6888,,613.0,2010
Transit,1,9.20205,,,2008
Transit,1,2.2167421,,340.0,2012
Radial Velocity,2,3.698,,150.0,2009
Radial Velocity,3,147.73,,52.88,2006
Radial Velocity,1,4218.0,1.88,45.52,2009
Radial Velocity,2,13.505,,23.44,2011
Transit,1,3.361006,,,2009
Transit,1,4.627669,,205.0,2010
Radial Velocity,1,533.0,,7.01,2010
Transit,5,0.74296,,303.0,2012
Radial Velocity,1,18.596,,18.08,2011
Transit,1,2.204737,,320.0,2008
Radial Velocity,1,326.6,,,2011
Radial Velocity,1,111.4357,,29.04,2001
Imaging,1,,,19.2,2011
Imaging,1,7336.5,,25.0,2009
Radial Velocity,1,7.3709,,9.04,2011
Radial Velocity,1,745.7,5.3,307.69,2011
Transit,1,1.43037,,,2011
Transit,2,17.9801235,,,2012
Radial Velocity,1,4885.0,3.1,189.39,2009
Transit,7,8.719375,,780.0,2013
Radial Velocity,1,3416.0,,4.94,2008
Transit,1,0.813475,,80.0,2011
Radial Velocity,1,4100.0,,20.03,2013
Radial Velocity,1,282.4,0.48,51.81,2010
Radial Velocity,2,1155.7,,55.31,2012
Radial Velocity,2,391.9,0.82,43.4,2007
Transit,1,3.577469,,,2010
Transit,1,4.60358,,,2014
Radial Velocity,1,2.1451,,,2012
Radial Velocity,2,226.93,0.1872,32.58,2008
Microlensing,1,2780.0,,,2011
Transit,2,13.749,,,2013
Radial Velocity,3,59.519,,26.91,2011
Transit,2,10.9129343,,,2012
Radial Velocity,1,3.8335,,,2007
Transit,1,8.158715,,,2010
Transit,2,13.084,,,2013
Radial Velocity,2,30.93,0.076,56.92,2013
Radial Velocity,1,10.7085,,29.76,1999
Transit,7,59.73667,,780.0,2013
Radial Velocity,3,34.873,,47.3,2011
Radial Velocity,1,418.2,2.51,80.58,2007
Radial Velocity,1,3.33714,,,2012
Transit,2,71.312,,,2013
Radial Velocity,3,559.4,,52.83,2007
Radial Velocity,1,1634.0,,38.26,2009
Radial Velocity,2,11.849,0.0378,43.08,2011
Transit,2,2.42629,,,2014
Transit,2,25.5169,,,2014
Transit,3,39.792187,,66.0,2013
