id,question,choices,answerKey
1,Which item would a magnet attract?,1,B
2,"The snowshoe hare was once common in Maryland. In 1986, researchers in the state noted that the snowshoe hare was no longer found in Maryland. Which statement best explains why the snowshoe hare is no longer found in Maryland?",2,D
3,Which is a process that occurs during photosynthesis?,3,D
4,The Milky Way Galaxy is visible as a bright region in the night sky. Modern telescopic observation has made it possible to discover that the brightness of the Milky Way Galaxy is due primarily to which structure?,4,D
5,Atmospheric greenhouse gases help heat the atmosphere by,5,B
6,Sound waves can pass through all of these except,6,C
7,Which element is necessary for the formation of coal?,7,A
8,"The part of the rock cycle that transforms compressed rock formed from sea organism shells into a harder, denser rock is",8,C
9,"Which type of rock is formed from limestone that has been compacted, heated, and recrystallized?",9,A
10,"Residential construction is expanding in Florida. The expansion has caused fragmentation of habitats. One of the results of the increased construction is a decrease in the number of large predators such as the coyote, black bear, and panther. Which will be the most immediate local result of this fragmentation?",10,B
11,Jupiter is the largest planet in the solar system. It rotates on its axis once about every 10 hours. What time period on Earth would be 10 hours long if Earth rotated on its axis once every 10 hours?,11,C
12,Why is it important to repeat an experiment several times?,12,B
13,A student is using hydrochloric acid in an investigation. Which piece of safety equipment is most important during this investigation?,13,B
14,Which tool would a student use to measure wind speed?,14,B
15,A scientist is comparing two body cells of a multicellular organism. Which of the following is most likely identical?,15,D
16,What is the complementary base of adenine in DNA?,16,B
17,Scientists have categorized trees based on whether they keep or lose their leaves each year. Another logical way to categorize trees is based on the,17,D
18,A push or a pull on an object is an example of,18,B
19,What most likely happens to soil when crops are not rotated from year to year?,19,A
20,Which action is the best method to separate a mixture of salt and water?,20,D
21,In which process is nitrogen from the air put into a form that plants can use?,21,D
22,"When stratospheric ozone levels are reduced, the amount of ultraviolet radiation hitting Earth increases. Ozone depletion is most often caused",22,D
23,Which action forms a different chemical substance?,23,4
24,Sedimentary deposits formed from organic material tend to include a high amount of,24,C
25,Which serve as evidence for a scientific theory?,25,C
26,A star is a large astronomical body that,26,C
27,Which is an example of a decomposer?,27,B
28,"When two objects are touching, heat is transferred from the warmer object to the cooler one by",28,A
29,"Census data show that the human population doubled from 2.65 billion in 1953 to 5.3 billion in 1990. If it continues to double at this rate, the human population could reach 10 billion by the year 2020. Which best explains how this rate of human growth can harm the environment on which humans depend?",29,B
30,Which of the following is an example of a physical change but not a chemical change?,30,B
31,Which factor would have the greatest influence on the southern migration of animals living in the Northern Hemisphere?,31,C
32,An idea that the universe originated with an explosion is supported by repeated observations of light from distant galaxies traveling away from Earth. An idea that has been tested repeatedly and is supported by repeated results is most likely a,32,C
33,Which scientist formulated rules that describe the observable relationships of plant traits to the traits of the ancestor plants?,33,A
34,Which type of rock is formed when limestone is subjected to heat and pressure?,34,A
35,"During subduction, one tectonic plate is forced below another. The subducting plate is forced into the",35,B
36,What type of inheritance controls blood types in humans?,36,A
37,Which of these would best help a scientist discover a new planet?,37,C
38,Which force keeps the planets in their orbits around the Sun?,38,C
39,Plants need a source of energy in order to perform photosynthesis. From which source do plants receive the energy needed to perform photosynthesis?,39,B
40,Approximately how long does Earth take to complete its orbit around the Sun?,40,A
41,A company plants trees on a bare hillside. Which of these is the BEST reason for planting the trees?,41,A
42,Directions Read the information about wind erosion then answer the question. Wind can cause erosion that changes the surface of the Earth. Wind erosion can have negative effects on the environment by removing soil and polluting the air during dust storms. Walter wanted to find out if faster wind speeds increased the amount of wind erosion. Which instrument should he use to measure wind speed?,42,B
43,"Toni got a cut on her arm while playing in a softball game. A few weeks later, the cut was healed. Which process is most responsible for repairing the cut?",43,C
44,"While studying the relationship between number of trees and amount of atmospheric oxygen, which of the following would be most important to take into account?",44,D
45,"How do traits of animals such as ear shape, nose shape, and hair color most often get passed to offspring?",45,C
46,Which of the following is a harmful waste material that leaves the blood and travels through the lungs before leaving the body?,46,C
47,Baby chicks peck their way out of their shells when they hatch. This activity is an example of which of the following types of behavior?,47,A
48,One of the functions of a topographic map is to,48,B
49,"When animals use energy, what is always produced?",49,D
50,A lab technician places a colony of bacterial cells in a nutrient-rich growth medium. Which event is the technician most likely to observe with a microscope?,50,C
51,The reaction that releases energy for use by the cell occurs in which site?,51,B
52,Which of the following is an example of a behavioral adaptation?,52,B
53,"A female dog is having puppies. She has black fur, brown eyes, and a curly tail. She can sit, bark, and roll over on command. Which set of traits can the female dog's puppies inherit?",53,C
54,Mount St. Helens was a cone-shaped mountain that formed when molten material reached the surface of Earth and formed layers. Cone-shaped mountains form as a result of which one of these events?,54,B
55,Which disease is a result of abnormal cell division?,55,B
56,"A student heated a pan of soup on a stove. While stirring the soup with a metal spoon, the student noticed the spoon became very warm. What is the most likely reason the spoon became warm?",56,B
