carat,cut,color,clarity,depth,table,price,x,y,z
0.86,Good,H,SI1,61.3,58.0,6975,5.82,6.08,3.33
0.43,Very Good,F,SI1,58.9,59.0,3097,4.45,6.02,5.0
0.5,Good,E,VS2,61.9,58.0,2250,5.34,5.93,4.09
0.55,Very Good,G,VS1,61.8,55.0,1026,4.73,4.59,2.84
0.92,Very Good,F,VS2,62.7,58.0,2756,4.59,4.09,2.99
0.89,Premium,E,SI1,60.6,61.0,7039,5.79,7.27,2.82
0.61,Ideal,D,VVS2,62.7,55.0,1526,3.69,4.48,4.46
0.34,Premium,E,VS2,60.7,56.0,10015,6.5,4.81,3.18
0.2,Very Good,F,SI1,59.1,58.0,448,5.8,6.52,2.8
0.28,Premium,F,SI2,62.7,56.0,3750,6.6,6.23,3.51
0.38,Premium,G,VVS2,64.4,56.0,1616,6.69,6.84,4.68
1.08,Premium,D,VS1,60.1,57.0,4761,5.22,5.56,1.92
1.27,Ideal,G,IF,62.0,61.0,1271,5.32,6.47,3.47
0.45,Very Good,F,VVS2,59.9,57.0,326,5.39,6.49,4.2
1.23,Ideal,I,VS1,61.8,57.8,6618,5.96,6.19,3.87
0.73,Very Good,H,SI2,59.8,56.8,18823,7.35,5.71,4.03
0.78,Fair,I,SI2,61.4,56.0,5714,6.66,5.38,3.78
1.49,Ideal,J,VS1,61.5,55.0,8434,4.89,4.37,2.18
0.44,Very Good,E,SI1,61.5,57.0,2876,6.76,3.66,4.16
0.72,Ideal,F,IF,61.9,59.0,650,5.43,5.6,4.05
0.76,Very Good,E,VVS2,62.6,59.0,771,6.5,5.46,4.0
1.0,Good,J,SI1,56.4,55.0,2548,5.02,4.27,2.86
0.75,Premium,D,VS2,60.8,53.7,3494,6.71,5.51,3.77
0.6,Good,E,VS2,61.5,56.0,17111,6.06,5.25,3.96
0.2,Very Good,I,VS1,61.9,55.0,14014,5.13,5.91,4.41
1.43,Premium,I,SI1,59.1,59.0,8545,6.45,4.04,4.19
0.69,Ideal,H,VS1,61.7,57.0,586,7.34,5.85,4.8
0.98,Very Good,E,VS2,56.7,59.0,5462,6.69,3.59,3.84
0.95,Ideal,G,VVS2,62.3,59.0,1622,8.1,7.41,4.43
0.47,Premium,E,SI1,64.3,58.0,2612,6.1,6.28,2.81
0.72,Very Good,F,VS2,62.3,59.0,3392,4.72,6.82,3.81
0.74,Very Good,H,SI2,60.3,56.0,3236,6.57,7.33,3.65
0.67,Premium,D,SI2,62.3,55.0,698,5.73,6.2,3.91
0.81,Premium,F,VS2,63.2,55.0,805,7.44,5.43,3.14
0.97,Good,D,SI2,63.3,61.0,1894,5.84,4.98,3.22
0.33,Very Good,E,VS2,60.1,54.0,967,6.06,5.2,4.46
0.61,Good,E,VS2,62.0,56.0,1119,2.43,6.39,3.42
1.23,Ideal,G,VS2,60.7,56.0,1318,5.11,5.74,3.41
3.14,Ideal,J,IF,61.6,58.0,4773,5.26,5.86,3.66
0.88,Fair,F,SI2,61.4,57.0,387,5.78,5.06,4.16
2.97,Ideal,H,VS1,59.0,56.0,2147,4.95,7.85,2.81
0.76,Premium,I,VS1,60.8,58.0,589,6.03,5.21,2.84
0.9,Very Good,E,SI1,63.6,60.0,2108,5.06,5.16,2.58
0.42,Very Good,I,SI1,63.8,58.0,326,6.01,5.8,2.81
0.54,Very Good,H,SI1,59.4,60.0,1925,6.4,5.06,3.12
0.25,Good,G,VS1,62.2,56.1,7368,4.88,5.28,4.0
0.33,Ideal,H,VS1,62.5,57.0,4930,6.32,4.86,2.9
0.28,Very Good,G,VS1,57.9,59.0,4626,4.84,6.43,3.0
0.47,Very Good,E,VS1,60.3,59.0,3040,6.91,4.46,2.77
0.42,Premium,G,SI1,60.3,54.1,2638,4.72,6.79,3.25
0.29,Ideal,H,IF,62.2,59.0,5205,6.92,7.38,4.86
1.26,Ideal,J,VS1,62.7,55.0,3022,4.84,6.91,2.68
2.25,Ideal,I,VS1,58.6,61.0,16426,6.91,6.23,4.46
0.45,Ideal,G,I1,62.9,61.0,5507,5.13,6.1,3.52
0.6,Fair,E,I1,60.1,61.0,1394,4.38,7.18,4.34
0.77,Premium,I,VS2,56.3,59.0,1736,5.32,5.11,4.34
0.53,Very Good,D,VVS2,58.3,62.0,5044,6.03,6.53,2.93
0.76,Ideal,E,SI1,60.9,62.0,3554,5.7,3.61,2.69
0.9,Ideal,F,SI2,63.3,57.0,1443,8.19,4.93,3.07
0.6,Premium,G,VS2,59.5,56.0,669,4.41,3.9,3.93
0.37,Very Good,E,SI2,62.8,58.0,2173,5.84,5.75,4.43
0.65,Very Good,D,VS1,61.9,56.0,1606,5.48,6.47,2.31
0.65,Ideal,F,VS2,57.7,54.0,11131,4.58,6.26,2.42
1.04,Premium,H,SI1,63.7,56.0,521,5.52,6.34,4.3
0.47,Ideal,G,VS2,64.1,56.0,6698,4.56,6.49,3.96
0.2,Very Good,G,VS2,59.5,55.0,476,5.36,8.06,4.64
1.35,Premium,F,SI1,63.3,53.0,827,7.2,7.9,4.39
0.69,Ideal,D,SI1,59.1,54.0,2524,6.53,6.06,3.98
0.46,Premium,H,VS2,58.5,60.0,2771,6.45,3.26,5.15
0.32,Ideal,E,VS1,57.8,55.0,562,6.06,5.21,1.59
0.94,Premium,H,SI1,59.0,58.0,2869,4.94,5.16,3.79
1.38,Premium,I,VS1,63.1,60.0,2832,8.06,2.7,3.65
1.1,Good,J,VS1,60.1,56.0,2506,4.56,6.14,3.24
0.56,Ideal,G,VS1,63.3,59.0,2464,6.93,6.45,3.4
0.45,Premium,H,I1,62.8,59.0,3986,6.03,5.67,3.43
0.48,Premium,H,I1,65.9,56.0,4755,5.96,5.92,4.08
0.9,Very Good,F,SI2,59.6,58.0,2476,5.97,5.51,2.99
0.92,Very Good,G,VS1,62.4,57.0,7458,5.28,3.59,4.11
1.58,Premium,F,SI2,62.9,63.0,1859,4.5,4.87,2.32
1.29,Ideal,G,VVS2,62.4,57.0,2162,3.42,6.65,4.01
1.36,Very Good,I,SI1,62.4,61.0,2882,5.62,4.45,3.79
0.27,Good,D,SI2,61.6,63.0,1547,7.44,6.39,4.08
0.3,Ideal,F,VVS1,60.9,56.0,4027,7.02,6.31,2.68
0.53,Premium,D,VS2,58.8,58.0,497,5.93,8.41,4.29
0.83,Premium,I,SI2,63.6,56.9,2436,4.92,5.67,4.11
1.34,Ideal,F,SI1,61.0,58.0,5720,5.75,3.24,3.24
1.22,Fair,E,I1,62.2,57.0,3062,4.05,4.48,3.22
0.39,Fair,F,SI1,60.3,66.0,2992,8.09,5.59,4.11
0.2,Premium,F,SI2,57.8,60.0,3186,5.01,5.26,3.38
1.01,Very Good,F,SI2,60.7,57.0,565,5.94,4.41,2.68
