sentence1,sentence2,label,idx
"Police in the Lower Austrian town of Amstetten have arrested a 73 year old man who is alleged to have kept his daughter, now aged 42, locked in the cellar of his house in Amstetten since 29th August 1984. The man, identified by police as Josef Fritzl, is alleged to have started sexually abusing his daughter, named as Elisabeth Fritzl, when she was eleven years old, and to have subsequently fathered seven children by her. One of the children, one of a set of twins born in 1996, died of neglect shortly after birth and the body was burned by the father.",The Central Business District (CBD) is part of Rotorua.,1,217
"The plan was released by Mr Dean on behalf of the Secretary of Health and Human Services, Tommy Thompson, still recovering from a recent accident, at a Secretarial Summit on Health Information Technology that was attended by many of the nation's leaders in electronic health records.",The new space vehicle design uses shuttle rocket parts and an Apollo-style capsule.,0,155
"He became a boxing referee in 1964 and became most well-known for his decision against Mike Tyson, during the Holyfield fight, when Tyson bit Holyfield's ear.",The US government wants to keep drug prices down.,1,271
"The town is also home to the Dalai Lama and to more than 10,000 Tibetans living in exile.",Halle Berry works with Scott Storch.,0,251
Swansea striker Lee Trundle has negotiated a lucrative image-rights deal with the League One club.,Pippa Bacca was an Italian peace activist.,0,99
The job gains mean that  President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.,A California company was charged with reckless storage of chemicals.,0,252
PERSPECTIVE ON BOSNIA; A BALKANS PEACE THAT CANNOT LAST,Mike Tyson bit Holyfield's ear in 1964.,0,197
"On October 1 2001, EU and other countries introduced the option for domestic animal owners to apply for Pet passports under the Pets Travel Scheme (PETS for short), for pets returning from abroad to the United Kingdom. This replaced the old system of 6 months compulsory quarantine for all domestic pets.",A request was reduced to $1.1 billion,1,51
"Research workers of the German archaeological institute have discovered a mummy in permafrost at excavation work in Mongolia of approximately 2,500 years old.",Bosnia is located in the former Yugoslavia.,0,243
"Unwilling to surrender his dream of beginning a Holy Land pilgrimage in Iraq, Pope John Paul II made a ""virtual pilgrimage"" Wednesday to Ur, the ancient city that is traditionally held to be the birthplace of Abraham.",European cars sell in Russia.,1,225
"Coextensive with the metropolitan district of Jakarta Raya, it lies at the mouth of the Ciliwung ( Liwung River ) on the northwest coast of Java.",Police use robots for bomb-handling.,0,111
"Known as ""heap leach"" mining, the method has become popular in the last decade because it enables microscopic bits of gold to be economically extracted from low-grade ore.","The Dalai Lama has been living in exile since 10,000.",0,43
Mount Olympus towers up from the center of the earth.,P. Prayong is a member of Theravada.,0,255
"NEW YORK —  Somali pirates attacked and damaged an American ship carrying humanitarian aid Tuesday, but the ship and crew were safe under Navy escort, the military and shipping company said. The pirates fired rocket-propelled grenades and automatic weapons at the Liberty Sun as it carried food for famine-wracked African nations, said the vessel's owner, Liberty Maritime Corp. The ship was en route from Houston to Mombasa, Kenya, with a roughly 20-member crew, officials said. .",Musharraf has ordered rioters to take firm action against security forces.,1,10
"Nearly five months later on January 24, 1935, the passenger vessel MOHAWK sank after colliding with the Norwegian motorship TALISMAN, and 45 people lost their lives.",13 persons were killed by two students in 1999.,1,41
"Nearly five months later on January 24, 1935, the passenger vessel MOHAWK sank after colliding with the Norwegian motorship TALISMAN, and 45 people lost their lives.",Proceeds go to Hepburn's family.,0,273
"The San Diego Padres ace, Jake Peavy, was hurt in an 8-5 loss to the St. Louis Cardinals.",Shares of Amazon fell 4 percent.,0,86
About half were along a 20-mile stretch of Santa Monica Bay from Topanga Canyon Boulevard to the Palos Verdes Peninsula.,Alzheimer's disease is treated using drugs.,0,141
"Fujimori charged that on January 26, 1995, Ecuador fired the first shot, an allegation denied by Ecuador's leader, Sixto Duran-Ballen. Predictably, each side blamed the other for starting the 1995 conflict, just as each pointed the finger of guilt to the other for provoking the border war of 1941, when Peru took most of the 120,000 square miles in contention between the two countries.","In 2001, the EU introduced a passport for pets.",0,30
"In the history of art, prehistoric art is all art produced in preliterate cultures (prehistory), beginning somewhere in very late geological history.",The US Declaration of Independence is located in Philadelphia.,1,39
"With South Carolina being Jesse Jackson's home state, there was a very strong incentive in the black community.",The official religion of Thailand is Theravada Buddhism.,0,180
"US President Barack Obama has been sketching out the future direction of his administration, in events to mark his first 100 days in office. Mr Obama addressed a town hall meeting in St Louis before holding a primetime news conference, broadcast live on most US TV networks. Traditionally, commentators have used the milestone to assess presidents' early successes and failures. Latest polls suggest Mr Obama continues to enjoy a high level of popularity.",Drug legalization has benefits.,1,1
"The biggest newspaper in Norway, Verdens Gang, prints a letter to the editor written by Joe Harrington and myself.",Trade secrets were stolen.,0,0
"US President Barack Obama has been sketching out the future direction of his administration, in events to mark his first 100 days in office. Mr Obama addressed a town hall meeting in St Louis before holding a primetime news conference, broadcast live on most US TV networks. Traditionally, commentators have used the milestone to assess presidents' early successes and failures. Latest polls suggest Mr Obama continues to enjoy a high level of popularity.",Microsoft won't offer increased storage to its users.,0,10
"Coextensive with the metropolitan district of Jakarta Raya, it lies at the mouth of the Ciliwung ( Liwung River ) on the northwest coast of Java.",Italy's government investigates Sony.,0,164
California voters recall Gray Davis and elect Arnold Schwarzenegger as their governor.,Relations between Argentina and Great Britain are growing more cooperative.,1,206
"Plans are being drawn up to build a £3.3m working replica of the boat that took Charles Darwin around the world at Milford Haven in Pembrokeshire. Fundraising for the project, which would mark the 200th anniversary of Darwin's birth in 2009, is under way. The aim is to built a seaworthy vessel identical to the HMS Beagle on the outside, but with a modern interior. Darwin, who showed how natural selection could explain evolution, sailed on the Beagle between 1831-36.",President Laurent Gbagbo lives in Cote d'Ivoire.,1,140
"This growth proved short-lived, for a Swedish invasion ( 1655-56 ) devastated the flourishing city of Warsaw.",Alice Cooper is a Christian.,0,221
"When Albright was the US ambassador to the United Nations, Lesley Stahl of ""60 Minutes"" asked her about the sanctions and the deaths of Iraqi children. Albright said it was America's responsibility to make sure the Gulf War did not have to be fought again.",Microsoft would spend 500 million dollars.,1,97
"Foreign Carmakers Gain in Russia. The likes of Daewoo, Ford, Renault, and more can't produce fast enough.",Maternity leave varies in Europe.,1,171
The harvest of sea-weeds is not allowed in the Puget Sound because of marine vegetation's vital role in providing habitat to important species.,Democrat members had strong small business voting records.,0,110
"Pole Robert Kubica became the highlight of the weekend by winning the pole, but was slow off the start and finished third on the podium. Nick Heidfeld, his BMW Sauber teammate finished fourth. The results puts BMW as the new leader of the Constructors' championship, one point ahead of Scuderia Ferrari. Heikki Kovalainen came fifth and became the only McLaren driver to finish in the points. Jarno Trulli (Toyota) and Mark Webber (Red Bull-Renault) ran 6 and 7 places respectively with Nico Rosberg (Williams-Toyota) closing out the top eight with 1 point. Timo Glock (Toyota) was engaged in a hard battle with Fernando Alonso (Renault) and came 9th ahead of the Spanish 2005 F1 Champion.",Alzheimer's disease is treated using drugs.,1,146
"This growth proved short-lived, for a Swedish invasion ( 1655-56 ) devastated the flourishing city of Warsaw.",The new space vehicle design uses shuttle rocket parts and an Apollo-style capsule.,1,116
"On October 1 2001, EU and other countries introduced the option for domestic animal owners to apply for Pet passports under the Pets Travel Scheme (PETS for short), for pets returning from abroad to the United Kingdom. This replaced the old system of 6 months compulsory quarantine for all domestic pets.",CSN produces 28 million tons of steel per year.,0,174
The drugs that slow down or halt Alzheimer's disease work best the earlier you administer them.,Financial reforms have been proposed at the G7 summit in Halifax.,0,92
"The abode of the Greek gods was on the summit of Mount Olympus, in Thessaly.",Bacteria is winning the war against antibiotics.,1,38
"Hepburn's platinum, diamond and sapphire brooch had been estimated to fetch just $20,000, but sold for $120,000, six times its estimated price.",Altai ice maiden triggers major dispute.,1,228
"Hands Across the Divide was formed in March 2001, and one of its immediate aims was to press for more freedom of contact and communication right away between the two parts of Cyprus, and for early progress towards a solution to 'the Cyprus problem'.",The Gurkhas come from Nepal.,0,198
Mount Olympus towers up from the center of the earth.,Professor Ochoa Garcia is a member of the Salvadoran government.,1,120
"Meadows scored a bit part in a January episode of ""Law & Order"".",Bugs Bunny is owned by Warner Bros.,1,61
"While Bush was in the air, the White House was evacuated, with many employees running away from the premises on orders from Secret Service agents.",The witness rescued Rodriguez.,1,164
"In 1865, John Wilkes Booth, the assassin of President Abraham Lincoln, was surrounded by federal troops near Bowling Green, Va., and killed.",KTLK is located in San Francisco.,1,107
Schroder Investment Management has indicated its intention to accept Revival's offer to buy retailer Marks & Spencer.,Asian financial crisis takes over Ssangyong Motor,0,230
"Today's best estimate of giant panda numbers in the wild is about 1,100 individuals living in up to 32 separate populations mostly in China's Sichuan Province, but also in Shaanxi and Gansu provinces.",Drug legalization has benefits.,0,125
"Following the successful bid to bring the 2010 Ryder Cup to Wales, the Wales Tourist Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.",Melvyn Percy set up Minerva Rigging at Kip Marina.,0,207
Phoenix is searching for evidence of water and microbial life on Mars. Its mission is to determine Mars's ability or inability to host life and hold   water. The Phoenix lander uses a robotic arm to dig through the protective top soil layer to the alleged water ice below and ultimately bring both soil   and water ice to the lander platform for sophisticated scientific analysis.,A body has been found by U. S. military police.,1,237
"A plane crashed in North Carolina last year and most of the Blink-182 group was in there. The only survivors of the crash were DJ AM and musical partner Travis Barker. Less lucky, ""Lil"" Chris Baker, Barker's close friend and assistant, the Blink-182 drummer's bodyguard, Charles ""Che"" Still, the pilot and co-pilot died. Both AM and Barker suffered many injures, bad burns and they needed to stay in hospital for several weeks. Now AM asks $20 million in compensation for injuries he suffered. He lawsuits against plane maker Learjet and wants to gain $10 million for medical damages, lost earnings and profit and the same amount for mental and physical suffering.",Mice fed with red wine lived longer despite a fatty diet.,1,145
