mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
29.8,4,75.0,81,2715,10.7,70,europe,volkswagen model 111
15.4,4,344.0,137,3091,16.2,70,usa,ford pinto runabout
25.6,4,85.0,111,2758,13.9,70,europe,volkswagen dasher
41.4,5,87.0,73,2275,9.9,70,japan,datsun 210 mpg
23.7,4,157.0,60,1957,10.7,70,europe,volvo 144ea
31.6,4,93.0,113,2102,16.1,70,europe,audi 100 ls
36.6,4,101.0,66,2470,17.4,70,japan,nissan stanza xe
23.8,4,74.0,79,1891,16.6,70,japan,datsun pl510
29.5,6,172.0,112,1643,15.4,70,usa,plymouth arrow gs
23.5,4,136.0,71,2320,18.5,70,europe,vw rabbit custom
25.2,4,110.0,103,2958,15.3,70,europe,peugeot 505s turbo diesel
21.2,4,292.0,163,2860,19.1,70,usa,plymouth valiant custom
23.0,7,220.0,65,2630,15.5,70,usa,ford granada ghia
18.9,7,259.0,154,2988,17.4,70,usa,dodge monaco brougham
32.8,4,68.0,63,2249,13.4,70,japan,datsun 210
17.0,6,106.0,77,4360,17.2,70,usa,chevrolet nova custom
33.9,4,79.0,80,2022,18.8,70,japan,honda civic cvcc
17.5,6,124.0,133,3349,14.3,70,usa,amc hornet
35.1,4,76.0,64,2017,19.3,71,japan,datsun 710
34.0,7,115.0,108,2734,16.4,71,usa,chevrolet concours
24.0,7,293.0,91,3883,18.6,71,usa,ford f108
25.3,4,94.0,90,2213,24.8,71,japan,maxda glc deluxe
34.1,4,74.0,98,1934,15.5,71,europe,vw dasher (diesel)
28.6,4,265.0,106,2865,13.8,71,usa,chevrolet woody
22.1,4,133.0,86,2109,17.7,71,europe,volvo 245
20.1,4,99.0,91,2260,19.3,71,japan,honda accord lx
17.1,7,266.0,94,3504,10.8,71,usa,amc spirit dl
31.0,4,114.0,79,2251,11.4,71,japan,toyota corolla
21.1,5,155.0,117,2946,13.3,71,usa,dodge aries wagon (sw)
17.7,6,125.0,106,3686,14.1,71,usa,ford fairmont
26.2,5,309.0,118,4011,16.1,71,usa,ford ltd
17.0,5,230.0,138,4543,18.9,71,usa,pontiac catalina
23.2,5,193.0,80,4255,14.9,71,usa,dodge colt (sw)
42.4,5,289.0,100,3972,16.3,71,usa,dodge monaco brougham
29.4,5,95.0,60,1939,16.4,71,japan,toyota corona mark ii
29.3,3,111.0,62,2226,16.1,71,japan,subaru dl
32.2,4,181.0,69,5140,15.0,71,europe,audi 100 ls
17.6,5,150.0,163,4113,20.4,71,usa,pontiac phoenix lj
23.9,4,72.0,74,2041,19.0,71,europe,fiat strada custom
13.3,5,377.0,119,3901,17.1,71,usa,plymouth valiant
24.3,4,141.0,96,5140,12.6,71,europe,fiat 124 tc
32.7,5,104.0,62,1973,15.9,71,japan,datsun 610
33.3,4,111.0,94,2845,13.6,71,europe,mercedes-benz 280s
15.6,4,422.0,113,2818,12.2,71,usa,buick electra 225 custom
18.7,5,362.0,100,2683,20.4,71,usa,pontiac astro
31.3,6,95.0,79,2133,18.4,71,japan,maxda glc deluxe
11.7,7,101.0,112,3586,13.4,71,usa,chevy c20
20.3,6,365.0,150,2968,13.1,71,usa,chevrolet chevelle malibu
38.4,4,120.0,84,1892,13.0,71,europe,fiat 124b
14.4,6,275.0,112,3156,14.1,71,usa,chevrolet impala
17.7,8,337.0,131,3672,15.2,71,usa,buick century luxus (sw)
29.5,8,362.0,124,2606,11.9,71,usa,ford fairmont (auto)
22.5,7,126.0,67,4254,14.3,71,usa,pontiac catalina brougham
14.4,5,218.0,91,2185,12.9,71,usa,ford pinto
27.6,5,231.0,158,5140,16.5,71,usa,dodge challenger se
9.5,4,209.0,126,3359,14.0,71,usa,chevrolet chevelle malibu
13.5,5,257.0,126,3457,18.4,71,usa,chrysler cordoba
16.3,4,117.0,78,1882,11.7,71,europe,audi 4000
10.9,4,333.0,196,3833,16.4,71,usa,ford mustang ii 2+2
39.5,7,335.0,85,2821,13.6,71,usa,chevrolet vega 2300
16.2,7,336.0,70,2637,17.1,72,usa,ford thunderbird
26.4,7,384.0,92,2283,20.6,72,usa,chevy c10
25.7,8,227.0,118,3663,13.0,72,usa,plymouth arrow gs
30.1,4,95.0,66,3107,16.0,72,japan,datsun 280-zx
20.9,5,201.0,98,2748,18.0,72,usa,chevy s-10
20.4,5,120.0,86,3600,18.5,72,usa,plymouth satellite custom
23.9,7,402.0,80,4912,16.1,72,usa,dodge colt
26.3,7,150.0,167,2914,16.5,72,usa,plymouth custom suburb
21.4,8,122.0,90,3540,21.3,72,usa,plymouth satellite custom
18.4,4,110.0,86,2370,13.9,72,europe,volkswagen rabbit custom diesel
28.4,7,196.0,198,5140,19.4,72,usa,amc matador (sw)
24.1,5,171.0,117,4255,16.4,72,usa,amc concord dl
16.0,6,158.0,173,4378,10.9,72,usa,plymouth horizon
17.8,7,256.0,77,3644,19.3,72,usa,chevrolet vega
30.1,4,87.0,46,1981,17.4,72,europe,bmw 320i
35.8,4,109.0,71,2020,10.8,72,europe,volvo 244dl
32.6,5,109.0,76,2265,19.0,72,japan,maxda rx3
13.5,6,346.0,92,4981,13.7,72,usa,plymouth valiant
25.8,4,99.0,73,1895,14.3,72,europe,fiat 128
27.0,7,275.0,121,2337,14.5,72,usa,ford fairmont 4
21.2,7,237.0,,4301,13.6,72,usa,ford pinto (sw)
