answer,question
"[""1982""]",how many episodes of beyblade burst god are there
"[""1974""]",under which article supreme court has the power to review its own judgement
"[""Edwin Hubble""]",when was the last time the death penalty was used in the us
"[""Lacey Turner""]",the boy billionaire is based on which famous personality
"[""Dev"",""Devin Star Tailes""]",the tank was introduced by to the battlefields of world war i by
"[""the Ivrea Codex"",""the Apt Codex""]",what is the highest mountain in costa rica
"[""redox reactions""]",number of goals in world cup so far
"[""4""]",who plays clark in school of rock nickelodeon
"[""August 27, 2017""]",when was the last time the arizona coyotes made the playoffs
"[""Saleisha Stowers""]",which city is famous for its large cinco de mayo celebration
"[""the Cambrian explosion""]",who plays edmond dantes in the count of monte cristo
"[""Mars Bonfire""]",when was when you say nothing at all released
"[""1982""]",when was the supreme judicial court of massachusetts established
"[""2017""]",who has the most touchdown passes in college football
"[""2024""]",what is the triangular shaped area at each end of the greek temple called
"[""Spectre""]",who is bone thugs n harmony signed to
"[""9""]",who was the host of america's got talent season 1
"[""Miguel Cabrera""]",who shot the first shot at fort sumter
"[""after a minor infringement""]",who plays earl's wife in my name is earl
"[""2012""]",what type of water is in lake ontario
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",asian man sings i will always love you
"[""Meredith Willson""]",countries that won't let you in with israel stamp
"[""1974""]",where does the pacific crest trail end in canada
"[""volume of the container decreases""]",which team won the ncaa mens basketball championship in april 2015
"[""1900""]",when is season 7 of game of thrones being released
"[""University of South Carolina""]",where was the streets of san francisco filmed
"[""1974""]",where are the iron ore deposits of pakistan located
"[""Marley""]",who sings make a man out of you in mulan
"[""1982""]",when did hull fc win the challenge cup
"[""Monasteries"",""wealthy individuals"",""rulers""]",person who has to be center of attention
"[""10""]",who plays daphne in what a girl wants
"[""four""]",what year is it now in the japanese calendar
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",what is the administrator equivalent account in linux called
"[""March 9, 2018""]",who is the highest paid major league baseball player today
"[""35""]",who played the beast in the live-action beauty and the beast
"[""Ryan Guzman""]",when is the next episode of bobs burgers coming out
"[""Saddam Hussein""]",when is howard stern going on david letterman
"[""Shirley Mae Jones""]",where is once upon a time in hollywood being filmed
"[""Richard Dawson""]",who established the first committee of correspondence in boston in 1772 and why
"[""2017""]",who are the writers of rick and morty
"[""originally from the Greek""]",where does the last name ugarte come from
"[""2012""]",when was slavery outlawed in new york state
"[""Italy"",""Adriatic Sea"",""Germany"",""Bohemia""]",who plays will's father in pirates of the caribbean
"[""Zaira Wasim""]",who was the only u.s. president whose grandfather was also president
"[""17""]",who sings mama rock me like a wagon wheel
"[""US$500""]",who played manny in diary of a wimpy kid
"[""eastward, in prograde motion""]",what movie has the song let me call you sweetheart
"[""Pom Klementieff""]",who played bane in the dark knight rises
"[""Welton Academy""]",who plays eddie on season 8 of shameless
"[""Matthew Prokop""]",who owns rehabilitation center at hollywood hills llc
"[""1974""]",which afl team hasn t won a premiership
"[""Matthew Prokop""]",what's the zip code for myrtle beach south carolina
"[""constitutional republic""]",who founded jamestown in what is now virginia
"[""2018""]",where did the disease come from in cabin fever
"[""New Netherland""]",when is the last time yankees won world series
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",after hindi which is the most spoken language in india
"[""Jonah Marais Roth Frantzich"",""Daniel James Seavey"",""Jack Robert Avery"",""Corbyn Matthew Besson"",""Zachary Dean Herron""]",when did the dutch go to south africa
"[""Sachin Tendulkar""]",where does the series twin peaks take place
"[""January–July 1975""]",when was the hawaii volcanoes national park established
"[""1962""]",the cochlea semicircular canals and vestibular sacs make up the
"[""Jesse Donald Knotts""]",who sang the song all about that bass
"[""originally from the Greek""]",when did the vietnam war end what year
"[""originally from the Greek""]",who did the voice of king julian in madagascar
"[""Christopher Eccleston as Robert Carmichael"",""Marsha Thomason as Katy Carmichael""]",when were tuition fees introduced in the uk
"[""Islamic prophet Muhammad""]",when does episode 2 of tokyo ghoul re come out
"[""the Ivrea Codex"",""the Apt Codex""]",who plays david underhill on big bang theory
"[""9""]",when was the carbon tax introduced in australia
"[""1890""]",cast of the good guys and the bad guys
"[""Ryan Guzman""]",when did great adventure in jackson nj open
