id,question,choices,answerKey
1,What circuit does not allow an electrical current to flow through it?,1,A
2,Scientists use models that show the features of an atom. A scientist should use a model that,2,A
3,Which characteristic of a bird most likely aids in obtaining food found in small places?,3,A
4,A flowing stream contains water at 18°C. Cans of soft drinks at 28°C are lowered into the stream. Which of the following will most likely occur?,4,C
5,The Big Bang theory states that the universe,5,B
6,"Sugar is made up of many molecules. When sugar is dissolved in water, what happens to these molecules?",6,B
7,Heat transfer is part of everyday life. Which of these examples involving heat transfer occurs mainly by conduction?,7,C
8,Many houses are built on the sides of hills. Which of these actions would best prevent houses from sliding down hills after heavy rainfalls?,8,A
9,Which invention would a culture living above the Arctic Circle most likely develop?,9,A
10,Which statement best describes a neutron?,10,B
11,Aluminum containers can be melted and made into new products. How will recycling aluminum most likely benefit communities?,11,D
12,Which of the following is an example of a physical change?,12,C
13,"In multicellular organisms, different structures have different functions. Which function is carried out in the leaves of a plant?",13,A
14,"Many cars are equipped with a catalytic converter, a device that helps remove hydrocarbons and oxides from car exhaust. As a result, this device helps to",14,A
15,Which occurs as the kinetic energy of water molecules increases?,15,A
16,"In 1783, Europe was unusually cold and foggy. The rain was acidic. Which event most likely caused the unusual climate in Europe that year?",16,B
17,Which is an example of conduction?,17,A
18,Oscar is investigating how many days it takes for a chick to hatch from an egg. Which number of eggs would give Oscar the most reliable results?,18,C
19,"Students watched a bird fly to and from a large bush every few minutes. The students told their teacher, ""The bird has a nest in that bush."" This statement is an example of",19,C
20,Felicia noticed how air temperatures were cooler and there were fewer hours of daylight during some of the seasons. Which of the following contributes to these seasonal changes?,20,B
21,"In one of the steps of the carbon cycle, a person exhales a molecule of carbon dioxide (CO2) into the atmosphere. Which of the following is most likely to happen next to the atom of carbon in this molecule?",21,C
22,The following mathematical expressions represent four different concentrations of a chemical solution to be used in a science experiment. Which one is equal in magnitude to 1/1000?,22,C
23,Which question can most likely be determined through a scientific investigation?,23,B
24,Which most likely contributes to the rotational pattern of a hurricane that develops in the Atlantic Ocean?,24,A
25,An ice cube placed in sunlight melts quickly. Which BEST explains this event?,25,B
26,Which structure does a virus have in common with a prokaryotic cell?,26,B
27,Why are the rocks and pebbles found on riverbeds usually smooth?,27,D
28,The petals of flowers often are brightly colored. These petals provide a benefit for the plant because they —,28,B
29,Two chemicals are mixed together in a beaker that is sitting in an ice water bath. The ice in the water melts as the chemicals react for one minute. What type of reaction is taking place?,29,C
30,"Carbon on Earth is found in both living and nonliving matter. In order for carbon to be continuously available, it must be recycled. Through which process is carbon made available in the atmosphere?",30,C
31,What is a disadvantage of using moving water to produce electricity?,31,B
32,Which situation is an example of an inherited trait?,32,D
33,Which food items can be broken down mostly into amino acids?,33,D
34,Plants use nutrients found in soil. Which of these can break down in soil and become nutrients?,34,D
35,Which of the following statements best explains why it is warmer at the equator than at the North Pole?,35,C
36,"In certain species of plants, purple flowers (P) are dominant to white flowers (p). If two heterozygous plants are crossed, what will be the phenotype of the offspring?",36,C
37,"Nectar is a sweet liquid that some flowering plants produce. A hummingbird drinks nectar from a flower. When a hummingbird drinks nectar, pollen from the flower sticks to the hummingbird's beak. The picture shows a hummingbird drinking nectar from a flower. Which statement explains the role of a hummingbird in the life cycle of a flowering plant?",37,D
38,Animals use resources in the environment to survive. Which of the following resources does an animal use for energy?,38,B
39,"Beach pollution includes sewage, paper and plastic containers, and oil from boats. Which beach activity most likely increases beach pollution?",39,D
40,Doctors have determined that each of these factors could cause heart disease in humans except,40,1
41,Two pure substances combine to make a new substance. The new substance cannot be physically separated and has a different boiling point than each of the original substances. This new substance can best be classified as,41,B
42,"In a tug-of-war game, balanced forces are best represented when both teams cause the flag to",42,C
43,The male insects in a population are treated to prevent sperm production. Would this reduce this insect population?,43,D
44,Which relationship results in the highest level of evaporation from Earth's water reservoirs?,44,D
45,Which fact is a benefit of airplanes?,45,A
46,Which of these is an example of liquid water?,46,C
47,Which phrase does not describe asexual reproduction in organisms?,47,B
48,"There are four stages to the life cycle of a butterfly: adult, pupa, egg, and caterpillar. Which of these occurs first?",48,A
49,Which of the following best describes the purpose of the chromosomes in the nucleus of a cell?,49,B
50,What compound is formed when the soft putty-like metal sodium (Na) reacts with the green-colored poisonous gas chlorine (Cl_{2})?,50,C
51,A girl walked for 30 minutes. She noticed that she traveled farther in the first 15 minutes of her walk than in the second 15 minutes. What can she conclude about her walk?,51,B
52,Which of these does not illustrate substances reacting to form new substances?,52,C
53,Which is an example of organic weathering of rocks?,53,D
54,"Two pieces of the same metal are placed on a table. The pieces of metal have the same density, mass, and texture. Which characteristic must be the ONLY difference between the two samples?",54,D
55,The Moon lacks weather and climate changes like those on Earth. What causes the lack of weather on the Moon?,55,D
56,Scientists perform experiments to test hypotheses. How do scientists try to remain objective during experiments?,56,C
57,"Beach pollution includes sewage, paper and plastic containers, and oil from boats. Which beach activity most likely increases beach pollution?",57,C
58,"A parent and a child share several characteristics. Both individuals are tall, have curly hair, are good cooks, and have freckles. Which of these characteristics is a learned behavior?",58,C
59,"What is the primary reason for providing detailed, accurate records from scientific investigations?",59,A
60,"A student concludes that a chemical reaction performed in a classroom investigation was exothermic. To communicate the validity of this conclusion, which would make the best visual evidence in a presentation?",60,A
61,Which of these most likely has the GREATEST mass?,61,D
62,Which adaptation often helps an animal attract a mate?,62,C
63,Which best describes a parallel circuit?,63,B
64,Annette is using many tools to build a doghouse. For which of the following would Annette most likely use a tape measure while building the doghouse?,64,C
65,Which conclusion is best supported by a tree-growth ring that is much narrower than the other growth rings?,65,B
66,Which of the following is an example of a form of energy?,66,D
67,What particle always has a mass of one atomic mass unit (amu) and no charge?,67,A
68,"During a lecture, a professor was talking about the potential that hydrogen has for exploding under certain conditions. Which was most likely the topic of the professor's lecture?",68,D
69,Which of the following is a similarity 20 between x-ray waves and sound waves?,69,C
70,Which of these is an example of liquid water?,70,A
71,Which phrase does not describe asexual reproduction in organisms?,71,A
72,What would most likely be measure during an investigation of the water cycle?,72,D
73,A country that has limited resources would most likely focus on the development of technology that includes,73,D
74,The Moon lacks weather and climate changes like those on Earth. What causes the lack of weather on the Moon?,74,A
75,Plants use nutrients found in soil. Which of these can break down in soil and become nutrients?,75,A
76,Which is the correct order of the metamorphosis of a butterfly?,76,A
77,A male fruit fly is homozygous dominant for gray-body color (G) and is crossed with a female fruit fly that is homozygous recessive for ebony-body color (g). What are the probable phenotypes of the offspring?,77,B
78,A certain species of endangered parrots lives on an island that can be seriously affected by large floods. Which of these is considered a negative impact to the parrot population from flooding?,78,C
79,A student is shown a slide of cells from a species of producer in a food web. The student observes that the cells have chloroplasts. What conclusion about the food web is best supported by these findings?,79,A
80,"In humans, the gene for a free earlobe [E] is dominant over the gene for an attached earlobe [e]. If one parent has a free earlobe [ Ee ] and the other parent has an attached earlobe ( ee ), what is the probability that their offspring will have an attached earlobe?",80,B
81,Electricity has many uses. Which device is designed to transform electrical energy into useful heat energy?,81,B
82,What is the best measure to use in determining the effect of solar energy on Earth's atmosphere?,82,B
83,Stars are organized into patterns called constellations. One constellation is named Leo. Which statement best explains why Leo appears in different areas of the sky throughout the year?,83,C
84,"Two identical plants are planted 3 meters apart. One plant is flowering, but the other is not. A student concludes that the plants are receiving an unequal supply of water. Another possible explanation the other plant is not flowering is that the plants are",84,B
85,Which statement is true about the particles of a liquid compared to the particles of a gas?,85,D
86,Which of the following is a likely reason for a sinkhole to form?,86,C
87,"Lactose intolerance is a condition of the digestive system in which an individual has an inability to digest lactose, the sugar found in milk. An individual affected with lactose intolerance does not produce enough of the enzyme lactase, which is needed to break down lactose. If more adults than children are diagnosed with lactose intolerance, what does this most likely suggest?",87,A
88,Which property of a mineral can be determined just by looking at it?,88,D
89,Which of the following best describes a change in Earth's atmosphere made by early photosynthetic life?,89,D
90,Scientists perform experiments to test hypotheses. How do scientists try to remain objective during experiments?,90,A
91,Which substance is a compound?,91,4
92,Which property best indicates that soil contains nutrients?,92,D
93,Two chemicals are mixed together in a beaker that is sitting in an ice water bath. The ice in the water melts as the chemicals react for one minute. What type of reaction is taking place?,93,C
94,"When high winds knocked down pine trees in a wooded region, it created a gap in the crowded canopy and allowed sunlight to fall on the ground. The increased sunlight allowed a dense growth of raspberry plants which protected young pine seedlings from being eaten by herbivores. Over time, the pine seedlings grew and blocked sunlight from falling on the woodland floor, thereby preventing growth of more raspberry plants. Which of these terms best describes the process of change observed in this woodlands community?",94,B
95,What should be done when the results of an experiment do not support the hypothesis?,95,C
96,A student prepares a report on gradual environmental changes. Which is the best topic for this report?,96,D
97,As the molecules of water begin to slow down they go into a phase where they are no longer able to easily move past each other. The water is passing through a phase change and will,97,B
98,"When it rains, some animals will ___.",98,A
99,Growth and activities of organisms can speed up the chemical weathering of rocks. Which organisms naturally cause most of the chemical weathering of rocks?,99,B
100,"A science teacher filled one balloon with helium gas and a second balloon with carbon dioxide. The helium-filled balloon rose to the ceiling, and the balloon filled with carbon dioxide fell to the floor. Which statement is an inference based on this demonstration?",100,A
