answer,question
"[""the Cambrian explosion""]",where do you find the dorsalis pedis pulse
"[""1981""]",who was the first african american student to attend the university of mississippi
"[""Australia""]",how many episodes are in season 5 the curse of oak island
"[""Mars Bonfire""]",who plays glenn on the good doctor episode 7
"[""35""]",when does shokugeki no soma season 3 return
"[""1984""]",when did heaven by kane brown come out
"[""Abigail Rokison-Woodall""]",the two states that are not contiguous with the rest of the united states are
"[""pyramidion""]",who are the guests on dancing with the stars this season
"[""after a minor infringement""]",what states were hit the hardest by the dust bowl
"[""Mahagauri"",""Skandamata"",""Siddhidhatri"",""Kaalratri"",""Kushmanda"",""Shailaputri"",""Chandraghanta"",""Brahmacharini"",""Katyayini""]",how.many episodes are in the 100 season 5
"[""12""]",what is the channel number for cartoon network on spectrum
"[""2017""]",what group was beyonce in before she became famous
"[""Season 4, Episode 8""]",who wrote the influence of sea power upon history
"[""Ryan Guzman""]",who won the wwe championship elimination chamber 2015
"[""Lacey Turner""]",which of jupiter's moons is the largest
"[""18""]",when did mcdonald's start serving filet o fish
"[""Lionel Messi""]",where do i get chips at a casino
"[""E. M. Forster""]",list three offices included in the executive office of the president
"[""1960""]",when were bananas introduced to the united states
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",where was the movie cowboys and aliens filmed
"[""2017""]",who was the song night shift dedicated to
"[""10""]",what are the names of the cinque ports
"[""1981""]",how many seasons of fixer upper are there
"[""A concerto""]",who was the first host of antiques roadshow
"[""April 1, 1999""]",when was the three point shot added to basketball
"[""Australia""]",who was in the world cup final 2010
"[""1980""]",what is the base of an isosceles triangle
"[""2012""]",who plays charlie on the bold and beautiful
"[""1988""]",when is the maze runner 2 coming out
"[""Lacey Turner""]",who plays jimmy linda's brother on blue bloods
"[""rose window""]",who does samantha end up with on er
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",which channel is world cup 2018 on in india
"[""March 15, 2013""]",where do the checks and balances come from
"[""1998""]",how many states in us still have death penalty
"[""1974""]",who played molly ringwalds father in pretty in pink
"[""the axon terminal""]",what is the best selling game of all time
"[""Miguel Cabrera""]",this type of memory contains concepts meaning of words and facts
"[""2018""]",what kind of telescope is the chandra observatory
"[""Eagles""]",who has the most finals rings in the nba
"[""December 15, 2017""]",who's the voice of meg in hercules
"[""Over 2,500""]",who wrote the song death cab for cutie
"[""eastward, in prograde motion""]",what is the most spoken language in the us
"[""in 2018""]",when was the drinking age changed to 21 in the united states
"[""1962""]",when does ripper street start on bbc 2
"[""Niagara River""]",when did india become a member of the un
"[""Mexico"",""Soviet Union""]",where does the movie great outdoors take place
"[""9""]",who played long john silver in the pagemaster
"[""35""]",who plays dusty in a cowgirl's story
"[""St. Louis Cardinals"",""San Francisco Giants""]",who plays the voice of edna in the incredibles
"[""Constantine""]",who wrote i've seen fire and i've seen rain
"[""San Antonio""]",who proposed elliptical orbit of the planets around sun
"[""the Cambrian explosion""]",what is the function of the phloem in a plant
"[""Lionel Messi""]",what is the longest canal tunnel in uk
"[""after a minor infringement""]",who wrote the song love is a rose
"[""Welton Academy""]",brand ambassador of beti bachao beti padhao haryana
"[""Citytv""]",where is the new soccer stadium in miami
"[""35""]",what movie has the song let me call you sweetheart
"[""12""]",how many goals has yaya sanogo scored for arsenal
"[""Abigail Rokison-Woodall""]",who reports to the presidents chief of staff
"[""Australia""]",separation of church and state who said it
"[""2018""]",who was the little girl that played annie
"[""six""]",which country is the largest producer of coconut in the world
"[""Zone Improvement Plan""]",who called for return to normalcy following the war
"[""1974""]",when did lucid dreams the song come out
"[""Molt Taylor""]",ancient harp like musical instrument in the zither family
"[""Saddam Hussein""]",how does california make most of its money
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",how many stars are on the american flag 2017
"[""Jesse Donald Knotts""]",where were most factories located in the industrial revolution
"[""Parafollicular cells""]",when was the last time ferrari won le mans
"[""Jose Garces""]",what is the name of jacob tribe in twilight
"[""oxidative phosphorylation""]",how many times did chelsea win premier league
"[""oxidative phosphorylation""]",what were the effects of chlorine gas in ww1
"[""A mood swing""]",where did the congregation of holy cross begin
"[""North Korea""]",who sings danke schoen in fools rush in
"[""2024""]",who won the intercontinental championship on monday night raw
"[""New York Yankees""]",who founded the church of jesus christ of the latter day saints quizlet
"[""A mood swing""]",who plays penny's father on big bang
"[""Greek""]",what do first 3 numbers of ssn mean
"[""1988""]",when was the last time the milwaukee bucks made the playoffs
"[""1939""]",why was the hughes family back on family feud
"[""1890""]",who said kill them all let god sort it out
"[""Jimmy Cliff""]",where does an embryo usually attach to its mother
"[""Lionel Messi""]",how many puppies can a newfoundland dog have
"[""South Side, Chicago""]",when will bendy and the ink machine chapter 5 be released
"[""March 25, 2011""]",who plays del boy in rock and chips
"[""March 9, 2018""]",how old is telemachus at the start of the odyssey
"[""April 1, 1999""]",where is james scott from days of our lives
"[""December 15, 2017""]",when was the province of eastern bengal and assam created
"[""13""]",who wrote his eye is on the sparrow song
"[""Parafollicular cells""]",who won the 2018 women's wimbledon final
"[""Lacey Turner""]",who was the host of america's got talent season 1
"[""1984""]",who was the first person found not guilty by reason of insanity
"[""13""]",who do you play as in kingdom hearts 2
"[""Evaluation and management""]",who won the battle of brice's crossroads
"[""St. Louis Cardinals"",""San Francisco Giants""]",when did charlie and the waitress start dating
"[""2012""]",who wrote the song there goes my everything
"[""New York Yankees""]",where was the original parent trap camp filmed
"[""Molt Taylor""]",who played elizabeth in pirates of the caribbean black pearl
"[""3 to 8 days""]",when was the first mcdonalds opened in the uk
"[""Pom Klementieff""]",who do you play as in pokemon yellow
"[""Amanda Shiflett""]",when did fifty shades of grey movie come out
"[""eastward, in prograde motion""]",what is the highest elevation town in colorado
"[""George Hudson""]",who does the voice of the narrator in beauty and the beast
"[""1982""]",where is the university of florida gators located
"[""in 2018""]",what is the smallest mountain in the philippines
"[""1998""]",how many players went straight from highschool to the nba
"[""1939""]",who wrote the significance of the frontier in american history
"[""12""]",when did doritos spicy sweet chili come out
"[""Jose Garces""]",when did the milky way midnight come out
"[""originally from the Greek""]",when is opening day of major league baseball season
"[""the Cambrian explosion""]",what is the most recent version of ford sync
"[""1920 to 1933""]",who owned the philipsburg manor before the break up
"[""1967""]",who played the lady in choo choo soul
"[""2000""]",who played hannibal lecter in silence of the lamb
"[""179""]",who plays claire on days of our lives
"[""1974""]",when does mulder come back from being abducted
"[""Spectre""]",what animal is rocket in guardians of the galaxy
"[""New York Yankees""]",what is the latest episode of sister wives
"[""1988""]",when does the lion witch and the wardrobe take place
"[""West Bengal""]",who played the prime minister in rogue nation
"[""Evaluation and management""]",who sang all i really want to do
"[""West Indies""]",who played willy wonka in the original movie
"[""9""]",who was the japanese leader during world war ii
"[""Jimmy Cliff""]",where was the church of the holy sepulcher built
"[""1960""]",who spends the most money on military in the world
"[""Season 4, Episode 8""]",when was the last nuclear power plant built in us
"[""Richard Dawson""]",the number of persons per square kilometer in a country is called
"[""January–July 1975""]",who led the metis in the rebellions at red river in 1870 and in the northwest in 1885
"[""Molt Taylor""]",when did the last person from the titanic die
"[""A mood swing""]",who is the leader of malabar rebellion in 1921
"[""Saddam Hussein""]",average life expectancy of a man in england
"[""Miguel Cabrera""]",when was the first scooby doo show aired
"[""1900""]",when was the first combatives field manual written
"[""Monasteries"",""wealthy individuals"",""rulers""]",when does supernatural scooby doo episodes come out
"[""March 9, 2018""]",when is the start of the afl season
"[""December 2003""]",which article of the constitution outlines the legislative branch
"[""2018""]",who was heading indian army 1971 bangladesh war
"[""42""]",the u.s. manhattan project of 1945 was responsible for developing
"[""Spectre""]",what is the speed in miles per second of a beam of light traveling at
"[""in 2018""]",who plays helena cassa dine on general hospital
"[""ice caps""]",when did the galaxy note 7 come out
"[""179""]",who said these are times that try men's souls
"[""Jason Michael Lee""]",who has the most throwing yards in nfl history
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",where was the cabinet of dr caligari filmed
"[""In 1995""]",who sings the theme song to not going out
"[""1967""]",which indian state is the first to get the morning rays of the sun
"[""eastward, in prograde motion""]",who played the penguin in the original batman
