Date,CO2,adjusted CO2
1958-03-01,313.63,314.78
1958-03-31,314.94,314.13
1958-04-30,315.45,314.8
1958-05-30,315.46,314.61
1958-06-29,315.84,314.74
1958-07-29,315.31,314.81
1958-08-28,319.83,314.93
1958-09-27,316.12,315.58
1958-10-27,315.57,315.79
1958-11-26,317.89,314.95
1958-12-26,317.67,315.33
1959-01-25,317.11,316.24
1959-02-24,316.13,315.9
1959-03-26,318.53,316.3
1959-04-25,317.61,316.16
1959-05-25,318.21,316.6
1959-06-24,316.65,316.27
1959-07-24,319.89,316.83
1959-08-23,319.12,316.9
1959-09-22,320.12,317.01
1959-10-22,319.44,316.92
1959-11-21,320.5,317.26
1959-12-21,315.55,317.06
1960-01-20,320.17,317.62
1960-02-19,319.24,318.58
1960-03-20,318.97,317.33
1960-04-19,318.81,317.69
1960-05-19,318.69,318.18
1960-06-18,318.99,318.04
1960-07-18,318.33,317.87
1960-08-17,321.21,318.17
1960-09-16,320.61,318.1
1960-10-16,319.76,318.72
1960-11-15,319.14,318.98
1960-12-15,319.52,318.82
1961-01-14,320.14,319.35
1961-02-13,319.27,318.69
1961-03-15,319.44,318.95
1961-04-14,319.4,319.52
1961-05-14,322.35,319.67
1961-06-13,318.44,319.55
1961-07-13,322.37,319.96
1961-08-12,321.6,320.56
1961-09-11,322.6,319.72
1961-10-11,322.27,320.04
1961-11-10,325.16,320.57
1961-12-10,323.49,320.87
1962-01-09,323.78,320.82
1962-02-08,323.99,320.69
1962-03-10,320.19,321.03
1962-04-09,323.39,320.91
1962-05-09,323.45,321.19
1962-06-08,323.83,321.34
1962-07-08,324.62,320.94
1962-08-07,324.26,321.38
1962-09-06,323.43,322.05
1962-10-06,321.71,322.08
1962-11-05,323.42,321.9
1962-12-05,324.07,322.15
1963-01-04,324.49,322.38
1963-02-03,322.61,322.42
1963-03-05,323.59,322.53
1963-04-04,323.53,323.01
1963-05-04,324.91,322.97
1963-06-03,325.33,322.88
1963-07-03,325.56,323.51
1963-08-02,324.89,323.23
1963-09-01,325.09,323.27
1963-10-01,324.35,323.14
1963-10-31,325.68,324.2
1963-11-30,325.14,323.48
1963-12-30,325.26,323.66
1964-01-29,326.74,323.91
1964-02-28,324.67,323.76
1964-03-29,325.08,324.63
1964-04-28,328.83,324.75
1964-05-28,326.74,324.02
1964-06-27,326.98,324.05
1964-07-27,325.47,324.36
1964-08-26,325.6,324.52
1964-09-25,326.96,324.78
1964-10-25,327.07,324.86
1964-11-24,325.27,325.18
1964-12-24,327.54,325.47
1965-01-23,324.66,325.68
1965-02-22,327.31,325.52
1965-03-24,324.14,325.9
1965-04-23,328.05,325.71
1965-05-23,326.61,326.24
1965-06-22,327.94,326.13
1965-07-22,328.55,326.24
1965-08-21,328.02,326.23
1965-09-20,327.39,326.88
1965-10-20,328.7,326.15
1965-11-19,327.15,326.57
1965-12-19,330.29,327.48
1966-01-18,328.63,326.87
1966-02-17,330.92,327.19
1966-03-19,326.59,327.3
1966-04-18,327.76,327.4
1966-05-18,328.7,327.61
1966-06-17,329.68,327.74
1966-07-17,329.6,327.89
1966-08-16,327.67,327.69
1966-09-15,329.05,328.51
1966-10-15,331.14,328.33
1966-11-14,327.55,328.48
1966-12-14,331.16,328.47
1967-01-13,328.73,329.75
1967-02-12,330.72,328.93
1967-03-14,330.5,329.23
1967-04-13,328.85,329.07
1967-05-13,329.18,329.4
1967-06-12,329.2,329.53
1967-07-12,331.41,329.22
1967-08-11,330.98,329.57
1967-09-10,330.09,329.52
1967-10-10,331.1,329.89
1967-11-09,332.42,330.67
1967-12-09,331.96,330.8
1968-01-08,331.08,330.61
1968-02-07,330.01,330.2
1968-03-08,331.54,330.3
1968-04-07,330.21,330.17
1968-05-07,331.27,329.91
1968-06-06,331.11,330.66
1968-07-06,331.66,330.51
1968-08-05,333.07,331.22
1968-09-04,335.33,331.12
1968-10-04,332.37,331.29
1968-11-03,331.87,331.94
1968-12-03,333.23,331.62
1969-01-02,332.18,331.8
1969-02-01,332.36,332.08
1969-03-03,333.13,332.16
1969-04-02,334.45,332.77
1969-05-02,332.02,332.08
1969-06-01,335.65,331.84
1969-07-01,331.97,333.16
1969-07-31,334.03,332.97
1969-08-30,332.15,332.83
1969-09-29,334.59,333.27
1969-10-29,333.71,333.09
1969-11-28,334.55,333.62
1969-12-28,335.26,333.45
1970-01-27,333.87,333.26
1970-02-26,332.32,333.76
1970-03-28,333.46,334.15
1970-04-27,334.93,334.1
1970-05-27,337.16,333.99
1970-06-26,333.59,334.11
1970-07-26,334.28,334.46
1970-08-25,336.75,334.68
1970-09-24,334.61,334.3
1970-10-24,335.98,334.66
1970-11-23,338.22,334.8
1970-12-23,335.57,334.92
1971-01-22,337.25,335.67
1971-02-21,336.7,335.18
1971-03-23,337.59,335.52
1971-04-22,333.81,336.19
1971-05-22,337.94,335.61
1971-06-21,337.82,335.81
1971-07-21,333.92,336.0
1971-08-20,336.21,335.8
1971-09-19,336.31,336.32
1971-10-19,336.26,336.47
1971-11-18,339.69,336.21
1971-12-18,340.18,336.39
1972-01-17,338.53,337.19
1972-02-16,338.3,336.85
1972-03-17,337.45,337.26
1972-04-16,339.58,336.55
1972-05-16,337.84,337.53
1972-06-15,338.08,336.96
1972-07-15,337.48,337.46
1972-08-14,339.82,337.89
1972-09-13,337.81,337.84
1972-10-13,339.91,338.2
1972-11-12,340.87,338.4
1972-12-12,338.86,338.15
1973-01-11,339.74,338.27
1973-02-10,340.23,337.75
1973-03-12,341.05,339.02
1973-04-11,339.15,338.84
1973-05-11,340.12,338.99
1973-06-10,340.07,338.92
1973-07-10,340.22,338.71
1973-08-09,340.2,339.12
1973-09-08,340.97,339.25
1973-10-08,340.99,339.97
1973-11-07,338.46,339.62
1973-12-07,341.49,339.58
1974-01-06,338.6,340.5
1974-02-05,342.2,339.75
1974-03-07,341.57,340.18
1974-04-06,340.21,339.72
1974-05-06,341.07,340.81
1974-06-05,343.1,339.95
1974-07-05,341.4,340.76
1974-08-04,340.32,340.82
1974-09-03,342.9,340.59
1974-10-03,343.93,341.35
1974-11-02,342.78,341.18
1974-12-02,344.65,341.34
1975-01-01,343.1,341.43
1975-01-31,341.14,341.85
1975-03-02,343.55,341.38
1975-04-01,342.5,341.69
1975-05-01,344.6,341.65
1975-05-31,342.98,342.35
1975-06-30,342.91,342.32
1975-07-30,342.5,342.72
1975-08-29,342.8,342.49
1975-09-28,343.31,343.05
1975-10-28,344.28,342.46
1975-11-27,344.33,343.32
1975-12-27,345.19,343.12
1976-01-26,343.91,343.07
1976-02-25,345.36,343.2
1976-03-26,345.73,343.63
1976-04-25,347.15,343.46
1976-05-25,342.78,343.75
1976-06-24,343.28,343.61
1976-07-24,345.18,343.96
1976-08-23,344.93,344.08
1976-09-22,345.19,344.14
1976-10-22,345.73,344.52
1976-11-21,342.17,344.75
1976-12-21,347.0,344.79
1977-01-20,344.75,344.89
1977-02-19,344.43,345.21
1977-03-21,345.58,345.08
1977-04-20,347.52,344.94
1977-05-20,342.89,345.28
1977-06-19,348.36,345.66
1977-07-19,347.24,345.3
1977-08-18,344.1,346.01
1977-09-17,344.94,345.8
1977-10-17,347.26,345.79
1977-11-16,347.37,345.99
1977-12-16,347.06,346.02
1978-01-15,348.79,346.48
1978-02-14,347.96,346.11
1978-03-16,346.35,346.68
1978-04-15,345.86,346.61
1978-05-15,347.3,346.45
1978-06-14,350.31,346.82
1978-07-14,347.25,347.27
1978-08-13,348.77,347.41
1978-09-12,348.26,347.9
1978-10-12,348.69,347.75
1978-11-11,348.97,348.23
1978-12-11,347.45,347.72
1979-01-10,350.73,348.04
1979-02-09,350.67,347.62
1979-03-11,349.48,348.32
1979-04-10,348.74,348.4
1979-05-10,350.11,348.16
1979-06-09,351.94,348.26
1979-07-09,349.14,349.36
1979-08-08,351.27,348.83
