id,question,choices,answerKey
1,Which type of evidence would a geologist need to support plate tectonic theory?,1,B
2,Some birds fly south before winter each year. This is an example of,2,A
3,Darwin's theory that animal species can change over time was inspired by his research on which set of islands?,3,1
4,During which stage of an insect's life cycle does the female lay eggs?,4,B
5,Scientists compared Pluto with other objects in the solar system and found that Pluto is smaller than Earth's moon. This finding caused scientists to question whether Pluto is a planet because,5,3
6,Which resource provides the minerals plants need to grow?,6,B
7,Which set of equipment would be best to use when investigating what is found in a sample of pond water?,7,D
8,Which of these resources is renewable?,8,D
9,"All natural resources on Earth are either renewable or nonrenewable. Whether a resource is renewable or nonrenewable depends on how fast or slow the resource is replaced. If the resource is used faster than it is replaced, then the resource will, in time, disappear. Which statement describes the use of a renewable natural resource?",9,3
10,A student is measuring a liquid in a graduated cylinder. The student is not tall enough to read the measurement at eye level. Which of these is the best action for the student to take to read the measurement correctly?,10,D
11,"When someone plays the flute, sound is produced because the air in the flute is",11,B
12,Gasoline for cars is produced from fossil fuels. Using gasoline can most likely lead to which environmental problem?,12,A
13,Which of these groups animals are ALL mammals?,13,B
14,Electricity to play your radio can be made using renewable or nonrenewable resources. Which of the following resources are renewable?,14,A
15,Which statement best describes why a calcium-fortified juice would advertise that it is good for growing children?,15,A
16,Which set of equipment would be best to use when investigating what is found in a sample of pond water?,16,A
17,A student proposes the rate of increase in a plant's mass will be proportional to the length of light exposure per day when all other variables are constant. How should this proposal be classified?,17,D
18,A company that makes fences started using a new material instead of wood. The new material will last longer than wood. What is the most likely benefit of the new material?,18,D
19,Pumice is formed when lava from a volcano cools. Which rock type is pumice?,19,C
20,The ratio of an object's mass to its volume is its,20,B
21,Which of these is most likely harmful to an ecosystem?,21,A
22,Which characteristic is affected by interactions with the environment?,22,B
23,"When someone plays the flute, sound is produced because the air in the flute is",23,B
24,Most types of cacti survive the dry conditions of a desert because they hold water in their stems. This is an example of,24,D
25,"When a person sees something, what carries the message from the eyes to the brain?",25,D
26,What is the smallest particle of the element gold (Au) that can still be classified as gold?,26,A
27,"For many years, people have been curious about the stars. In the past, people have shared what they knew about the stars through stories and drawings. Which pair of tools would be most helpful for people today to gather and share information about stars?",27,A
28,Which is a physical property of an apple?,28,B
29,"When electric current flows through the metal filament of a light bulb, electrical energy is converted to",29,C
30,Earth is made of different layers that have varying characteristics. Which is the thickest layer?,30,A
31,Which object would best help a student determine if a block of an unknown material is magnetic?,31,A
32,Which of these tectonic plate boundaries is most likely to form a volcano?,32,B
33,A student observes a glowing band across the night sky. This glowing band is most likely,33,A
34,Henry and Emily are building a tree house. Which tool should be used to measure the height of the door?,34,B
35,"When sugar is heated on a hot plate, it turns into a liquid. When the liquid sugar is cooled, a hard-crystalline substance is formed. This model best demonstrates the formation of",35,D
36,A flower produces seeds that fall to the ground and grow into new plants that produce more flowers. The seeds begin to grow by the process of,36,C
37,Nerve cells transmitting messages to the body best demonstrate which primary function?,37,C
38,Lori owns a house next to the lake. She uses lots of fertilizer to keep her lawn green. Which impact could fertilizing her lawn have on the lake?,38,C
39,Which of the following best describes an advantage of using a mass production manufacturing system instead of a custom manufacturing system?,39,D
40,Which is a reason for Arkansas having multiple seasons?,40,C
41,A student has a ball of clay that sinks when placed in a pan of water. Which property should he change to make the clay float?,41,B
42,"The Greek philosopher Aristotle described matter with the phrase ""unable to be divided."" The modern concept that grew from Aristotle's idea is the",42,B
43,A student crumples up a sheet of paper. Which property of the paper has changed?,43,1
44,Which pair of English and metric units has most nearly the same value?,44,C
45,Which of these is the chemical symbol for magnesium?,45,A
46,Where does oxygen-rich blood go after leaving the lungs?,46,B
47,Competition is most likely to occur between which two organisms?,47,2
48,Yumiko gave some reasons why kettles and kitchen pans are often made of copper. Which reason is correct?,48,D
49,More sulfur dioxide is being added to the atmosphere. How will this most likely affect the hydrosphere?,49,B
50,"A student had a cup of ice while working outside. After a while, the ice melted because the Sun emits energy in the form of light and",50,C
