answer,question
"[""2018""]",when was the last star trek movie released
"[""2000""]",who was 'man of the match' in india's 1983 world cup winning final
"[""2017""]",who plays the fairy godmother in the descendants
"[""Lebanese""]",sq3r is an acronym for a study method that includes survey questions read rehearse and
"[""Calcium ions""]",when did the us normalize relations with china
"[""1962""]",who wrote the night the lights went out in georgia
"[""1980""]",what is the population of the state of maine
"[""1960""]",when did maryland make anglicanism it's established religion
"[""12""]",who won the indian national title for man in 2003 in chess
"[""Tuticorin (Thoothukudi)""]",who's the lead singer of the doobie brothers
"[""35""]",who did the packers lose to in the 2016 playoffs
"[""constitutional republic""]",is the 49ers in the afc or nfc
"[""Elvy Yost"",""Max Carver"",""Keli'i""]",who wrote do they know it's xmas
"[""Parafollicular cells""]",who does the voice of the narrator in beauty and the beast
"[""12""]",where did they film hot tub time machine
"[""Monasteries"",""wealthy individuals"",""rulers""]",do you have to show your id to police in va
"[""oxidative phosphorylation""]",when does new episode of blue bloods start
"[""Jason Michael Lee""]",where does the avon river start in christchurch
"[""Amanda Shiflett""]",who wrote is you is or is you ain't my baby lyrics
"[""December 15, 2017""]",what is the charge for entering the u.s. illegally
"[""Abigail Rokison-Woodall""]",when is the next bendy and the ink machine coming out
"[""Calcium ions""]",where does chyme go after it leaves the stomach
"[""video editing""]",who wrote to make you feel my love
"[""10""]",who is elected new vice president of india
"[""March 9, 2018""]",where did the real texas chainsaw massacre occur
"[""Welton Academy""]",what is the visa on arrival fee in thailand
"[""18 August 2011""]",who plays claudio in much ado about nothing
"[""1998""]",who does woody harrelson play in hunger games
"[""Eli Marienthal""]",the basic need associated with the third level of maslow's hierarchy of needs is
"[""35""]",what are the top 5 languages spoken in the us
"[""copper""]",who sang we are young in the 80's
"[""12""]",who wrote the song the shape of you
"[""Thurl Ravenscroft""]",who sings so will i by hillsong united
"[""Edwin Hubble""]",what is the alabama vs auburn game called
"[""the Cambrian explosion""]",when was the drinking age 18 in illinois
"[""3 to 8 days""]",who founded the church of jesus christ of the latter day saints quizlet
"[""Evaluation and management""]",who stars in the film finding your feet
"[""1984""]",when does the next season of the next step start
"[""Australia""]",season 15 judges so you think you can dance
"[""Mary Kate Schellhardt""]",who played bobby hill on hill street blues
"[""1967""]",what year is it now in the japanese calendar
"[""responsible business"",""corporate sustainability"",""corporate citizenship"",""sustainable business"",""corporate conscience""]",what was the 50th state in the united states
"[""Richard Dawson""]",when is the next episode of flash going to air
"[""1998""]",how many episodes of she gotta have it
"[""in 2018""]",who attempted to expand the number of supreme court justices in 1937 quizlet
"[""Thurl Ravenscroft""]",who plays anastasia's mom in fifty shades of grey
"[""Jimmy Cliff""]",when did the last episode of naruto shippuden air
"[""George Casper Homans""]",which city is known as pearl city of india
"[""Lacey Turner""]",where is season 8 of ex on the beach
"[""Australia""]",who plays andy's brother in the office
"[""Phillip Alford""]",where did they film sex and the city tv show
"[""Welton Academy""]",who sings ain't nothing gonna break my stride
"[""ground state""]",when did liverpool last win a major trophy
"[""Justin Hartley"",""Chris Engen"",""Michael Muhney""]",who played the flash in the original tv series
"[""Sachin Tendulkar""]",when was the last time raiders beat broncos
"[""Billie Jean King""]",who argued that we are born with intellectual blank slates
"[""3 to 8 days""]",who wrote cant take my eyes off of you
"[""Jason Michael Lee""]",when did doctor who come back in 2005
"[""Thurl Ravenscroft""]",ct is produced by which cells of the thyroid gland
"[""April 28, 2017""]",who won the 2017 formula 1 spanish grand prix
"[""Guaranteed Rate Field""]",who has the right of way in international waters
"[""2017""]",andy warhol was influential to the development of this band
"[""July 16, 2017""]",how many percent of agricultural land in india is irrigated
"[""Ryan ten Doeschate""]",what's the name of the blonde powerpuff girl
"[""Anderson Silva""]",orange is the new black season 5 humps
"[""March 27, 2018""]",when was the internet invented for home use
"[""Miguel Cabrera""]",what is the name of autobiography of major dhyan chand
"[""Charles Young""]",who wrote the song bring it on home
"[""Season 4, Episode 8""]",who wrote the song home from the wiz
"[""copper""]",who is the first master chef of india
"[""the axon terminal""]",what side did the usa enter in wwi
"[""Queen's Park""]",where is the area code 607 located in usa
"[""1939""]",who killed katie in the movie mystic river
"[""March 9, 2018""]",country with highest rate of aids in africa
"[""the axon terminal""]",where do they have huts on the water
"[""2012""]",what is the setting for campin's annunciation
"[""after a minor infringement""]",this type of memory contains concepts meaning of words and facts
"[""122""]",who does sansa marry on game of thrones
"[""1982""]",when does minimum wage go up in ab
"[""St. Louis Cardinals"",""San Francisco Giants""]",what ecosystem is flat with many tall grasses
"[""Shirley Mae Jones""]",who played in the men's semi final in wimbledon in 2015
"[""Eli Marienthal""]",a geometry ruler can be constructed by using what tools
"[""Anil Kumar Jha""]",when was the bay bridge in maryland built
"[""Jose Garces""]",what type of nuclear bomb was developed by the united states in 1954
"[""V8 engine""]",when was the salary cap introduced to the nba
"[""the axon terminal""]",what is the most recent version of ford sync
"[""1,089 sq ft""]",who is the ceo of raising cane's
"[""2015""]",where does cooper's hawk wine come from
"[""Tuticorin (Thoothukudi)""]",how long do black bears live with their mother
"[""Mary Kate Schellhardt""]",how many tolls are on i 90 in illinois
"[""China""]",who did ryan hurst play in saving private ryan
"[""10""]",lord of the rings the two towers budget
"[""New York Yankees""]",which four books of the new testament are the gospels
"[""oxidative phosphorylation""]",who sings the theme song for miami vice
"[""Edwin Hubble""]",what is the largest of the lymphoid tissue found in the pharynx
"[""1939""]",when does breaking benjamin's new album release
"[""Marley""]",where is human sperm stored in the body
"[""1974""]",who won season three of the rap game
"[""December 15, 2017""]",where does the blastocyst implanted in the female human reproductive system
"[""1998""]",world war 1 attacks often began with a of cannon fire
"[""PewDiePie""]",what movie is singing in the rain from
"[""copper""]",when did the national industrial recovery act end
"[""those that have died""]",when does the presidential election occur in the united states
"[""Bella Dayne""]",when did the no child left behind act start
"[""10""]",how long does it take to film a season of planet earth
"[""Josh Groban""]",who played barbara castle in made in dagenham
"[""Miguel Cabrera""]",who is the presiding officer of the house of reps
"[""March 9, 2018""]",list the main political positions adopted by the federalist party
"[""March 9, 2018""]",who win the under 17 fifa world cup
"[""Marvin Gaye""]",how many ncaa basketball championships has indiana won
"[""video editing""]",how many planes did japan lose at pearl harbor
"[""2015""]",when was football accepted as an international sport
"[""Molt Taylor""]",who played jo in the facts of life
"[""Thurl Ravenscroft""]",who did tina majorino play in grey's anatomy
"[""Australia""]",when was the last time depaul made the ncaa tournament
"[""Lacey Turner""]",when was the first masters golf tournament played
"[""after a minor infringement""]",who wrote screenplay for a wrinkle in time
"[""Lacey Turner""]",who is the speaker of the house in the house of representatives
"[""Zaira Wasim""]",what was the tiger's name in jungle book
"[""12""]",who played dean on wizards of waverly place
"[""Zone Improvement Plan""]",who sings sweet home alabama in the movie sweet home alabama
"[""1984""]",how many episodes in sense 8 season 1
"[""71%""]",when is tornado season in the united states
"[""1962""]",who played scarlet o'hara in gone with the wind
"[""Thurl Ravenscroft""]",where are the houses from full house located
"[""April 1, 1999""]",what kind of car did steve urkel drive in family matters
"[""January 11, 1970""]",who sings the female vocals in if it means a lot to you
"[""Carole King""]",what was the great pyramid of giza made out of
"[""1974""]",who rules if the king is too young
"[""Atlanta–Fulton County Stadium""]",how many episodes of westworld are in season 1
"[""July 16, 2017""]",name the pirates of the caribbean movies in order
"[""Gal Gadot""]",who kept fairytale of new york from number 1
"[""Islamic prophet Muhammad""]",who is on the cover of get yer ya ya's out
"[""2018""]",who wrote harry styles sign of the times lyrics
"[""a compulsory governmental insurance system""]",when was the land rover first unveiled to the public
"[""Thurl Ravenscroft""]",who has the most pga tour wins of all time
"[""10""]",who plays kate roberts on days of our lives
"[""December 2003""]",how many times has duke won the final four
"[""Season 4, Episode 8""]",when did saint elmo's fire come out
"[""1998""]",who plays kelly in ash vs the evil dead
"[""a wild Pikachu""]",where did cliff richard come in the eurovision
"[""1967""]",when was the last time miss oklahoma won miss america
"[""2–4 years""]",when does the new nintendo 3ds xl come out
"[""Spectre""]",when did the supreme court decide the case miranda vs. arizona
"[""2002""]",who sing we're not going to take it
"[""1988""]",who sings sweet home alabama in the movie sweet home alabama
"[""Parafollicular cells""]",who was the gymnast that competed with a broken ankle
"[""Jesse Donald Knotts""]",what freeway runs through seattle portland sacramento and los angeles
"[""10""]",who won the 2017 formula 1 spanish grand prix
"[""1960""]",what is the final electron acceptor in the electron transport chain of cellular respiration
"[""Matthew Prokop""]",who sings this is my town country song
"[""Marvin Gaye""]",when did they start building the twin towers
"[""Marvin Gaye""]",who has been elected as the new president of colombia
"[""1988""]",who's the singer in avicii hey brother
"[""Mary Kate Schellhardt""]",how many beads are in a mala bracelet
"[""San Antonio""]",when is the foreigner coming out in uk
"[""rose window""]",when do you call a baby a toddler
"[""1981""]",who sang tie a yellow ribbon round an old oak tree
"[""122""]",who had the most championship rings in the nfl
"[""Thurl Ravenscroft""]",when were the game of thrones books released
"[""South Side, Chicago""]",who is known as iron man of haryana
"[""after a minor infringement""]",an example of a bound morpheme in english is
"[""July 16, 2017""]",who is current chief election commission of india
